브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
기본제동등A,수준3,20,-2,1,-7.677078,5.95665,-2.544702070588235,3360.9999999999995,1121.0,116
기본제동등A,수준3,20,-2,2,-7.677078,2.80838,-1.8685391506547617,3355.0,1175.0,118
기본제동등A,수준3,20,-2,3,-7.677078,6.379795,-0.4140976835294118,3386.0,1114.0,128
기본제동등A,수준3,20,-2,4,-7.677078,4.384518,-0.5158701850595241,3343.0,1168.0,137
기본제동등A,수준3,20,-4,1,-7.677078,5.404043,-3.486356540229885,3483.0,1020.0,110
기본제동등A,수준3,20,-4,2,-7.677078,-0.2537727,-2.545375575,3419.0,1050.0,119
기본제동등A,수준3,20,-4,3,-7.677078,6.13265,-3.4906541839285716,3324.0,1171.0,130
기본제동등A,수준3,20,-4,4,-7.677078,3.845882,-2.1270899849710982,3431.0,1064.0,139
기본제동등A,수준3,20,-6,1,-7.677078,3.056145,-5.412221336723164,3512.0,982.0,112
기본제동등A,수준3,20,-6,2,-7.677078,7.426453,-3.5742922812865503,3404.0,1088.0,121
기본제동등A,수준3,20,-6,3,-7.677078,7.859421,-4.406660170175439,3437.0,1087.0,133
기본제동등A,수준3,20,-6,4,-7.677078,5.138779,-4.520140893567252,3381.0,1111.0,141
기본제동등A,수준3,40,-2,1,-7.677078,-0.2962112,-1.6579742716867472,3297.0,1179.0,109
기본제동등A,수준3,40,-2,2,-7.677078,8.042717,1.1797373239263806,3276.0,1232.0,125
기본제동등A,수준3,40,-2,3,-7.677078,8.042717,-1.691702117567568,2936.0,1546.0,132
기본제동등A,수준3,40,-2,4,-7.677078,8.042717,0.49266302040816334,2949.0,1559.0000000000002,143
기본제동등A,수준3,40,-4,1,-7.677078,-0.2504349,-2.1923675128048776,3264.0000000000005,1242.9999999999998,115
기본제동등A,수준3,40,-4,2,-7.677078,-0.2502441,-2.6236732245398775,3250.0,1259.0,122
기본제동등A,수준3,40,-4,3,-7.677078,-0.265789,-2.5096954090322585,3058.0,1433.0,126
기본제동등A,수준3,40,-4,4,-7.677078,4.290295,-1.715436701863354,3212.0,1267.0,140
기본제동등A,수준3,40,-6,1,-7.677078,6.601429,-3.4923835802469125,3247.0,1260.0,113
기본제동등A,수준3,40,-6,2,-7.677078,3.547764,-4.061141590361446,3308.0,1185.0,117
기본제동등A,수준3,40,-6,3,-7.677078,5.518532,-4.231286382781458,3034.0,1484.0,131
기본제동등A,수준3,40,-6,4,-7.677078,3.075647,-4.895097067073172,3418.0,1250.0,135
기본제동등A,수준3,60,-2,1,-7.677078,7.675171,1.6493262479878048,3267.0,1219.0,108
기본제동등A,수준3,60,-2,2,-7.677078,7.569408,-0.2868583810322577,3050.0,1433.0,124
기본제동등A,수준3,60,-2,3,-7.677078,7.292175,1.1327998162337658,3067.0,1436.0,134
기본제동등A,수준3,60,-2,4,-7.677078,7.632256,-0.8853212158273388,2750.0,1742.9999999999998,138
기본제동등A,수준3,60,-4,1,-7.677078,1.454067,-4.715247057264958,2331.0,2185.0,111
기본제동등A,수준3,60,-4,2,-7.677078,4.31881,-4.703946647672414,2310.0,2206.0,120
기본제동등A,수준3,60,-4,3,-7.677078,4.314327,-3.0188326643356644,2846.0,1653.0,129
기본제동등A,수준3,60,-4,4,-7.677078,5.711555,-2.033658238129497,2738.0,1733.0,142
기본제동등A,수준3,60,-6,1,-7.677078,4.628897,-4.429197626618706,2749.0,1728.0,114
기본제동등A,수준3,60,-6,2,-7.677078,7.803249,-4.107394631159421,2743.0,1778.0,123
기본제동등A,수준3,60,-6,3,-7.677078,-0.1933098,-4.758288434558824,2689.0,1784.0,127
기본제동등A,수준3,60,-6,4,-7.677078,1.966572,-2.7229758954256758,2965.0,1528.0,136
밝기변화제동등B,수준3,20,-2,1,-7.677078,7.688141,2.0691791934131736,3318.0,1174.0,7
밝기변화제동등B,수준3,20,-2,2,-7.677078,7.655048,2.375298862650602,3302.0,1208.0,17
밝기변화제동등B,수준3,20,-2,3,-7.677078,7.694626,2.8032541806818183,3509.0,1152.0,22
밝기변화제동등B,수준3,20,-2,4,-7.677078,7.695198,2.835499519526627,3365.0,1128.0,28
밝기변화제동등B,수준3,20,-4,1,-7.677078,7.348728,0.2783748128654972,3424.0,1079.0,3
밝기변화제동등B,수준3,20,-4,2,-7.677078,7.766199,-0.10299861627907,3409.0,1063.0,15
밝기변화제동등B,수준3,20,-4,3,-7.677078,7.798338,-1.8359398262195121,3284.0,1224.0,26
밝기변화제동등B,수준3,20,-4,4,-7.677078,7.807493,-0.925390428571429,3347.0,1142.0,29
밝기변화제동등B,수준3,20,-6,1,-7.677078,7.864738,-4.838805086705203,3449.0,1042.0,2
밝기변화제동등B,수준3,20,-6,2,-7.677078,7.849121,-4.095320248554914,3411.0,1059.0,13
