timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
3935707,2024-10-15,10:46:31,1728956791783 ,7.022246047,1.7086637,0,0.008408249,0,0.18983275,0.020275421,0.1881855,0.050369266,0.20367812,0.31778374,0.029875178,Sad,385,225,473,231,0,1
3942260,2024-10-15,10:46:32,1728956792024 ,6.945667573,1.635640539,-0.076578474,-1.305197813,0.732600733,0.11091224,0.005545539,0.09741249,0.018936329,0.46323273,0.29810417,0.005856497,Neutral,388,221,477,231,0,1
3948813,2024-10-15,10:46:32,1728956792094 ,6.869089099,1.562617378,-0.076578474,-1.305197813,0.732600733,0.09938901,0.004541457,0.08864659,0.019389415,0.5116856,0.27050897,0.005839004,Neutral,394,218,481,227,0,1
3955366,2024-10-15,10:46:32,1728956792170 ,6.823142015,1.518803481,-0.045947084,-0.779755388,0.732600733,0.099477805,0.004318599,0.08687262,0.015971538,0.51610833,0.2718165,0.005434611,Neutral,396,218,481,227,0,1
3961919,2024-10-15,10:46:32,1728956792248 ,6.792510625,1.489594217,-0.03063139,-0.517034176,0,0.097545125,0.004250476,0.08598445,0.017141504,0.5210587,0.26854712,0.005472701,Neutral,398,218,482,228,1,1
3968472,2024-10-15,10:46:32,1728956792430 ,6.746563541,1.44578032,-0.045947084,-0.779755388,0.732600733,0.12351176,0.005958103,0.09486476,0.01124345,0.424898,0.33577845,0.003745433,Neutral,402,223,486,233,0,1
3975025,2024-10-15,10:46:32,1728956792605 ,6.705721688,1.406834634,-0.040841853,-0.692181651,0,0.15848157,0.00901603,0.11537871,0.007520903,0.3433678,0.3613969,0.004838057,Sad,410,227,493,237,1,1
3981578,2024-10-15,10:46:32,1728956792816 ,6.675090299,1.37762537,-0.03063139,-0.517034176,0.732600733,0.15407643,0.010960766,0.13323666,0.016501617,0.3383885,0.3380548,0.008781266,Neutral,416,230,496,241,0,1
3988131,2024-10-15,10:46:34,1728956794528 ,6.644458909,1.348416105,-0.03063139,-0.517034176,0.732600733,0.15618993,0.007775552,0.1270824,0.003542849,0.39681968,0.2972719,0.011317618,Neutral,316,223,409,226,0,0
3994684,2024-10-15,10:46:34,1728956794598 ,6.61382752,1.319206841,-0.03063139,-0.517034176,0,0.16955952,0.009380361,0.13732362,0.003601674,0.36655706,0.30032068,0.01325706,Neutral,316,223,409,226,0,0
4001237,2024-10-15,10:46:34,1728956794674 ,6.593406593,1.299733998,-0.020420926,-0.341886701,1312.820513,0.1472261,0.007299333,0.126287,0.003847412,0.41897804,0.28312334,0.013238837,Neutral,322,223,416,227,0,0
