브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,16:22:24:013,normal,0.0,0.0,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,16:22:24:087,normal,0.0,-0.1011495,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99985,16:22:25:604,normal,0.0,-0.03978933,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99976,16:22:25:606,normal,2.777778,-0.02151834,0,0,0.6250305,0.0,
점멸주파수변화제동등C,13.99966,16:22:25:607,normal,-2.749113,-0.01055553,0,0,0.6250305,0.0,
점멸주파수변화제동등C,13.99956,16:22:25:607,normal,-0.02836846,0.001988991,0,0,0.6250305,0.0,
점멸주파수변화제동등C,13.9989,16:22:25:609,normal,-0.0002927358,1.299845,0,0,0.6250305,0.0,
점멸주파수변화제동등C,13.99765,16:22:25:740,normal,-3.020768e-06,1.431725,1,1,0.6250305,0.0,
점멸주파수변화제동등C,13.99596,16:22:25:740,normal,5.555555,1.198934,1,1,0.6250305,0.0,
점멸주파수변화제동등C,13.99373,16:22:25:741,normal,-5.498227,1.296149,0,1,0.6250305,0.0,
점멸주파수변화제동등C,13.99092,16:22:25:742,normal,-0.05673692,1.442839,0,1,0.6250305,0.0,
점멸주파수변화제동등C,13.98756,16:22:25:744,normal,-0.0005854716,1.428854,0,1,0.6250305,0.0,
점멸주파수변화제동등C,13.98374,16:22:25:839,normal,-6.041535e-06,1.182352,1,1,0.6250305,0.0,
점멸주파수변화제동등C,13.98739,16:22:25:840,normal,19.44445,1.523591,1,1,0.6601954,0.0,
점멸주파수변화제동등C,13.98977,16:22:25:841,normal,0.7175192,1.553927,2,1,0.6601954,0.0,
점멸주파수변화제동등C,13.99209,16:22:25:842,normal,-1.638728,1.372456,2,1,0.6601954,0.0,
점멸주파수변화제동등C,13.9935,16:22:25:844,normal,1.19019,1.471171,2,1,0.6601954,0.0,
점멸주파수변화제동등C,13.99454,16:22:25:882,normal,-0.8610412,1.746187,2,1,0.6601954,0.0,
점멸주파수변화제동등C,13.99997,16:22:25:883,normal,14.48095,1.488431,2,2,0.671917,0.0,
점멸주파수변화제동등C,14.00488,16:22:25:923,normal,-1.218268,2.025449,3,2,0.671917,0.0,
점멸주파수변화제동등C,14.01422,16:22:25:924,normal,15.10716,1.687329,3,2,0.6953602,0.0,
점멸주파수변화제동등C,14.02304,16:22:25:964,normal,-1.648262,1.832685,4,2,0.6953602,0.0,
점멸주파수변화제동등C,14.03369,16:22:25:964,normal,7.523522,1.942481,4,2,0.7383394,0.0,
점멸주파수변화제동등C,14.04417,16:22:26:004,normal,-0.5040288,2.32988,4,2,0.7383394,0.0,
점멸주파수변화제동등C,14.05468,16:22:26:005,normal,6.164682,1.998469,4,2,0.7735043,0.0,
점멸주파수변화제동등C,14.06358,16:22:26:044,normal,-2.192014,2.6503,5,3,0.7774115,0.0,
점멸주파수변화제동등C,14.07568,16:22:26:045,normal,7.900655,2.434164,5,3,0.7969475,0.0,
점멸주파수변화제동등C,14.08649,16:22:26:084,normal,1.191241,2.714056,5,3,0.7969475,0.0,
점멸주파수변화제동등C,14.09888,16:22:26:086,normal,4.348117,2.571064,5,3,0.8047619,0.0,
점멸주파수변화제동등C,14.10928,16:22:26:124,normal,1.63734,3.402087,6,3,0.8047619,0.0,
점멸주파수변화제동등C,14.12073,16:22:26:125,normal,4.01237,3.064042,6,4,0.8047619,0.0,
점멸주파수변화제동등C,14.13082,16:22:26:162,normal,0.1377583,3.665784,6,4,0.8047619,0.0,
점멸주파수변화제동등C,14.14167,16:22:26:163,normal,5.504638,3.742582,6,4,0.8125763,0.0,
점멸주파수변화제동등C,14.15066,16:22:26:201,normal,0.4728556,3.939193,6,4,0.8125763,0.0,
점멸주파수변화제동등C,14.16012,16:22:26:202,normal,4.994774,4.468739,7,5,0.8203907,0.0,
점멸주파수변화제동등C,14.16752,16:22:26:239,normal,-0.0215292,4.339713,7,5,0.8203907,0.0,
