브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:45:31:743,normal,0.0,0.0,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:45:31:814,normal,0.0,-0.1011495,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:45:33:323,normal,0.0,-0.03978933,1,0,0.5,0.5,
면적변화제동등D,13.99976,14:45:33:324,normal,2.777778,-0.02151834,0,0,0.5,0.5,
면적변화제동등D,13.99966,14:45:33:325,normal,-2.749113,-0.01055553,0,0,0.5,0.5,
면적변화제동등D,13.99956,14:45:33:326,normal,-0.02836846,-0.003134238,0,0,0.5,0.5,
면적변화제동등D,13.99946,14:45:33:327,normal,-0.0002927358,0.002041913,0,0,0.5,0.5,
면적변화제동등D,13.99937,14:45:33:477,normal,-3.020768e-06,0.005648227,1,0,0.5,0.5,
면적변화제동등D,13.99931,14:45:33:479,normal,5.555555,0.008047547,1,0,0.5,0.5,
면적변화제동등D,13.99923,14:45:33:479,normal,-5.498227,0.009589386,0,0,0.5,0.5,
면적변화제동등D,13.99916,14:45:33:481,normal,-0.05673692,0.01042387,0,0,0.5,0.5,
면적변화제동등D,13.9991,14:45:33:481,normal,-0.0005854716,0.01076243,0,0,0.5,0.5,
면적변화제동등D,13.99904,14:45:33:562,normal,-6.041535e-06,0.01077182,1,0,0.5,0.5,
면적변화제동등D,14.00706,14:45:33:563,normal,19.44445,0.01051255,1,0,0.5,0.5,
면적변화제동등D,14.01442,14:45:33:564,normal,0.7175192,0.01004457,2,0,0.5,0.5,
면적변화제동등D,14.02226,14:45:33:565,normal,-1.638728,0.009510503,2,0,0.5,0.5,
면적변화제동등D,14.02977,14:45:33:603,normal,1.19019,0.008828402,2,0,0.5,0.5,
면적변화제동등D,14.04314,14:45:33:604,normal,13.61991,0.008211972,3,0,0.5,0.5,
면적변화제동등D,14.05623,14:45:33:644,normal,0.1862884,0.007518614,3,0,0.5,0.5,
면적변화제동등D,14.07429,14:45:33:645,normal,11.63149,0.006872788,3,0,0.5,0.5,
면적변화제동등D,14.09216,14:45:33:682,normal,0.06825626,0.006230513,4,0,0.5,0.5,
면적변화제동등D,14.11243,14:45:33:683,normal,5.621788,0.005655637,4,0,0.5,0.5,
면적변화제동등D,14.13224,14:45:33:720,normal,-0.1075208,0.005075638,4,0,0.5,0.5,
면적변화제동등D,14.15545,14:45:33:721,normal,5.809367,0.004555279,4,0,0.5,0.5,
면적변화제동등D,14.17836,14:45:33:757,normal,1.535332,0.004077156,5,0,0.5,0.5,
면적변화제동등D,14.20327,14:45:33:793,normal,3.721762,0.003648148,5,0,0.5,0.5,
면적변화제동등D,14.23004,14:45:33:794,normal,5.220241,0.003267749,5,0,0.5,0.5,
면적변화제동등D,14.25643,14:45:33:830,normal,-0.07523298,0.002897128,5,0,0.5,0.5,
면적변화제동등D,14.28548,14:45:33:831,normal,5.23051,0.002579567,5,0,0.5,0.5,
면적변화제동등D,14.31453,14:45:33:867,normal,0.4722118,0.002285109,6,0,0.5,0.5,
면적변화제동등D,14.34568,14:45:33:869,normal,4.532075,0.002026603,6,0,0.5,0.5,
면적변화제동등D,14.37625,14:45:33:907,normal,0.7073939,0.001791713,6,0,0.5,0.5,
면적변화제동등D,14.40966,14:45:33:908,normal,4.54905,0.001611248,6,0,0.5,0.5,
면적변화제동등D,14.44332,14:45:33:944,normal,1.095635,0.001398007,6,0,0.5,0.5,
면적변화제동등D,14.47737,14:45:33:945,normal,4.040647,0.001234575,7,0,0.5,0.5,
면적변화제동등D,14.51211,14:45:33:982,normal,-2.433163,0.001097705,7,0,0.5,0.5,
면적변화제동등D,14.54927,14:45:33:983,normal,7.851708,0.0009575713,7,0,0.5,0.5,
면적변화제동등D,14.58605,14:45:34:018,normal,-0.09143353,0.0008567891,7,0,0.5,0.5,
면적변화제동등D,14.62485,14:45:34:019,normal,5.286187,0.0007311275,7,0,0.5,0.5,
면적변화제동등D,14.66427,14:45:34:057,normal,-1.168782,0.0006757586,8,0,0.5,0.5,
면적변화제동등D,14.70537,14:45:34:093,normal,6.357944,0.0005667076,8,0,0.5,0.5,
면적변화제동등D,14.74823,14:45:34:094,normal,5.165589,0.0005176422,8,0,0.5,0.5,
면적변화제동등D,14.79137,14:45:34:131,normal,-1.400745,0.0004517631,8,0,0.5,0.5,
면적변화제동등D,14.8366,14:45:34:132,normal,6.669092,0.0003915946,8,0,0.5,0.5,
면적변화제동등D,14.88256,14:45:34:169,normal,-0.740242,0.0003373151,9,0,0.5,0.5,
면적변화제동등D,14.92994,14:45:34:170,normal,5.857551,0.0003271334,9,0,0.5,0.5,
면적변화제동등D,14.97751,14:45:34:206,normal,-0.4730821,0.0002601763,9,0,0.5,0.5,
면적변화제동등D,15.02676,14:45:34:207,normal,5.781066,0.0002312145,9,0,0.5,0.5,
면적변화제동등D,15.07642,14:45:34:245,normal,-1.107025,0.0002035441,9,0,0.5,0.5,
면적변화제동등D,15.12766,14:45:34:246,normal,6.298852,0.0001718017,10,0,0.5,0.5,
면적변화제동등D,15.17913,14:45:34:286,normal,-1.334441,0.0001717152,10,0,0.5,0.5,
면적변화제동등D,15.23255,14:45:34:287,normal,6.551409,0.0001532388,10,0,0.5,0.5,
면적변화제동등D,15.28538,14:45:34:322,normal,-1.097465,9.675277e-05,10,0,0.5,0.5,
면적변화제동등D,15.34263,14:45:34:323,normal,6.456208,0.0001293031,10,0,0.5,0.5,
면적변화제동등D,15.39908,14:45:34:362,normal,3.126585,7.206159e-05,11,0,0.5,0.5,
면적변화제동등D,15.45744,14:45:34:364,normal,2.465844,0.0001007706,11,0,0.01973443,0.0,
면적변화제동등D,15.51623,14:45:34:402,normal,0.3015399,7.908916e-05,11,0,0.02370269,0.0,
면적변화제동등D,15.57607,14:45:34:402,normal,4.809642,0.0001033213,11,0,0.05546398,0.0,
면적변화제동등D,15.63597,14:45:34:439,normal,-1.112795,5.767427e-05,11,0,0.05546398,0.0,
면적변화제동등D,15.69844,14:45:34:440,normal,6.670809,6.972421e-05,12,0,0.07927351,0.0,
면적변화제동등D,15.76078,14:45:34:477,normal,-0.08974075,4.857971e-05,12,0,0.07927351,0.0,
면적변화제동등D,15.82536,14:45:34:513,normal,5.497742,3.706645e-05,12,0,0.118956,0.0,
면적변화제동등D,15.89232,14:45:34:513,normal,5.239522,2.394448e-05,12,0,0.1626221,0.0,
면적변화제동등D,15.95954,14:45:34:550,normal,0.4940271,1.928539e-05,13,0,0.1665903,0.0,
면적변화제동등D,16.02848,14:45:34:551,normal,4.694474,2.555506e-05,13,0,0.2300977,0.0,
면적변화제동등D,16.09692,14:45:34:589,normal,0.2501845,3.14335e-06,13,0,0.2300977,0.0,
면적변화제동등D,16.16769,14:45:34:591,normal,4.779983,0.2802385,13,0,0.265812,0.0,
면적변화제동등D,16.2385,14:45:34:628,normal,0.09651184,0.3598593,13,0,0.265812,0.0,
면적변화제동등D,16.31006,14:45:34:629,normal,5.233264,0.3988287,13,0,0.2856532,0.0,
면적변화제동등D,16.38163,14:45:34:665,normal,-2.462161,0.3989538,14,0,0.2896215,0.0,
면적변화제동등D,16.45619,14:45:34:666,normal,7.824194,0.6927932,14,1,0.3055098,0.0,
면적변화제동등D,16.53001,14:45:34:706,normal,0.8009911,0.9016883,14,1,0.3055098,0.0,
면적변화제동등D,16.60508,14:45:34:707,normal,4.502976,0.9656606,14,1,0.3174145,0.0,
면적변화제동등D,16.68056,14:45:34:747,normal,-1.328218,0.4660487,14,1,0.3174145,0.0,
면적변화제동등D,16.75853,14:45:34:748,normal,6.597269,0.9400092,15,1,0.3570971,0.0,
면적변화제동등D,16.83576,14:45:34:785,normal,2.051699,0.7476326,15,1,0.3610653,0.0,
면적변화제동등D,16.91396,14:45:34:785,normal,3.544664,1.094691,15,1,0.4007631,0.0,
면적변화제동등D,16.99233,14:45:34:823,normal,-1.134133,1.111428,15,1,0.4047314,0.0,
면적변화제동등D,17.07181,14:45:34:824,normal,6.81417,1.401282,15,1,0.4404457,0.0,
면적변화제동등D,17.15126,14:45:34:862,normal,-1.078105,1.150283,16,1,0.4404457,0.0,
면적변화제동등D,17.23134,14:45:34:864,normal,6.365371,1.487758,16,1,0.4841117,0.0,
면적변화제동등D,17.31071,14:45:34:901,normal,-2.22137,1.771363,16,1,0.4841117,0.0,
면적변화제동등D,17.39279,14:45:34:902,normal,7.503319,1.3078,16,1,0.5351648,0.0,
면적변화제동등D,17.47432,14:45:34:939,normal,0.5573988,1.821359,16,2,0.5351648,0.0,
면적변화제동등D,17.55701,14:45:34:940,normal,4.89552,1.616821,17,2,0.5937729,0.0,
면적변화제동등D,17.63894,14:45:34:977,normal,0.1004219,1.833975,17,2,0.5976801,0.0,
