브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:51:32:257,normal,0.0,0.0,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:51:32:340,normal,0.0,-0.1011495,0,0,0.0,0.0,
밝기변화제동등B,13.99985,15:51:33:878,normal,0.0,-0.03978933,1,0,0.0,0.0,
밝기변화제동등B,13.99976,15:51:33:879,normal,2.777778,-0.01658959,0,0,0.0,0.0,
밝기변화제동등B,13.99965,15:51:33:880,normal,-2.749113,-0.01066118,0,0,0.0,0.0,
밝기변화제동등B,13.99955,15:51:33:881,normal,-0.02836846,-0.003579818,0,0,0.0,0.0,
밝기변화제동등B,13.99945,15:51:33:882,normal,-0.0002927358,0.001502165,0,0,0.0,0.0,
밝기변화제동등B,13.99936,15:51:34:034,normal,-3.020768e-06,0.005108386,1,0,0.0,0.0,
밝기변화제동등B,13.9993,15:51:34:035,normal,5.555555,0.007557462,1,0,0.0,0.0,
밝기변화제동등B,13.99922,15:51:34:036,normal,-5.498227,0.009135379,0,0,0.0,0.0,
밝기변화제동등B,13.99915,15:51:34:037,normal,-0.05673692,0.01004267,0,0,0.0,0.0,
밝기변화제동등B,13.99909,15:51:34:038,normal,-0.0005854716,0.01044194,0,0,0.0,0.0,
밝기변화제동등B,13.99903,15:51:34:120,normal,-6.041535e-06,0.01045945,1,0,0.0,0.0,
밝기변화제동등B,14.00704,15:51:34:121,normal,19.44445,0.01026427,1,0,0.0,0.0,
밝기변화제동등B,14.0144,15:51:34:123,normal,0.7175192,0.009848247,2,0,0.0,0.0,
밝기변화제동등B,14.02225,15:51:34:124,normal,-1.638728,0.009304856,2,0,0.0,0.0,
밝기변화제동등B,14.02975,15:51:34:162,normal,1.19019,0.008721585,2,0,0.0,0.0,
밝기변화제동등B,14.04313,15:51:34:163,normal,13.61991,0.008090016,3,0,0.0,0.0,
밝기변화제동등B,14.05621,15:51:34:200,normal,0.1862884,0.007417571,3,0,0.0,0.0,
밝기변화제동등B,14.07425,15:51:34:201,normal,11.74617,0.00680135,3,0,0.0,0.0,
밝기변화제동등B,14.09203,15:51:34:239,normal,-0.1145959,0.006171171,4,0,0.0,0.0,
밝기변화제동등B,14.11297,15:51:34:240,normal,5.908343,0.005591474,4,0,0.0,0.0,
밝기변화제동등B,14.13341,15:51:34:281,normal,1.346326,0.005037614,4,0,0.0,0.0,
밝기변화제동등B,14.15609,15:51:34:282,normal,3.99583,0.004528658,4,0,0.0,0.0,
밝기변화제동등B,14.1787,15:51:34:317,normal,0.3407896,0.004054775,5,0,0.0,0.0,
밝기변화제동등B,14.20398,15:51:34:318,normal,5.056226,0.003623764,5,0,0.0,0.0,
