브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,16:37:02:910,normal,0.0,0.0,0,0,0.5,0.5,
면적변화제동등D,13.99994,16:37:02:984,normal,0.0,-0.1011495,0,0,0.5,0.5,
면적변화제동등D,13.99985,16:37:04:523,normal,0.0,-0.03978933,1,0,0.5,0.5,
면적변화제동등D,13.99976,16:37:04:525,normal,2.777778,-0.02151834,0,0,0.01576618,0.0,
면적변화제동등D,13.99966,16:37:04:526,normal,-2.749113,-0.01055553,0,0,0.01576618,0.0,
면적변화제동등D,13.99956,16:37:04:527,normal,-0.02836846,0.001989829,0,0,0.01576618,0.0,
면적변화제동등D,13.99946,16:37:04:528,normal,-0.0002927358,0.001619093,0,0,0.01576618,0.0,
면적변화제동등D,13.99937,16:37:04:683,normal,-3.020768e-06,0.004988455,1,0,0.01576618,0.0,
면적변화제동등D,13.9993,16:37:04:684,normal,5.555555,0.007453922,1,0,0.01576618,0.0,
면적변화제동등D,13.99922,16:37:04:685,normal,-5.498227,0.009043643,0,0,0.01576618,0.0,
면적변화제동등D,13.99915,16:37:04:685,normal,-0.05673692,0.009941136,0,0,0.01576618,0.0,
면적변화제동등D,13.99909,16:37:04:686,normal,-0.0005854716,0.0103478,0,0,0.01576618,0.0,
면적변화제동등D,13.99903,16:37:04:766,normal,-6.041535e-06,0.01044347,1,0,0.01576618,0.0,
면적변화제동등D,14.00704,16:37:04:767,normal,19.44445,0.01019449,1,0,0.01576618,0.0,
면적변화제동등D,14.01441,16:37:04:768,normal,0.7175192,0.009797816,2,0,0.01576618,0.0,
면적변화제동등D,14.02225,16:37:04:769,normal,-1.638728,0.009277871,2,0,0.01576618,0.0,
면적변화제동등D,14.02975,16:37:04:816,normal,1.19019,0.008680025,2,0,0.01576618,0.0,
면적변화제동등D,14.04313,16:37:04:817,normal,13.61991,0.008064712,3,0,0.01576618,0.0,
면적변화제동등D,14.05622,16:37:04:860,normal,0.1862884,0.007414143,3,0,0.01576618,0.0,
면적변화제동등D,14.07408,16:37:04:861,normal,11.3357,0.006769586,3,0,0.01576618,0.0,
면적변화제동등D,14.09164,16:37:04:904,normal,-0.1237571,0.006168272,4,0,0.01576618,0.0,
면적변화제동등D,14.11243,16:37:04:905,normal,7.089245,0.005555945,4,0,0.01576618,0.0,
면적변화제동등D,14.13397,16:37:04:907,normal,0.215131,0.00503679,4,0,0.01576618,0.0,
면적변화제동등D,14.15508,16:37:04:953,normal,1.85799,0.004521574,4,0,0.01576618,0.0,
면적변화제동등D,14.17745,16:37:04:954,normal,4.043865,0.004036061,4,0,0.01973443,0.0,
면적변화제동등D,14.20007,16:37:04:999,normal,-1.98248,0.003621861,5,0,0.01973443,0.0,
면적변화제동등D,14.22537,16:37:05:000,normal,7.992739,0.003226823,5,0,0.01973443,0.0,
면적변화제동등D,14.25075,16:37:05:042,normal,-0.68748,0.002905898,5,0,0.01973443,0.0,
면적변화제동등D,14.27887,16:37:05:043,normal,7.52368,0.002553917,5,0,0.01973443,0.0,
면적변화제동등D,14.30728,16:37:05:090,normal,-0.4764557,0.002278555,6,0,0.01973443,0.0,
면적변화제동등D,14.33829,16:37:05:091,normal,6.852538,0.002019064,6,0,0.01973443,0.0,
면적변화제동등D,14.36909,16:37:05:091,normal,0.373441,0.001775303,6,0,0.01973443,0.0,
면적변화제동등D,14.40067,16:37:05:139,normal,-0.5101383,0.001589279,6,0,0.01973443,0.0,
면적변화제동등D,14.43376,16:37:05:139,normal,6.170362,0.001403305,6,0,0.01973443,0.0,
면적변화제동등D,14.46659,16:37:05:184,normal,-0.4615724,0.001246978,7,0,0.01973443,0.0,
면적변화제동등D,14.50285,16:37:05:186,normal,7.139778,0.001101074,7,0,0.02370269,0.0,
면적변화제동등D,14.53846,16:37:05:188,normal,0.8082807,0.0009507516,7,0,0.02370269,0.0,
면적변화제동등D,14.57413,16:37:05:233,normal,-1.658189,0.0008495256,7,0,0.02370269,0.0,
면적변화제동등D,14.61292,16:37:05:234,normal,7.641894,0.0007378978,7,0,0.0395757,0.0,
면적변화제동등D,14.65136,16:37:05:278,normal,0.318557,0.0006632418,8,0,0.04355922,0.0,
면적변화제동등D,14.69312,16:37:05:279,normal,6.04828,0.0005925304,8,0,0.07927351,0.0,
면적변화제동등D,14.73481,16:37:05:322,normal,1.365602,0.0005199108,8,0,0.08721001,0.0,
면적변화제동등D,14.77861,16:37:05:323,normal,5.397844,0.0004601417,8,0,0.1824634,0.0,
면적변화제동등D,14.82199,16:37:05:370,normal,-0.279963,0.0003878708,8,0,0.1824634,0.0,
면적변화제동등D,14.86785,16:37:05:370,normal,6.463528,0.0003414429,9,0,0.3809219,0.0,
면적변화제동등D,14.9137,16:37:05:372,normal,-1.339889,0.0003099076,9,0,0.3928266,0.0,
면적변화제동등D,14.95944,16:37:05:418,normal,-0.01754761,0.9997944,9,0,0.4007631,0.0,
면적변화제동등D,15.00739,16:37:05:419,normal,7.515383,1.494197,9,1,0.5781441,0.0,
면적변화제동등D,15.05431,16:37:05:466,normal,0.4137874,1.302813,9,1,0.5820513,0.0,
면적변화제동등D,15.10453,16:37:05:466,normal,6.20662,1.294173,10,1,0.6875458,0.0,
면적변화제동등D,15.15427,16:37:05:468,normal,2.076638,1.229119,10,1,0.691453,0.0,
면적변화제동등D,15.2033,16:37:05:516,normal,0.05227327,1.567378,10,1,0.691453,0.0,
면적변화제동등D,15.25353,16:37:05:518,normal,4.443657,1.194882,10,1,0.7031746,0.0,
면적변화제동등D,15.30277,16:37:05:564,normal,-0.4904866,1.476273,10,1,0.7031746,0.0,
면적변화제동등D,15.35482,16:37:05:565,normal,7.256019,1.561835,10,1,0.7227106,0.0,
면적변화제동등D,15.40636,16:37:05:567,normal,0.3590584,1.684135,11,1,0.7227106,0.0,
면적변화제동등D,15.45679,16:37:05:611,normal,0.3780961,1.281042,11,1,0.7227106,0.0,
면적변화제동등D,15.50966,16:37:05:612,normal,6.353652,1.678269,11,1,0.7656898,0.0,
면적변화제동등D,15.56267,16:37:05:656,normal,-0.1070619,1.50359,11,2,0.7656898,0.0,
