브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,17:40:07:122,normal,0.0,0.0,0,0,0.5,0.5,
면적변화제동등D,13.99994,17:40:07:196,normal,0.0,-0.1011495,0,0,0.0,0.0,
면적변화제동등D,13.99985,17:40:08:740,normal,0.0,-0.03978933,1,0,0.0,0.0,
면적변화제동등D,13.99976,17:40:08:742,normal,2.777778,-0.01658192,0,0,0.0,0.0,
면적변화제동등D,13.99965,17:40:08:743,normal,-2.749113,-0.0106721,0,0,0.0,0.0,
면적변화제동등D,13.99955,17:40:08:744,normal,-0.02836846,-0.003578095,0,0,0.0,0.0,
면적변화제동등D,13.99945,17:40:08:745,normal,-0.0002927358,0.001521362,0,0,0.0,0.0,
면적변화제동등D,13.99936,17:40:08:882,normal,-3.020768e-06,0.005099259,1,0,0.0,0.0,
면적변화제동등D,13.9993,17:40:08:884,normal,5.555555,0.00756738,1,0,0.0,0.0,
면적변화제동등D,13.99922,17:40:08:884,normal,-5.498227,0.009130454,0,0,0.0,0.0,
면적변화제동등D,13.99915,17:40:08:885,normal,-0.05673692,0.01003235,0,0,0.0,0.0,
면적변화제동등D,13.99909,17:40:08:886,normal,-0.0005854716,0.0104325,0,0,0.0,0.0,
면적변화제동등D,13.99903,17:40:08:984,normal,-6.041535e-06,0.01047115,1,0,0.0,0.0,
면적변화제동등D,14.00704,17:40:08:986,normal,19.44445,0.01027569,1,0,0.0,0.0,
면적변화제동등D,14.0144,17:40:08:987,normal,0.7175192,0.009835069,2,0,0.0,0.0,
면적변화제동등D,14.02225,17:40:08:990,normal,-1.638728,0.009316037,2,0,0.0,0.0,
면적변화제동등D,14.02975,17:40:08:992,normal,1.19019,0.008702982,2,0,0.0,0.0,
면적변화제동등D,14.03759,17:40:09:070,normal,-0.8610412,0.008105789,2,0,0.0,0.0,
면적변화제동등D,14.05041,17:40:09:070,normal,14.48095,0.007419696,2,0,0.0,0.0,
면적변화제동등D,14.06352,17:40:09:073,normal,-1.218268,0.006801525,3,0,0.0,0.0,
면적변화제동등D,14.07648,17:40:09:075,normal,0.7290393,0.006159774,3,0,0.0,0.0,
면적변화제동등D,14.08933,17:40:09:145,normal,-0.3923118,0.005595863,3,0,0.0,0.0,
면적변화제동등D,14.10821,17:40:09:146,normal,14.77043,0.005039253,4,0,0.0,0.0,
면적변화제동등D,14.12681,17:40:09:148,normal,0.04117191,0.004528248,4,0,0.0,0.0,
면적변화제동등D,14.14563,17:40:09:150,normal,-0.7406056,0.004045243,4,0,0.0,0.0,
면적변화제동등D,14.16417,17:40:09:219,normal,0.5703539,0.003636448,4,0,0.0,0.0,
면적변화제동등D,14.18768,17:40:09:219,normal,11.90372,0.00321859,4,0,0.0,0.0,
면적변화제동등D,14.2111,17:40:09:221,normal,-0.1983047,0.002912048,5,0,0.0,0.0,
면적변화제동등D,14.23499,17:40:09:295,normal,-0.2087295,0.002568314,5,0,0.0,0.0,
면적변화제동등D,14.2623,17:40:09:298,normal,10.89997,0.002274683,5,0,0.0,0.0,
면적변화제동등D,14.28981,17:40:09:299,normal,-1.19772,0.002034348,5,0,0.0,0.0,
면적변화제동등D,14.31806,17:40:09:300,normal,0.5169749,0.001793487,5,0,0.0,0.0,
면적변화제동등D,14.34548,17:40:09:370,normal,1.808542,0.001575582,6,0,0.0,0.0,
면적변화제동등D,14.37724,17:40:09:372,normal,9.132165,0.001401609,6,0,0.0,0.0,
면적변화제동등D,14.40866,17:40:09:374,normal,-0.3373682,0.0012537,6,0,0.0,0.0,
면적변화제동등D,14.44014,17:40:09:376,normal,-0.8584917,0.001076873,6,0,0.0,0.0,
면적변화제동등D,14.47115,17:40:09:448,normal,0.156796,0.000974779,6,0,0.0,0.0,
면적변화제동등D,14.50756,17:40:09:450,normal,11.82358,0.0008237221,7,0,0.0,0.0,
면적변화제동등D,14.54473,17:40:09:452,normal,0.4877508,0.0007649549,7,0,0.0,0.0,
면적변화제동등D,14.58137,17:40:09:453,normal,1.904476,0.0006584415,7,0,0.0,0.0,
면적변화제동등D,14.61857,17:40:09:524,normal,-1.307702,0.000580318,7,0,0.0,0.0,
면적변화제동등D,14.65837,17:40:09:526,normal,9.187329,0.0005243841,7,0,0.0,0.0,
면적변화제동등D,14.69794,17:40:09:527,normal,-1.304424,0.0004463753,7,0,0.0,0.0,
면적변화제동등D,14.7375,17:40:09:528,normal,-0.5779624,0.0003913618,7,0,0.0,0.0,
면적변화제동등D,14.7768,17:40:09:598,normal,-0.01838207,0.000359767,8,0,0.0,0.0,
면적변화제동등D,14.82104,17:40:09:600,normal,12.73669,0.0003012044,8,0,0.0,0.0,
면적변화제동등D,14.86615,17:40:09:601,normal,-1.023328,0.000245226,8,0,0.0,0.0,
면적변화제동등D,14.91161,17:40:09:673,normal,2.158749,0.0002587684,9,0,0.0,0.0,
면적변화제동등D,14.96,17:40:09:674,normal,9.451389,0.0002176536,9,0,0.0,0.0,
면적변화제동등D,15.0081,17:40:09:676,normal,-1.264191,0.0001723513,9,0,0.0,0.0,
면적변화제동등D,15.05646,17:40:09:678,normal,-0.7128119,0.0001642487,9,0,0.0,0.0,
면적변화제동등D,15.10489,17:40:09:750,normal,0.6548882,0.0001110116,9,0,0.0,0.0,
면적변화제동등D,15.15774,17:40:09:752,normal,11.56737,0.0001427477,10,0,0.0,0.0,
면적변화제동등D,15.21077,17:40:09:753,normal,-0.3468513,0.0001106027,10,0,0.0,0.0,
면적변화제동등D,15.26355,17:40:09:755,normal,0.4428506,9.25636e-05,10,0,0.0,0.0,
면적변화제동등D,15.31608,17:40:09:826,normal,-0.6084204,8.408893e-05,10,0,0.0,0.0,
면적변화제동등D,15.37294,17:40:09:827,normal,10.86279,7.5547e-05,10,0,0.0,0.0,
면적변화제동등D,15.42994,17:40:09:828,normal,-0.6722331,6.370988e-05,11,0,0.0,0.0,
면적변화제동등D,15.48731,17:40:09:830,normal,0.3510475,4.801771e-05,11,0,0.0,0.0,
면적변화제동등D,15.54496,17:40:09:904,normal,0.9009838,5.699394e-05,11,0,0.0,0.0,
면적변화제동등D,15.60592,17:40:09:905,normal,10.17605,4.601514e-05,11,0,0.0,0.0,
면적변화제동등D,15.66766,17:40:09:907,normal,-1.170528,5.214443e-05,11,0,0.0,0.0,
면적변화제동등D,15.72856,17:40:09:977,normal,1.928842,3.260304e-05,12,0,0.0,0.0,
면적변화제동등D,15.79432,17:40:09:978,normal,9.712136,7.111066e-06,12,0,0.0,0.0,
면적변화제동등D,15.85961,17:40:09:980,normal,0.3484368,2.863836e-05,12,0,0.0,0.0,
면적변화제동등D,15.92491,17:40:09:981,normal,-1.166928,7.382005e-06,12,0,0.0,0.0,
면적변화제동등D,15.99089,17:40:10:051,normal,0.0161171,1.75855e-05,13,0,0.0,0.0,
면적변화제동등D,16.06034,17:40:10:053,normal,11.60245,2.887016e-05,13,0,0.09911478,0.0,
면적변화제동등D,16.13016,17:40:10:054,normal,-1.230955,1.448875e-05,13,0,0.09911478,0.0,
면적변화제동등D,16.19927,17:40:10:056,normal,0.9177446,6.461664e-06,13,0,0.1070513,0.0,
면적변화제동등D,16.26871,17:40:10:129,normal,-1.75668,2.570448e-05,13,0,0.1269078,0.0,
면적변화제동등D,16.34274,17:40:10:130,normal,12.28405,2.375621e-05,14,0,0.5312576,0.0,
면적변화제동등D,16.41628,17:40:10:131,normal,0.003826618,-7.224656e-07,14,0,0.5312576,0.0,
면적변화제동등D,16.48951,17:40:10:132,normal,-1.217449,1.267948,14,0,0.539072,0.0,
면적변화제동등D,16.5618,17:40:10:206,normal,0.6014705,1.516859,14,1,0.5468864,0.0,
면적변화제동등D,16.63837,17:40:10:207,normal,10.8783,1.102631,14,1,0.7813187,0.0,
면적변화제동등D,16.7147,17:40:10:208,normal,0.1739621,1.443241,14,1,0.7852259,0.0,
면적변화제동등D,16.78996,17:40:10:210,normal,0.8510828,1.265509,14,1,0.7930403,0.0,
면적변화제동등D,16.86458,17:40:10:272,normal,-1.382637,1.417094,15,1,0.7969475,0.0,
면적변화제동등D,16.94334,17:40:10:273,normal,11.23859,1.348685,15,1,0.882906,0.0,
면적변화제동등D,17.02174,17:40:10:273,normal,0.2440453,1.348783,15,1,0.8868132,0.0,
면적변화제동등D,17.09945,17:40:10:331,normal,0.4084587,1.39294,16,1,0.8868132,0.0,
면적변화제동등D,17.18086,17:40:10:333,normal,9.999561,1.594295,16,1,0.9649572,0.0,
면적변화제동등D,17.26128,17:40:10:334,normal,0.5289316,1.568849,16,1,0.9649572,0.0,
면적변화제동등D,17.34078,17:40:10:380,normal,-0.9090662,1.642987,16,2,0.9688644,0.0,
면적변화제동등D,17.42413,17:40:10:381,normal,9.570622,1.634906,17,2,1.000122,0.0,
면적변화제동등D,17.50706,17:40:10:426,normal,1.007581,1.688716,17,2,1.000122,0.0,
면적변화제동등D,17.59124,17:40:10:428,normal,7.267213,1.984105,17,2,1.000122,0.0,
면적변화제동등D,17.67498,17:40:10:429,normal,-1.533866,1.728749,17,2,1.000122,0.0,
면적변화제동등D,17.75763,17:40:10:470,normal,0.6373167,2.276628,17,2,1.000122,0.0,
면적변화제동등D,17.84253,17:40:10:470,normal,7.675004,1.968202,18,2,1.000122,0.0,
면적변화제동등D,17.92673,17:40:10:514,normal,-0.5386829,2.368817,18,2,1.000122,0.0,
면적변화제동등D,18.01238,17:40:10:515,normal,6.975889,2.068818,18,3,1.000122,0.0,
면적변화제동등D,18.097,17:40:10:556,normal,-0.6550074,2.883238,18,3,1.000122,0.0,
면적변화제동등D,18.18299,17:40:10:557,normal,6.651759,2.540913,18,3,1.000122,0.0,
면적변화제동등D,18.26744,17:40:10:598,normal,-0.3229618,2.957171,19,3,1.000122,0.0,
면적변화제동등D,18.35332,17:40:10:599,normal,6.435418,3.089658,19,3,1.000122,0.0,
면적변화제동등D,18.43793,17:40:10:645,normal,-0.6582499,3.258106,19,4,1.000122,0.0,
면적변화제동등D,18.52444,17:40:10:646,normal,6.500483,3.457126,19,4,1.000122,0.0,
면적변화제동등D,18.60914,17:40:10:647,normal,1.81601,3.756595,20,4,1.000122,0.0,
면적변화제동등D,18.69226,17:40:10:692,normal,-0.7531166,4.156953,20,4,1.000122,0.0,
면적변화제동등D,18.77558,17:40:10:693,normal,4.758596,3.903276,20,5,1.000122,0.0,
면적변화제동등D,18.85647,17:40:10:737,normal,-0.1126289,4.974979,20,5,1.000122,0.0,
면적변화제동등D,18.9388,17:40:10:738,normal,6.606436,4.960126,20,5,0.9923077,0.0,
면적변화제동등D,19.01915,17:40:10:837,normal,0.9423733,5.390102,21,6,0.9923077,0.0,
면적변화제동등D,19.09903,17:40:10:838,normal,5.743623,5.664587,21,6,0.9805861,0.0,
면적변화제동등D,19.17648,17:40:10:840,normal,-0.761342,6.041634,21,6,0.9844933,0.0,
면적변화제동등D,19.25095,17:40:10:840,normal,0.01420975,6.274223,21,7,0.9844933,0.0,
면적변화제동등D,19.32296,17:40:10:841,normal,-1.171017,6.878656,21,7,0.9844933,0.0,
면적변화제동등D,19.3919,17:40:10:889,normal,0.7663012,6.758368,21,8,0.9844933,0.0,
면적변화제동등D,19.46159,17:40:10:889,normal,7.257605,6.895113,21,8,0.9844933,0.0,
면적변화제동등D,19.52871,17:40:10:890,normal,0.5867958,6.98421,21,9,0.9844933,0.0,
면적변화제동등D,19.59282,17:40:10:937,normal,0.5421638,6.959939,22,9,0.9844933,0.0,
면적변화제동등D,19.65928,17:40:10:938,normal,12.7599,6.944716,22,10,0.9844933,0.0,
면적변화제동등D,19.72303,17:40:10:989,normal,-0.5805016,6.930614,22,10,0.9844933,0.0,
면적변화제동등D,19.78688,17:40:10:990,normal,7.680106,6.916606,23,11,0.9884005,0.0,
면적변화제동등D,19.84778,17:40:10:991,normal,-0.4084826,6.903207,23,11,0.9884005,0.0,
면적변화제동등D,19.90604,17:40:11:037,normal,-0.496316,6.889343,23,12,0.9884005,0.0,
면적변화제동등D,19.9643,17:40:11:038,normal,7.66511,6.875622,23,12,0.9923077,0.0,
면적변화제동등D,20.02018,17:40:11:082,normal,-0.5648375,6.862068,23,13,0.9923077,0.0,
면적변화제동등D,20.07532,17:40:11:083,normal,7.734942,6.848395,24,13,0.9923077,0.0,
면적변화제동등D,20.1277,17:40:11:125,normal,-1.878381,6.835008,24,14,0.9923077,0.0,
면적변화제동등D,20.1813,17:40:11:126,normal,8.581614,6.821561,24,14,0.9923077,0.0,
면적변화제동등D,20.23147,17:40:11:127,normal,1.199532,6.808412,24,15,0.9923077,0.0,
면적변화제동등D,20.27884,17:40:11:172,normal,-1.828408,6.79462,24,15,0.9923077,0.0,
면적변화제동등D,20.32678,17:40:11:173,normal,6.867027,6.781554,25,16,0.9923077,0.0,
면적변화제동등D,20.372,17:40:11:216,normal,1.099277,6.768346,25,16,0.9923077,0.0,
면적변화제동등D,20.41761,17:40:11:217,normal,4.928184,6.794763,25,17,0.9805861,0.0,
면적변화제동등D,20.46001,17:40:11:261,normal,0.8624077,6.746793,25,17,0.9805861,0.0,
면적변화제동등D,20.50243,17:40:11:262,normal,5.652761,6.723094,26,18,0.9649572,0.0,
면적변화제동등D,20.5415,17:40:11:309,normal,0.6630421,6.708789,26,18,0.9649572,0.0,
면적변화제동등D,20.58024,17:40:11:310,normal,5.383301,6.696963,26,19,0.9454212,0.0,
면적변화제동등D,20.61634,17:40:11:311,normal,-0.6681442,6.685328,26,19,0.9454212,0.0,
면적변화제동등D,20.64972,17:40:11:355,normal,0.2374172,6.673598,26,20,0.941514,0.0,
면적변화제동등D,20.68334,17:40:11:356,normal,6.742191,6.66182,26,20,0.9258852,0.0,
면적변화제동등D,20.71348,17:40:11:400,normal,0.6006479,6.633806,27,21,0.921978,0.0,
면적변화제동등D,20.74498,17:40:11:401,normal,6.036043,6.337619,27,21,0.8907204,0.0,
면적변화제동등D,20.77319,17:40:11:445,normal,1.724601,6.248403,27,21,0.8907204,0.0,
면적변화제동등D,20.80248,17:40:11:446,normal,4.66125,5.703139,27,22,0.7930403,0.0,
면적변화제동등D,20.82885,17:40:11:491,normal,1.747489,5.676699,28,22,0.7891331,0.0,
면적변화제동등D,20.85658,17:40:11:491,normal,4.512835,4.239297,28,23,0.6211233,0.0,
면적변화제동등D,20.88202,17:40:11:492,normal,1.405573,4.137588,28,23,0.6211233,0.0,
면적변화제동등D,20.90722,17:40:11:540,normal,-1.63393,2.359009,28,23,0.6133089,0.0,
