브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:00:51:812,normal,0.0,0.0,0,0,0.5,0.5,
기본제동등A,13.99994,15:00:51:886,normal,0.0,-0.1011495,0,0,0.5,0.5,
기본제동등A,13.99985,15:00:53:391,normal,0.0,-0.03978933,1,0,0.5,0.5,
기본제동등A,13.99976,15:00:53:392,normal,2.777778,-0.02151834,0,0,0.5,0.5,
기본제동등A,13.99966,15:00:53:393,normal,-2.749113,-0.01055553,0,0,0.5,0.5,
기본제동등A,13.99956,15:00:53:395,normal,-0.02836846,-0.003134238,0,0,0.5,0.5,
기본제동등A,13.99946,15:00:53:396,normal,-0.0002927358,0.002041913,0,0,0.5,0.5,
기본제동등A,13.99937,15:00:53:522,normal,-3.020768e-06,0.005648227,1,0,0.5,0.5,
기본제동등A,13.99931,15:00:53:523,normal,5.555555,0.008047547,1,0,0.5,0.5,
기본제동등A,13.99923,15:00:53:523,normal,-5.498227,0.009589386,0,0,0.5,0.5,
기본제동등A,13.99916,15:00:53:525,normal,-0.05673692,0.01042387,0,0,0.5,0.5,
기본제동등A,13.9991,15:00:53:526,normal,-0.0005854716,0.01076243,0,0,0.5,0.5,
기본제동등A,13.99904,15:00:53:612,normal,-6.041535e-06,0.01077182,1,0,0.5,0.5,
기본제동등A,14.00706,15:00:53:614,normal,19.44445,0.01051255,1,0,0.5,0.5,
기본제동등A,14.01442,15:00:53:615,normal,0.7175192,0.01004457,2,0,0.5,0.5,
기본제동등A,14.02226,15:00:53:616,normal,-1.638728,0.009510503,2,0,0.5,0.5,
기본제동등A,14.02977,15:00:53:663,normal,1.19019,0.008828402,2,0,0.5,0.5,
기본제동등A,14.04314,15:00:53:664,normal,13.61991,0.008211972,3,0,0.5,0.5,
기본제동등A,14.05623,15:00:53:664,normal,0.1862884,0.007518614,3,0,0.5,0.5,
기본제동등A,14.06898,15:00:53:702,normal,-0.7247895,0.006872788,3,0,0.5,0.5,
기본제동등A,14.08761,15:00:53:703,normal,13.10616,0.006230513,3,0,0.5,0.5,
기본제동등A,14.10612,15:00:53:741,normal,0.7157654,0.005655637,4,0,0.5,0.5,
기본제동등A,14.12754,15:00:53:781,normal,6.272331,0.005075638,4,0,0.0,0.0,
기본제동등A,14.15057,15:00:53:781,normal,5.495322,0.004555279,4,0,0.0,0.0,
기본제동등A,14.17418,15:00:53:820,normal,-0.7857323,0.004908678,5,0,0.0,0.0,
기본제동등A,14.19877,15:00:53:821,normal,6.145233,0.003536249,5,0,0.0,0.0,
기본제동등A,14.22344,15:00:53:856,normal,-2.228117,0.003135095,5,0,0.0,0.0,
기본제동등A,14.25113,15:00:53:856,normal,7.569838,0.00279035,5,0,0.0,0.0,
기본제동등A,14.27913,15:00:53:895,normal,0.1618445,0.002486742,5,0,0.0,0.0,
기본제동등A,14.30888,15:00:53:895,normal,5.364203,0.002202646,6,0,0.0,0.0,
기본제동등A,14.33845,15:00:53:931,normal,-0.2272189,0.001977602,6,0,0.0,0.0,
기본제동등A,14.3699,15:00:53:932,normal,5.34755,0.001735428,6,0,0.0,0.0,
기본제동등A,14.40122,15:00:53:969,normal,-1.104409,0.001544874,6,0,0.0,0.0,
기본제동등A,14.43604,15:00:53:970,normal,6.423277,0.001374511,6,0,0.0,0.0,
기본제동등A,14.47029,15:00:54:005,normal,2.003688,0.001219008,7,0,0.0,0.0,
기본제동등A,14.50658,15:00:54:006,normal,3.102297,0.001067586,7,0,0.0,0.0,
기본제동등A,14.54265,15:00:54:043,normal,0.5616009,0.0009381264,7,0,0.0,0.0,
기본제동등A,14.58145,15:00:54:044,normal,4.692084,0.0008389503,7,0,0.02370269,0.0,
기본제동등A,14.61944,15:00:54:081,normal,1.573032,0.0007326573,7,0,0.02370269,0.0,
기본제동등A,14.65935,15:00:54:117,normal,3.451133,0.0006456801,8,0,0.09117827,0.0,
기본제동등A,14.70187,15:00:54:118,normal,5.238354,0.0005706425,8,0,0.1586538,0.0,
기본제동등A,14.74521,15:00:54:155,normal,0.6062984,0.0005182865,8,0,0.1626221,0.0,
기본제동등A,14.78864,15:00:54:156,normal,4.703057,0.0004442434,8,0,0.2539072,0.0,
기본제동등A,14.83172,15:00:54:193,normal,-2.405167,0.000388604,8,0,0.2539072,0.0,
기본제동등A,14.87826,15:00:54:195,normal,7.4242,0.5191622,9,0,0.3451923,0.0,
기본제동등A,14.92483,15:00:54:231,normal,0.9350777,0.2780651,9,0,0.3451923,0.0,
기본제동등A,14.9728,15:00:54:232,normal,4.261637,0.9452229,9,0,0.4126679,0.0,
기본제동등A,15.0199,15:00:54:268,normal,0.5714893,1.161012,9,1,0.4126679,0.0,
기본제동등A,15.06878,15:00:54:269,normal,4.818285,1.459448,9,1,0.4682387,0.0,
기본제동등A,15.1169,15:00:54:308,normal,0.1710892,1.2785,10,1,0.472207,0.0,
기본제동등A,15.16688,15:00:54:309,normal,5.030024,1.069798,10,1,0.5,0.0,
기본제동등A,15.21584,15:00:54:345,normal,0.04913807,1.454578,10,1,0.5,0.0,
기본제동등A,15.267,15:00:54:347,normal,5.136991,1.603834,10,1,0.5234432,0.0,
기본제동등A,15.31776,15:00:54:385,normal,0.8999228,1.139869,10,1,0.5273504,0.0,
