브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,17:09:22:365,normal,0.0,0.0,0,0,0.5,0.5,
밝기변화제동등B,13.99994,17:09:22:439,normal,0.0,-0.1011495,0,0,0.5,0.5,
밝기변화제동등B,13.99985,17:09:23:962,normal,0.0,-0.03978933,1,0,0.3332875,0.0,
밝기변화제동등B,13.99976,17:09:23:963,normal,2.777778,-0.02151834,0,0,0.4483822,0.0,
밝기변화제동등B,13.99966,17:09:23:964,normal,-2.749113,-0.005432579,0,0,0.4483822,0.0,
밝기변화제동등B,13.99898,17:09:23:965,normal,-0.02836846,1.325944,0,0,0.4483822,0.0,
밝기변화제동등B,13.99778,17:09:23:966,normal,-0.0002927358,1.2895,0,1,0.4483822,0.0,
밝기변화제동등B,13.99607,17:09:24:131,normal,-3.020768e-06,1.270799,1,1,0.4523504,0.0,
밝기변화제동등B,13.99384,17:09:24:132,normal,5.555555,1.365363,1,1,0.5156288,0.0,
밝기변화제동등B,13.991,17:09:24:133,normal,-5.498227,1.461528,0,1,0.5156288,0.0,
밝기변화제동등B,13.98768,17:09:24:133,normal,-0.05673692,1.259675,0,1,0.5156288,0.0,
밝기변화제동등B,13.98388,17:09:24:135,normal,-0.0005854716,1.256993,0,1,0.5156288,0.0,
밝기변화제동등B,13.9795,17:09:24:226,normal,-6.041535e-06,1.452117,1,1,0.5156288,0.0,
밝기변화제동등B,13.98257,17:09:24:228,normal,19.44445,1.560032,1,1,0.5625153,0.0,
밝기변화제동등B,13.98442,17:09:24:229,normal,0.7175192,1.448449,2,1,0.5664225,0.0,
밝기변화제동등B,13.98608,17:09:24:230,normal,-1.638728,1.70313,2,1,0.5664225,0.0,
밝기변화제동등B,13.98681,17:09:24:285,normal,1.19019,1.477283,2,1,0.5664225,0.0,
밝기변화제동등B,13.99276,17:09:24:286,normal,13.61991,1.65318,3,2,0.5781441,0.0,
밝기변화제동등B,13.99774,17:09:24:287,normal,0.1862884,1.709132,3,2,0.5781441,0.0,
밝기변화제동등B,14.00162,17:09:24:327,normal,-0.7247895,1.904699,3,2,0.5781441,0.0,
밝기변화제동등B,14.01079,17:09:24:328,normal,13.748,1.766682,3,2,0.5781441,0.0,
밝기변화제동등B,14.01937,17:09:24:368,normal,0.3396958,2.098964,4,2,0.5781441,0.0,
밝기변화제동등B,14.02946,17:09:24:370,normal,7.887828,2.105701,4,2,0.5781441,0.0,
밝기변화제동등B,14.03856,17:09:24:411,normal,-1.363558,2.322522,4,2,0.5781441,0.0,
밝기변화제동등B,14.05002,17:09:24:412,normal,7.31836,2.377039,5,3,0.5859585,0.0,
밝기변화제동등B,14.0604,17:09:24:413,normal,0.8019626,2.438936,5,3,0.5859585,0.0,
밝기변화제동등B,14.06977,17:09:24:455,normal,-0.2880514,2.431482,5,3,0.5859585,0.0,
밝기변화제동등B,14.07996,17:09:24:456,normal,5.194402,2.846748,5,3,0.5976801,0.0,
밝기변화제동등B,14.08967,17:09:24:498,normal,-0.3690422,2.354836,5,3,0.6015873,0.0,
밝기변화제동등B,14.10003,17:09:24:499,normal,6.20274,2.856404,5,3,0.6133089,0.0,
밝기변화제동등B,14.10993,17:09:24:539,normal,-0.5699515,2.381253,6,4,0.6133089,0.0,
밝기변화제동등B,14.12024,17:09:24:540,normal,6.693041,3.08879,6,4,0.6250305,0.0,
밝기변화제동등B,14.12963,17:09:24:579,normal,-1.398778,2.857935,6,4,0.6289377,0.0,
밝기변화제동등B,14.13978,17:09:24:580,normal,7.458007,2.538723,6,4,0.6484737,0.0,
밝기변화제동등B,14.14993,17:09:24:616,normal,-2.48335,2.918077,7,4,0.6484737,0.0,
밝기변화제동등B,14.16096,17:09:24:617,normal,8.07935,3.053606,7,5,0.6601954,0.0,
밝기변화제동등B,14.17035,17:09:24:655,normal,0.09580255,3.162688,7,5,0.6601954,0.0,
밝기변화제동등B,14.18075,17:09:24:656,normal,5.377269,3.20074,7,5,0.6601954,0.0,
밝기변화제동등B,14.18976,17:09:24:693,normal,-0.5767107,3.051782,7,5,0.6601954,0.0,
밝기변화제동등B,14.19965,17:09:24:694,normal,5.923462,3.243291,7,6,0.6641026,0.0,
밝기변화제동등B,14.20898,17:09:24:732,normal,-0.9434938,3.204072,8,6,0.6641026,0.0,
밝기변화제동등B,14.21836,17:09:24:733,normal,6.245255,3.184515,8,6,0.6680098,0.0,
밝기변화제동등B,14.22604,17:09:24:771,normal,-1.112175,3.13133,8,6,0.6680098,0.0,
밝기변화제동등B,14.2354,17:09:24:772,normal,6.409621,3.2435,8,6,0.6836386,0.0,
밝기변화제동등B,14.24366,17:09:24:809,normal,-0.1438141,3.185302,9,7,0.6836386,0.0,
밝기변화제동등B,14.25345,17:09:24:846,normal,5.586517,3.152567,9,7,0.6992674,0.0,
밝기변화제동등B,14.26292,17:09:24:847,normal,5.358601,3.410864,9,7,0.710989,0.0,
밝기변화제동등B,14.27096,17:09:24:884,normal,-0.9053946,3.539127,9,7,0.710989,0.0,
밝기변화제동등B,14.27975,17:09:24:885,normal,6.224489,3.609264,9,8,0.7266178,0.0,
밝기변화제동등B,14.28731,17:09:24:923,normal,-0.7462144,3.646731,10,8,0.730525,0.0,
밝기변화제동등B,14.29576,17:09:24:924,normal,5.883574,3.938794,10,8,0.750061,0.0,
밝기변화제동등B,14.30217,17:09:24:963,normal,0.8746266,3.787434,10,8,0.750061,0.0,
밝기변화제동등B,14.30893,17:09:24:963,normal,4.429626,4.007936,10,9,0.7656898,0.0,
밝기변화제동등B,14.31375,17:09:25:001,normal,-0.8577704,4.027951,10,9,0.7656898,0.0,
밝기변화제동등B,14.32043,17:09:25:002,normal,6.29642,4.217958,11,9,0.7852259,0.0,
밝기변화제동등B,14.32512,17:09:25:040,normal,1.735699,4.209363,11,10,0.7852259,0.0,
밝기변화제동등B,14.33002,17:09:25:040,normal,3.644609,4.447079,11,10,0.8047619,0.0,
밝기변화제동등B,14.33274,17:09:25:077,normal,0.5924225,4.440963,11,10,0.8047619,0.0,
밝기변화제동등B,14.33586,17:09:25:079,normal,4.743767,4.690933,11,11,0.8203907,0.0,
밝기변화제동등B,14.33713,17:09:25:118,normal,-0.04255772,4.684532,12,11,0.8203907,0.0,
밝기변화제동등B,14.33851,17:09:25:119,normal,5.390978,4.891372,12,11,0.8282051,0.0,
밝기변화제동등B,14.33786,17:09:25:156,normal,-0.1531959,4.884088,12,12,0.8321123,0.0,
밝기변화제동등B,14.33772,17:09:25:157,normal,5.555224,4.985392,12,12,0.8321123,0.0,
밝기변화제동등B,14.33562,17:09:25:195,normal,0.4962444,5.032992,12,12,0.8360195,0.0,
밝기변화제동등B,14.33255,17:09:25:196,normal,5.036914,5.024302,12,13,0.8399267,0.0,
밝기변화제동등B,14.3286,17:09:25:233,normal,-2.298152,5.11421,13,13,0.8399267,0.0,
밝기변화제동등B,14.32494,17:09:25:234,normal,7.614684,5.11719,13,13,0.8438339,0.0,
밝기변화제동등B,14.31934,17:09:25:272,normal,-0.3432512,5.101442,13,14,0.8438339,0.0,
밝기변화제동등B,14.31359,17:09:25:273,normal,5.746305,5.150712,13,14,0.8477411,0.0,
밝기변화제동등B,14.30558,17:09:25:310,normal,-0.07410049,5.141246,14,15,0.8477411,0.0,
밝기변화제동등B,14.29803,17:09:25:347,normal,5.381489,5.191326,14,15,0.8438339,0.0,
밝기변화제동등B,14.2896,17:09:25:349,normal,5.317211,5.182052,14,15,0.8438339,0.0,
밝기변화제동등B,14.27968,17:09:25:386,normal,-1.394796,5.115342,14,16,0.8438339,0.0,
밝기변화제동등B,14.26967,17:09:25:387,normal,6.726241,5.104947,14,16,0.8438339,0.0,
밝기변화제동등B,14.25707,17:09:25:426,normal,-0.3212571,5.094266,15,16,0.8438339,0.0,
밝기변화제동등B,14.2459,17:09:25:427,normal,5.586672,5.084133,15,17,0.8321123,0.0,
밝기변화제동등B,14.23228,17:09:25:466,normal,1.731658,5.074167,15,17,0.8321123,0.0,
밝기변화제동등B,14.21885,17:09:25:467,normal,3.684688,4.89347,15,17,0.8164835,0.0,
밝기변화제동등B,14.20333,17:09:25:504,normal,0.6563187,4.879642,16,18,0.8164835,0.0,
밝기변화제동등B,14.18772,17:09:25:505,normal,4.766846,4.650521,16,18,0.8125763,0.0,
밝기변화제동등B,14.16997,17:09:25:542,normal,-0.688839,4.635715,16,19,0.8125763,0.0,
밝기변화제동등B,14.15315,17:09:25:543,normal,6.13718,4.572582,16,19,0.8008547,0.0,
밝기변화제동등B,14.13451,17:09:25:580,normal,0.01292229,4.561996,16,19,0.8008547,0.0,
밝기변화제동등B,14.11644,17:09:25:581,normal,5.347824,4.395127,16,19,0.7891331,0.0,
밝기변화제동등B,14.09643,17:09:25:619,normal,0.4488468,4.382086,17,20,0.7891331,0.0,
밝기변화제동등B,14.07724,17:09:25:620,normal,4.876208,4.220033,17,20,0.7735043,0.0,
밝기변화제동등B,14.05587,17:09:25:659,normal,0.9229183,4.207587,17,20,0.7695971,0.0,
밝기변화제동등B,14.03515,17:09:25:660,normal,4.439759,4.001713,17,21,0.7344322,0.0,
밝기변화제동등B,14.0126,17:09:25:697,normal,-0.09360313,3.939867,17,21,0.7344322,0.0,
밝기변화제동등B,13.99135,17:09:25:698,normal,5.387235,3.517938,18,21,0.6758242,0.0,
밝기변화제동등B,13.96923,17:09:25:736,normal,0.6897211,3.498769,18,22,0.671917,0.0,
밝기변화제동등B,13.94707,17:09:25:737,normal,4.7647,2.877879,18,22,0.6172161,0.0,
밝기변화제동등B,13.92299,17:09:25:774,normal,-0.711298,2.816033,18,22,0.6133089,0.0,
밝기변화제동등B,13.90164,17:09:25:774,normal,6.09374,2.313304,18,22,0.5781441,0.0,
밝기변화제동등B,13.87974,17:09:25:812,normal,0.9683847,2.260542,19,22,0.5742369,0.0,
밝기변화제동등B,13.85811,17:09:25:813,normal,4.470587,1.969218,19,23,0.5468864,0.0,
밝기변화제동등B,13.83585,17:09:25:851,normal,-0.9747744,1.926088,19,23,0.5468864,0.0,
밝기변화제동등B,13.81528,17:09:25:889,normal,6.246972,1.714897,19,23,0.5156288,0.0,
밝기변화제동등B,13.79595,17:09:25:890,normal,5.291367,1.705098,19,23,0.4761752,0.0,
밝기변화제동등B,13.77579,17:09:25:927,normal,-0.4569292,1.47903,20,23,0.472207,0.0,
밝기변화제동등B,13.75823,17:09:25:927,normal,5.783701,1.205111,20,23,0.4126679,0.0,
밝기변화제동등B,13.73971,17:09:25:966,normal,1.314044,1.168537,20,23,0.4086996,0.0,
밝기변화제동등B,13.7232,17:09:25:967,normal,3.995013,0.7949591,20,23,0.3213828,0.0,
밝기변화제동등B,13.70601,17:09:26:004,normal,0.5569458,0.7570982,21,23,0.3213828,0.0,
밝기변화제동등B,13.69102,17:09:26:005,normal,4.777861,0.2392769,21,23,0.2420024,0.0,
밝기변화제동등B,13.67559,17:09:26:045,normal,-0.007772446,0.2212048,21,23,0.2380342,0.0,
밝기변화제동등B,13.66339,17:09:26:045,normal,5.375767,-0.2569675,21,23,0.1308761,0.0,
밝기변화제동등B,13.65106,17:09:26:086,normal,1.554561,-0.2980947,21,23,0.1269078,0.0,
밝기변화제동등B,13.64119,17:09:26:087,normal,3.847075,-1.025224,21,23,0.02370269,0.0,
밝기변화제동등B,13.6315,17:09:26:124,normal,0.5928755,-1.078868,22,23,0.01973443,0.0,
