브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:26:23:808,normal,0.17772090708729138,0.12291052114049884,0,0,0.5,0.5,
기본제동등A,13.99994,15:26:23:881,normal,0.17772090708729138,0.12291052114049884,0,0,0.5,0.5,
기본제동등A,13.99985,15:26:25:371,normal,1.14908097946202,0.12291052114049884,1,0,0.5,0.5,
기본제동등A,13.99976,15:26:25:374,normal,2.1204410518367487,0.12291052114049884,0,0,0.1467491,0.0,
기본제동등A,13.99966,15:26:25:374,normal,2.1204410518367487,0.12291052114049884,0,0,0.1467491,0.0,
기본제동등A,13.99956,15:26:25:375,normal,2.1204410518367487,0.12291052114049884,0,0,0.1467491,0.0,
기본제동등A,13.99946,15:26:25:377,normal,2.1204410518367487,0.12291052114049884,0,0,0.1467491,0.0,
기본제동등A,13.99936,15:26:25:505,normal,2.664878619133559,0.12291052114049884,1,0,0.1467491,0.0,
기본제동등A,13.9993,15:26:25:506,normal,3.209316186430369,0.12291052114049884,1,0,0.1507173,0.0,
기본제동등A,13.99922,15:26:25:507,normal,3.75375375372718,0.12291052114049884,0,0,0.1507173,0.0,
기본제동등A,13.99915,15:26:25:508,normal,3.75375375372718,0.12291052114049884,0,0,0.1507173,0.0,
기본제동등A,13.99909,15:26:25:510,normal,3.75375375372718,0.12291052114049884,0,0,0.1507173,0.0,
기본제동등A,13.99903,15:26:25:581,normal,4.126933951457733,0.12291052114049884,1,0,0.1507173,0.0,
기본제동등A,14.00704,15:26:25:583,normal,4.500114149188286,0.12291052114049884,1,0,0.1546856,0.0,
기본제동등A,14.01441,15:26:25:585,normal,4.873294346918839,0.12291052114049884,2,0,0.1546856,0.0,
기본제동등A,14.02225,15:26:25:640,normal,4.873294346918839,0.12291052114049884,2,0,0.1546856,0.0,
기본제동등A,14.03473,15:26:25:641,normal,4.873294346918839,0.12291052114049884,2,0,0.1586538,0.0,
기본제동등A,14.04722,15:26:25:642,normal,3.5161744023436183,0.12291052114049884,3,0,0.1586538,0.0,
기본제동등A,14.06013,15:26:25:682,normal,3.5161744023436183,0.12291052114049884,3,0,0.1586538,0.0,
기본제동등A,14.07733,15:26:25:683,normal,3.5161744023436183,0.12291052114049884,3,0,0.1665903,0.0,
기본제동등A,14.09494,15:26:25:721,normal,3.5612535611924367,0.12291052114049884,4,0,0.1665903,0.0,
기본제동등A,14.11509,15:26:25:722,normal,3.5612535611924367,0.12291052114049884,4,0,0.1784951,0.0,
기본제동등A,14.13532,15:26:25:760,normal,3.5612535611924367,0.12291052114049884,4,0,0.1824634,0.0,
기본제동등A,14.15837,15:26:25:761,normal,3.5612535611924367,0.12291052114049884,4,0,0.1903999,0.0,
기본제동등A,14.18123,15:26:25:799,normal,3.387533875249782,0.12291052114049884,5,0,0.1903999,0.0,
기본제동등A,14.20637,15:26:25:800,normal,3.387533875249782,0.12291052114049884,5,0,0.1983364,0.0,
기본제동등A,14.23244,15:26:25:838,normal,3.387533875249782,0.12291052114049884,5,0,0.1983364,0.0,
기본제동등A,14.2593,15:26:25:838,normal,3.387533875249782,0.12291052114049884,5,0,0.2023046,0.0,
기본제동등A,14.28629,15:26:25:880,normal,3.387533875249782,0.12291052114049884,5,0,0.2023046,0.0,
기본제동등A,14.31565,15:26:25:881,normal,2.525252525239163,0.12291052114049884,6,0,0.2062729,0.0,
기본제동등A,14.34518,15:26:25:918,normal,2.525252525239163,0.12291052114049884,6,0,0.2062729,0.0,
기본제동등A,14.37584,15:26:25:919,normal,2.525252525239163,0.12291052114049884,6,0,0.2062729,0.0,
기본제동등A,14.40693,15:26:25:955,normal,2.525252525239163,0.12291052114049884,6,0,0.2062729,0.0,
기본제동등A,14.44068,15:26:25:955,normal,2.525252525239163,0.12291052114049884,6,0,0.2102564,0.0,
기본제동등A,14.47427,15:26:25:991,normal,3.6075036076208717,0.12291052114049884,7,0,0.2102564,0.0,
기본제동등A,14.51072,15:26:25:992,normal,3.6075036076208717,0.12291052114049884,7,0,0.2102564,0.0,
기본제동등A,14.5465,15:26:26:028,normal,3.6075036076208717,0.12291052114049884,7,0,0.2102564,0.0,
기본제동등A,14.58414,15:26:26:029,normal,3.6075036076208717,0.12291052114049884,7,0,0.2102564,0.0,
기본제동등A,14.62205,15:26:26:067,normal,3.6075036076208717,0.12291052114049884,7,0,0.2102564,0.0,
기본제동등A,14.66124,15:26:26:068,normal,2.4582104228653754,0.6566850538442888,8,1,0.2102564,0.0,
기본제동등A,14.69994,15:26:26:107,normal,2.4582104228653754,0.6566850538442888,8,1,0.2102564,0.0,
기본제동등A,14.74205,15:26:26:108,normal,2.4582104228653754,0.6566850538442888,8,1,0.2142247,0.0,
기본제동등A,14.78432,15:26:26:145,normal,2.4582104228653754,0.6566850538442888,8,1,0.2142247,0.0,
기본제동등A,14.82741,15:26:26:181,normal,2.4582104228653754,0.6566850538442888,8,1,0.2221612,0.0,
기본제동등A,14.87252,15:26:26:181,normal,2.3342670400306478,0.6566850538442888,9,1,0.2340659,0.0,
기본제동등A,14.91763,15:26:26:223,normal,2.3342670400306478,0.6566850538442888,9,1,0.2340659,0.0,
기본제동등A,14.96538,15:26:26:224,normal,2.3342670400306478,0.6566850538442888,9,1,0.2499389,0.0,
기본제동등A,15.01368,15:26:26:262,normal,2.3342670400306478,0.6566850538442888,9,1,0.2499389,0.0,
기본제동등A,15.06207,15:26:26:263,normal,2.3342670400306478,0.6566850538442888,9,1,0.281685,0.0,
기본제동등A,15.11033,15:26:26:300,normal,3.6075036076208717,0.6566850538442888,10,1,0.281685,0.0,
기본제동등A,15.16148,15:26:26:301,normal,3.6075036076208717,0.6566850538442888,10,1,0.3174145,0.0,
기본제동등A,15.21304,15:26:26:339,normal,3.6075036076208717,0.6566850538442888,10,1,0.3174145,0.0,
기본제동등A,15.26492,15:26:26:340,normal,3.6075036076208717,0.6566850538442888,10,1,0.3928266,0.0,
기본제동등A,15.31647,15:26:26:377,normal,3.6075036076208717,0.6566850538442888,10,1,0.3967949,0.0,
기본제동등A,15.37049,15:26:26:377,normal,2.4582104228653754,0.6566850538442888,11,1,0.4682387,0.0,
기본제동등A,15.42379,15:26:26:414,normal,2.4582104228653754,0.6566850538442888,11,1,0.472207,0.0,
기본제동등A,15.47941,15:26:26:415,normal,2.4582104228653754,0.6566850538442888,11,1,0.5234432,0.0,
기본제동등A,15.53418,15:26:26:452,normal,2.4582104228653754,0.6566850538442888,11,1,0.5234432,0.0,
기본제동등A,15.58945,15:26:26:453,normal,2.4582104228653754,0.6566850538442888,11,1,0.5586081,0.0,
기본제동등A,15.64485,15:26:26:490,normal,3.6549707601891295,0.6566850538442888,12,1,0.5625153,0.0,
기본제동등A,15.70128,15:26:26:491,normal,3.6549707601891295,1.4775413712004797,12,2,0.5859585,0.0,
기본제동등A,15.75666,15:26:26:528,normal,3.6549707601891295,1.4775413712004797,12,2,0.5859585,0.0,
기본제동등A,15.81453,15:26:26:529,normal,3.6549707601891295,1.4775413712004797,12,2,0.6015873,0.0,
기본제동등A,15.87156,15:26:26:566,normal,3.6549707601891295,1.4775413712004797,12,2,0.6015873,0.0,
