브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:08:16:541,normal,0.1771541950114168,0.17670342097821706,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:08:16:614,normal,0.1771541950114168,0.17670342097821706,0,0,0.4682387,0.0,
밝기변화제동등B,13.99985,15:08:18:109,normal,0.9963476131286859,0.17670342097821706,1,0,0.4682387,0.0,
밝기변화제동등B,13.99976,15:08:18:110,normal,1.815541031245955,0.17670342097821706,0,0,0.4682387,0.0,
밝기변화제동등B,13.9991,15:08:18:111,normal,1.815541031245955,0.17670342097821706,0,0,0.4682387,0.0,
밝기변화제동등B,13.99784,15:08:18:113,normal,1.815541031245955,1.010101010095665,0,1,0.4682387,0.0,
밝기변화제동등B,13.99614,15:08:18:114,normal,1.815541031245955,1.010101010095665,0,1,0.4682387,0.0,
밝기변화제동등B,13.99388,15:08:18:263,normal,2.3259340922445464,1.010101010095665,1,1,0.4682387,0.0,
밝기변화제동등B,13.99114,15:08:18:265,normal,2.836327153243137,1.010101010095665,1,1,0.4682387,0.0,
밝기변화제동등B,13.98772,15:08:18:265,normal,3.3467202142417287,1.010101010095665,0,1,0.4682387,0.0,
밝기변화제동등B,13.9838,15:08:18:267,normal,3.3467202142417287,1.010101010095665,0,1,0.4682387,0.0,
밝기변화제동등B,13.97939,15:08:18:268,normal,3.3467202142417287,1.010101010095665,0,1,0.4682387,0.0,
밝기변화제동등B,13.97437,15:08:18:348,normal,4.605315850067978,1.010101010095665,1,1,0.4682387,0.0,
밝기변화제동등B,13.97685,15:08:18:349,normal,5.863911485894226,1.010101010095665,1,1,0.4682387,0.0,
밝기변화제동등B,13.97807,15:08:18:350,normal,7.122507121720475,1.010101010095665,2,1,0.4682387,0.0,
밝기변화제동등B,13.97917,15:08:18:351,normal,7.122507121720475,1.010101010095665,2,1,0.4682387,0.0,
밝기변화제동등B,13.97928,15:08:18:388,normal,7.122507121720475,1.8518518518338867,2,2,0.4682387,0.0,
밝기변화제동등B,13.98449,15:08:18:389,normal,3.7037037038474265,1.8518518518338867,3,2,0.4682387,0.0,
밝기변화제동등B,13.98877,15:08:18:427,normal,3.7037037038474265,1.8518518518338867,3,2,0.4682387,0.0,
밝기변화제동등B,13.99696,15:08:18:428,normal,3.7037037038474265,1.8518518518338867,3,2,0.4682387,0.0,
밝기변화제동등B,14.00492,15:08:18:464,normal,3.75375375372718,1.8518518518338867,4,2,0.4682387,0.0,
밝기변화제동등B,14.01431,15:08:18:465,normal,3.75375375372718,1.8518518518338867,4,2,0.4682387,0.0,
밝기변화제동등B,14.02312,15:08:18:501,normal,3.75375375372718,1.8518518518338867,4,2,0.4682387,0.0,
밝기변화제동등B,14.03275,15:08:18:538,normal,3.75375375372718,1.8518518518338867,4,2,0.4682387,0.0,
밝기변화제동등B,14.0445,15:08:18:538,normal,2.4154589372408584,1.803751803725215,5,3,0.4682387,0.0,
밝기변화제동등B,14.05519,15:08:18:576,normal,2.4154589372408584,1.803751803725215,5,3,0.4682387,0.0,
밝기변화제동등B,14.06781,15:08:18:577,normal,2.4154589372408584,1.803751803725215,5,3,0.4682387,0.0,
밝기변화제동등B,14.08003,15:08:18:614,normal,2.4154589372408584,1.803751803725215,5,3,0.4682387,0.0,
밝기변화제동등B,14.09232,15:08:18:615,normal,2.4154589372408584,1.803751803725215,5,3,0.4682387,0.0,
밝기변화제동등B,14.10344,15:08:18:653,normal,3.607503607279988,1.803751803725215,6,3,0.4682387,0.0,
밝기변화제동등B,14.11743,15:08:18:654,normal,3.607503607279988,1.803751803725215,6,3,0.4682387,0.0,
밝기변화제동등B,14.13104,15:08:18:691,normal,3.607503607279988,1.803751803725215,6,3,0.4682387,0.0,
밝기변화제동등B,14.14555,15:08:18:692,normal,3.607503607279988,1.5096618357994154,6,4,0.4682387,0.0,
밝기변화제동등B,14.15847,15:08:18:729,normal,3.607503607279988,1.5096618357994154,6,4,0.4682387,0.0,
밝기변화제동등B,14.17459,15:08:18:730,normal,2.5025025025668053,1.5096618357994154,7,4,0.4682387,0.0,
밝기변화제동등B,14.19001,15:08:18:768,normal,2.5025025025668053,1.5096618357994154,7,4,0.4682387,0.0,
밝기변화제동등B,14.20554,15:08:18:769,normal,2.5025025025668053,1.5096618357994154,7,4,0.4682387,0.0,
밝기변화제동등B,14.22074,15:08:18:804,normal,2.5025025025668053,1.5096618357994154,7,4,0.4682387,0.0,
밝기변화제동등B,14.23719,15:08:18:805,normal,2.5025025025668053,1.5096618357994154,7,4,0.4682387,0.0,
밝기변화제동등B,14.25332,15:08:18:841,normal,2.572016460901191,1.5096618357994154,8,4,0.4682387,0.0,
밝기변화제동등B,14.27117,15:08:18:876,normal,2.572016460901191,1.87687687686359,8,5,0.4682387,0.0,
밝기변화제동등B,14.28978,15:08:18:877,normal,2.572016460901191,1.87687687686359,8,5,0.4841117,0.0,
밝기변화제동등B,14.30801,15:08:18:912,normal,2.572016460901191,1.87687687686359,8,5,0.4841117,0.0,
밝기변화제동등B,14.3273,15:08:18:913,normal,2.572016460901191,1.87687687686359,8,5,0.5078144,0.0,
밝기변화제동등B,14.34601,15:08:18:949,normal,3.7037037038474265,1.87687687686359,9,5,0.5078144,0.0,
밝기변화제동등B,14.36621,15:08:18:949,normal,3.7037037038474265,1.87687687686359,9,5,0.5312576,0.0,
밝기변화제동등B,14.38585,15:08:18:988,normal,3.7037037038474265,1.87687687686359,9,5,0.5312576,0.0,
밝기변화제동등B,14.40637,15:08:18:988,normal,3.7037037038474265,1.87687687686359,9,5,0.5586081,0.0,
밝기변화제동등B,14.42598,15:08:19:024,normal,3.7037037038474265,2.480158730136818,9,6,0.5586081,0.0,
밝기변화제동등B,14.44681,15:08:19:024,normal,2.502502502402768,2.480158730136818,10,6,0.5898657,0.0,
밝기변화제동등B,14.46639,15:08:19:061,normal,2.502502502402768,2.480158730136818,10,6,0.5937729,0.0,
밝기변화제동등B,14.48775,15:08:19:098,normal,2.502502502402768,2.480158730136818,10,6,0.6094017,0.0,
밝기변화제동등B,14.50961,15:08:19:100,normal,2.502502502402768,2.480158730136818,10,6,0.6133089,0.0,
밝기변화제동등B,14.53009,15:08:19:135,normal,2.480158730136818,2.480158730136818,11,6,0.6133089,0.0,
밝기변화제동등B,14.55279,15:08:19:136,normal,2.480158730136818,2.502502502402768,11,7,0.6133089,0.0,
