브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,15:14:15:771,normal,0.17726724810293096,0.16121751467096812,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,15:14:15:843,normal,0.17726724810293096,0.16121751467096812,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99985,15:14:17:338,normal,0.996404139674443,0.16121751467096812,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99976,15:14:17:341,normal,1.815541031245955,0.16121751467096812,0,0,0.4245726,0.0,
점멸주파수변화제동등C,13.99966,15:14:17:342,normal,1.815541031245955,0.16121751467096812,0,0,0.4245726,0.0,
점멸주파수변화제동등C,13.99956,15:14:17:343,normal,1.815541031245955,0.16121751467096812,0,0,0.4245726,0.0,
점멸주파수변화제동등C,13.99889,15:14:17:343,normal,1.815541031245955,0.16121751467096812,0,0,0.4285409,0.0,
점멸주파수변화제동등C,13.99768,15:14:17:494,normal,2.0598340140035494,1.7580872010908486,1,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99596,15:14:17:495,normal,2.304126996761144,1.7580872010908486,1,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99366,15:14:17:496,normal,2.5484199795187386,1.7580872010908486,0,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99088,15:14:17:497,normal,2.5484199795187386,1.7580872010908486,0,1,0.4285409,0.0,
점멸주파수변화제동등C,13.98762,15:14:17:499,normal,2.5484199795187386,1.7580872010908486,0,1,0.4285409,0.0,
점멸주파수변화제동등C,13.98374,15:14:17:605,normal,2.8281246114290863,1.7580872010908486,1,1,0.4285409,0.0,
점멸주파수변화제동등C,13.98739,15:14:17:607,normal,3.107829243339434,1.7580872010908486,1,1,0.4285409,0.0,
점멸주파수변화제동등C,13.98985,15:14:17:608,normal,3.387533875249782,1.7580872010908486,2,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99214,15:14:17:609,normal,3.387533875249782,1.7580872010908486,2,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99351,15:14:17:611,normal,3.387533875249782,1.7580872010908486,2,1,0.4285409,0.0,
점멸주파수변화제동등C,13.99461,15:14:17:651,normal,3.387533875249782,1.7580872010908486,2,1,0.4285409,0.0,
점멸주파수변화제동등C,14.00016,15:14:17:652,normal,3.387533875249782,1.4934289127716003,2,2,0.4285409,0.0,
점멸주파수변화제동등C,14.00536,15:14:17:690,normal,3.5963544565476067,1.4934289127716003,3,2,0.4285409,0.0,
점멸주파수변화제동등C,14.01515,15:14:17:690,normal,3.5963544565476067,1.4934289127716003,3,2,0.4285409,0.0,
점멸주파수변화제동등C,14.02452,15:14:17:727,normal,3.805175037845431,1.4934289127716003,4,2,0.4285409,0.0,
점멸주파수변화제동등C,14.03614,15:14:17:727,normal,3.805175037845431,1.4934289127716003,4,2,0.4285409,0.0,
점멸주파수변화제동등C,14.04748,15:14:17:764,normal,3.805175037845431,1.4934289127716003,4,2,0.4285409,0.0,
점멸주파수변화제동등C,14.05989,15:14:17:800,normal,3.7037037038474265,1.4934289127716003,5,2,0.4285409,0.0,
점멸주파수변화제동등C,14.07384,15:14:17:801,normal,3.7037037038474265,1.4934289127716003,5,2,0.4285409,0.0,
점멸주파수변화제동등C,14.0879,15:14:17:837,normal,3.7037037038474265,1.4934289127716003,5,2,0.4285409,0.0,
점멸주파수변화제동등C,14.10237,15:14:17:838,normal,3.7037037038474265,1.4697236919576828,5,3,0.4285409,0.0,
점멸주파수변화제동등C,14.11613,15:14:17:874,normal,3.7037037038474265,1.4697236919576828,5,3,0.4285409,0.0,
점멸주파수변화제동등C,14.1324,15:14:17:875,normal,2.4154589372408584,1.4697236919576828,6,3,0.4285409,0.0,
점멸주파수변화제동등C,14.1476,15:14:17:913,normal,2.4154589372408584,1.4697236919576828,6,3,0.4285409,0.0,
점멸주파수변화제동등C,14.16531,15:14:17:914,normal,2.4154589372408584,1.4697236919576828,6,3,0.4285409,0.0,
점멸주파수변화제동등C,14.18189,15:14:17:951,normal,2.4154589372408584,1.4697236919576828,6,3,0.4285409,0.0,
점멸주파수변화제동등C,14.19968,15:14:17:952,normal,2.4154589372408584,1.4697236919576828,6,3,0.4285409,0.0,
점멸주파수변화제동등C,14.21712,15:14:17:990,normal,3.4293552809705528,1.4697236919576828,7,3,0.4285409,0.0,
점멸주파수변화제동등C,14.23559,15:14:17:991,normal,3.4293552809705528,1.4697236919576828,7,3,0.4245726,0.0,
점멸주파수변화제동등C,14.25387,15:14:18:027,normal,3.4293552809705528,1.4697236919576828,7,3,0.4245726,0.0,
점멸주파수변화제동등C,14.27412,15:14:18:027,normal,3.4293552809705528,1.4467592592934706,7,4,0.4245726,0.0,
점멸주파수변화제동등C,14.29359,15:14:18:070,normal,3.4293552809705528,1.4467592592934706,7,4,0.4245726,0.0,
점멸주파수변화제동등C,14.31493,15:14:18:071,normal,2.4801587302979384,1.4467592592934706,8,4,0.4285409,0.0,
점멸주파수변화제동등C,14.33488,15:14:18:108,normal,2.4801587302979384,1.4467592592934706,8,4,0.4285409,0.0,
점멸주파수변화제동등C,14.35667,15:14:18:108,normal,2.4801587302979384,1.4467592592934706,8,4,0.4325092,0.0,
점멸주파수변화제동등C,14.37764,15:14:18:146,normal,2.4801587302979384,1.4467592592934706,8,4,0.4325092,0.0,
점멸주파수변화제동등C,14.40098,15:14:18:146,normal,2.4801587302979384,1.4467592592934706,8,4,0.4325092,0.0,
점멸주파수변화제동등C,14.42326,15:14:18:183,normal,2.502502502402768,1.4467592592934706,9,4,0.4325092,0.0,
점멸주파수변화제동등C,14.44747,15:14:18:218,normal,2.502502502402768,1.4467592592934706,9,4,0.4404457,0.0,
점멸주파수변화제동등C,14.47293,15:14:18:219,normal,2.502502502402768,1.454333915019919,9,5,0.4523504,0.0,
점멸주파수변화제동등C,14.49783,15:14:18:257,normal,2.502502502402768,1.454333915019919,9,5,0.4563187,0.0,
점멸주파수변화제동등C,14.52398,15:14:18:258,normal,2.502502502402768,1.454333915019919,9,5,0.4761752,0.0,
점멸주파수변화제동등C,14.55027,15:14:18:294,normal,3.5161744023436183,1.454333915019919,10,5,0.4801435,0.0,
점멸주파수변화제동등C,14.5765,15:14:18:295,normal,3.5161744023436183,1.454333915019919,10,5,0.5078144,0.0,
점멸주파수변화제동등C,14.60234,15:14:18:333,normal,3.5161744023436183,1.454333915019919,10,5,0.5117216,0.0,
점멸주파수변화제동등C,14.62982,15:14:18:333,normal,3.5161744023436183,1.454333915019919,10,5,0.5547009,0.0,
점멸주파수변화제동등C,14.65714,15:14:18:372,normal,3.5161744023436183,1.454333915019919,10,5,0.5547009,0.0,
점멸주파수변화제동등C,14.68499,15:14:18:373,normal,2.4366471734594195,1.454333915019919,11,5,0.6054945,0.0,
점멸주파수변화제동등C,14.71196,15:14:18:410,normal,2.4366471734594195,3.6075036076208717,11,6,0.6054945,0.0,
점멸주파수변화제동등C,14.73986,15:14:18:411,normal,2.4366471734594195,3.6075036076208717,11,6,0.6523809,0.0,
점멸주파수변화제동등C,14.76683,15:14:18:448,normal,2.4366471734594195,3.6075036076208717,11,6,0.6562881,0.0,
점멸주파수변화제동등C,14.79454,15:14:18:449,normal,2.4366471734594195,3.6075036076208717,11,6,0.691453,0.0,
점멸주파수변화제동등C,14.82121,15:14:18:487,normal,2.4582104228653754,3.6075036076208717,12,6,0.6953602,0.0,
점멸주파수변화제동등C,14.84889,15:14:18:487,normal,2.4582104228653754,2.4582104228653754,12,7,0.7344322,0.0,
점멸주파수변화제동등C,14.87489,15:14:18:525,normal,2.4582104228653754,2.4582104228653754,12,7,0.7344322,0.0,
점멸주파수변화제동등C,14.90183,15:14:18:526,normal,2.4582104228653754,2.4582104228653754,12,7,0.750061,0.0,
점멸주파수변화제동등C,14.92801,15:14:18:564,normal,2.4582104228653754,2.4582104228653754,12,7,0.750061,0.0,
점멸주파수변화제동등C,14.95301,15:14:18:600,normal,3.387533875249782,6.613756613554963,13,8,0.750061,0.0,
점멸주파수변화제동등C,14.9791,15:14:18:602,normal,3.387533875249782,6.613756613554963,13,8,0.7461538,0.0,
점멸주파수변화제동등C,15.00357,15:14:18:640,normal,3.387533875249782,6.613756613554963,13,8,0.7461538,0.0,
점멸주파수변화제동등C,15.02863,15:14:18:642,normal,3.387533875249782,3.5161744023436183,13,9,0.7461538,0.0,
점멸주파수변화제동등C,15.05167,15:14:18:682,normal,2.4366471734594195,3.5161744023436183,14,9,0.7461538,0.0,
점멸주파수변화제동등C,15.07577,15:14:18:682,normal,2.4366471734594195,3.5161744023436183,14,9,0.750061,0.0,
점멸주파수변화제동등C,15.09809,15:14:18:720,normal,2.4366471734594195,3.5161744023436183,14,9,0.750061,0.0,
점멸주파수변화제동등C,15.12127,15:14:18:721,normal,2.4366471734594195,3.7037037034881197,14,10,0.7539682,0.0,
점멸주파수변화제동등C,15.14271,15:14:18:758,normal,2.4366471734594195,3.7037037034881197,14,10,0.7539682,0.0,
점멸주파수변화제동등C,15.16506,15:14:18:759,normal,2.4366471734594195,3.7037037034881197,14,10,0.7539682,0.0,
점멸주파수변화제동등C,15.18594,15:14:18:796,normal,3.6075036076208717,3.6075036076208717,15,11,0.7539682,0.0,
점멸주파수변화제동등C,15.20611,15:14:18:797,normal,3.6075036076208717,3.6075036076208717,15,11,0.7617826,0.0,
점멸주파수변화제동등C,15.22539,15:14:18:835,normal,3.6075036076208717,3.6075036076208717,15,11,0.7617826,0.0,
점멸주파수변화제동등C,15.24546,15:14:18:836,normal,3.6075036076208717,3.6075036076208717,15,11,0.7656898,0.0,
점멸주파수변화제동등C,15.2639,15:14:18:873,normal,3.6075036076208717,3.655603655734149,15,12,0.7695971,0.0,
점멸주파수변화제동등C,15.2824,15:14:18:873,normal,2.4582104228653754,3.655603655734149,16,12,0.7695971,0.0,
