브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,13:37:55:272,normal,0.1799078871615765,0.13373990263704355,0,0,0.5,0.5,
면적변화제동등D,13.99994,13:37:55:344,normal,0.1799078871615765,0.13373990263704355,0,0,0.5,0.5,
면적변화제동등D,13.99985,13:37:56:816,normal,1.0891545830486948,0.13373990263704355,1,0,0.5,0.5,
면적변화제동등D,13.99976,13:37:56:818,normal,1.998401278935813,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99966,13:37:56:818,normal,1.998401278935813,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99956,13:37:56:821,normal,1.998401278935813,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99946,13:37:56:821,normal,1.998401278935813,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99936,13:37:56:957,normal,2.5668354205730175,0.13373990263704355,1,0,0.0,0.0,
면적변화제동등D,13.9993,13:37:56:958,normal,3.135269562210222,0.13373990263704355,1,0,0.0,0.0,
면적변화제동등D,13.99922,13:37:56:959,normal,3.7037037038474265,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99915,13:37:56:960,normal,3.7037037038474265,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99909,13:37:56:960,normal,3.7037037038474265,0.13373990263704355,0,0,0.0,0.0,
면적변화제동등D,13.99903,13:37:57:034,normal,3.6716370051052416,0.13373990263704355,1,0,0.0,0.0,
면적변화제동등D,14.00704,13:37:57:035,normal,3.6395703063630567,0.13373990263704355,1,0,0.0,0.0,
면적변화제동등D,14.01441,13:37:57:036,normal,3.6075036076208717,0.13373990263704355,2,0,0.0,0.0,
면적변화제동등D,14.02225,13:37:57:074,normal,3.6075036076208717,0.13373990263704355,2,0,0.0,0.0,
면적변화제동등D,14.03473,13:37:57:075,normal,3.6075036076208717,0.13373990263704355,2,0,0.0,0.0,
면적변화제동등D,14.04722,13:37:57:113,normal,3.5398629148836513,0.13373990263704355,3,0,0.0,0.0,
면적변화제동등D,14.06521,13:37:57:113,normal,3.5398629148836513,0.13373990263704355,3,0,0.01179792,0.0,
면적변화제동등D,14.08329,13:37:57:151,normal,3.472222222146431,0.13373990263704355,4,0,0.01576618,0.0,
면적변화제동등D,14.10282,13:37:57:152,normal,3.472222222146431,0.13373990263704355,4,0,0.05546398,0.0,
