브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:51:32:257,normal,0.17136198505732106,0.09743170037795344,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:51:32:340,normal,0.17136198505732106,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99985,15:51:33:878,normal,0.9817383402056414,0.09743170037795344,1,0,0.0,0.0,
밝기변화제동등B,13.99976,15:51:33:879,normal,1.792114695353962,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99965,15:51:33:880,normal,1.792114695353962,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99955,15:51:33:881,normal,1.792114695353962,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99945,15:51:33:882,normal,1.792114695353962,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99936,15:51:34:034,normal,2.2970358991618016,0.09743170037795344,1,0,0.0,0.0,
밝기변화제동등B,13.9993,15:51:34:035,normal,2.8019571029696415,0.09743170037795344,1,0,0.0,0.0,
밝기변화제동등B,13.99922,15:51:34:036,normal,3.3068783067774814,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99915,15:51:34:037,normal,3.3068783067774814,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99909,15:51:34:038,normal,3.3068783067774814,0.09743170037795344,0,0,0.0,0.0,
밝기변화제동등B,13.99903,15:51:34:120,normal,4.519400352615941,0.09743170037795344,1,0,0.0,0.0,
밝기변화제동등B,14.00704,15:51:34:121,normal,5.731922398454401,0.09743170037795344,1,0,0.0,0.0,
밝기변화제동등B,14.0144,15:51:34:123,normal,6.944444444292862,0.09743170037795344,2,0,0.0,0.0,
밝기변화제동등B,14.02225,15:51:34:124,normal,6.944444444292862,0.09743170037795344,2,0,0.0,0.0,
밝기변화제동등B,14.02975,15:51:34:162,normal,6.944444444292862,0.09743170037795344,2,0,0.0,0.0,
밝기변화제동등B,14.04313,15:51:34:163,normal,3.6549707601891295,0.09743170037795344,3,0,0.0,0.0,
밝기변화제동등B,14.05621,15:51:34:200,normal,3.6549707601891295,0.09743170037795344,3,0,0.0,0.0,
