브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:07:02:412,normal,0.17875017874975024,0.11128917378888571,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:07:02:485,normal,0.17875017874975024,0.11128917378888571,0,0,0.5,0.5,
밝기변화제동등B,13.99985,15:07:03:966,normal,0.9260551429353072,0.11128917378888571,1,0,0.5,0.5,
밝기변화제동등B,13.99976,15:07:03:968,normal,1.6733601071208644,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99966,15:07:03:969,normal,1.6733601071208644,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99956,15:07:03:969,normal,1.6733601071208644,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99946,15:07:03:971,normal,1.6733601071208644,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99937,15:07:04:134,normal,2.0233439203702206,0.11128917378888571,1,0,0.0,0.0,
밝기변화제동등B,13.9993,15:07:04:136,normal,2.3733277336195764,0.11128917378888571,1,0,0.0,0.0,
밝기변화제동등B,13.99922,15:07:04:137,normal,2.7233115468689326,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99915,15:07:04:138,normal,2.7233115468689326,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99909,15:07:04:139,normal,2.7233115468689326,0.11128917378888571,0,0,0.0,0.0,
밝기변화제동등B,13.99903,15:07:04:239,normal,2.904865649993528,0.11128917378888571,1,0,0.0,0.0,
밝기변화제동등B,14.00704,15:07:04:240,normal,3.0864197531181237,0.11128917378888571,1,0,0.0,0.0,
밝기변화제동등B,14.01441,15:07:04:241,normal,3.267973856242719,0.11128917378888571,2,0,0.0,0.0,
밝기변화제동등B,14.02225,15:07:04:242,normal,3.267973856242719,0.11128917378888571,2,0,0.0,0.0,
밝기변화제동등B,14.02975,15:07:04:242,normal,3.267973856242719,0.11128917378888571,2,0,0.0,0.0,
밝기변화제동등B,14.0376,15:07:04:283,normal,3.267973856242719,0.11128917378888571,2,0,0.0,0.0,
밝기변화제동등B,14.05041,15:07:04:284,normal,3.267973856242719,0.11128917378888571,2,0,0.0,0.0,
밝기변화제동등B,14.06353,15:07:04:326,normal,6.944444444292862,0.11128917378888571,3,0,0.0,0.0,
