브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:38:24:349,normal,0.1786352268667047,0.11973180076629855,0,0,0.5,0.5,
기본제동등A,13.99994,15:38:24:421,normal,0.1786352268667047,0.11973180076629855,0,0,0.5,0.5,
기본제동등A,13.99985,15:38:25:904,normal,0.9739602178254434,0.11973180076629855,1,0,0.5,0.5,
기본제동등A,13.99976,15:38:25:907,normal,1.7692852087841822,0.11973180076629855,0,0,0.09514652,0.0,
기본제동등A,13.99966,15:38:25:908,normal,1.7692852087841822,0.11973180076629855,0,0,0.09514652,0.0,
기본제동등A,13.99956,15:38:25:911,normal,1.7692852087841822,0.11973180076629855,0,0,0.09514652,0.0,
기본제동등A,13.99946,15:38:25:912,normal,1.7692852087841822,0.11973180076629855,0,0,0.09514652,0.0,
기본제동등A,13.99937,15:38:26:064,normal,2.1054493984621883,0.11973180076629855,1,0,0.09117827,0.0,
기본제동등A,13.9993,15:38:26:065,normal,2.441613588140194,0.11973180076629855,1,0,0.04355922,0.0,
기본제동등A,13.99922,15:38:26:066,normal,2.7777777778182,0.11973180076629855,0,0,0.0395757,0.0,
기본제동등A,13.99915,15:38:26:068,normal,2.7777777778182,0.11973180076629855,0,0,0.0395757,0.0,
기본제동등A,13.99909,15:38:26:068,normal,2.7777777778182,0.11973180076629855,0,0,0.0395757,0.0,
기본제동등A,13.99903,15:38:26:166,normal,3.0389363722762788,0.11973180076629855,1,0,0.03560745,0.0,
기본제동등A,14.00704,15:38:26:167,normal,3.300094966734358,0.11973180076629855,1,0,0.0,0.0,
기본제동등A,14.01441,15:38:26:168,normal,3.5612535611924367,0.11973180076629855,2,0,0.0,0.0,
기본제동등A,14.02225,15:38:26:168,normal,3.5612535611924367,0.11973180076629855,2,0,0.0,0.0,
기본제동등A,14.02975,15:38:26:169,normal,3.5612535611924367,0.11973180076629855,2,0,0.0,0.0,
기본제동등A,14.0376,15:38:26:208,normal,3.5612535611924367,0.11973180076629855,2,0,0.0,0.0,
기본제동등A,14.05041,15:38:26:209,normal,3.5612535611924367,0.11973180076629855,2,0,0.0,0.0,
기본제동등A,14.06352,15:38:26:246,normal,3.6324786325199314,0.11973180076629855,3,0,0.0,0.0,
기본제동등A,14.08173,15:38:26:246,normal,3.6324786325199314,0.11973180076629855,3,0,0.0,0.0,
기본제동등A,14.10016,15:38:26:285,normal,3.7037037038474265,0.11973180076629855,4,0,0.0,0.0,
기본제동등A,14.12117,15:38:26:322,normal,3.7037037038474265,0.11973180076629855,4,0,0.0,0.0,
기본제동등A,14.1447,15:38:26:322,normal,3.7037037038474265,0.11973180076629855,4,0,0.0,0.0,
기본제동등A,14.16806,15:38:26:360,normal,3.6075036076208717,0.11973180076629855,5,0,0.0,0.0,
기본제동등A,14.19334,15:38:26:360,normal,3.6075036076208717,0.11973180076629855,5,0,0.0,0.0,
기본제동등A,14.21848,15:38:26:398,normal,3.6075036076208717,0.11973180076629855,5,0,0.0,0.0,
기본제동등A,14.24663,15:38:26:400,normal,3.6075036076208717,0.11973180076629855,5,0,0.02370269,0.0,
기본제동등A,14.27429,15:38:26:437,normal,2.4366471734594195,0.11973180076629855,6,0,0.02370269,0.0,
기본제동등A,14.30382,15:38:26:438,normal,2.4366471734594195,0.11973180076629855,6,0,0.07530525,0.0,
기본제동등A,14.33323,15:38:26:475,normal,2.4366471734594195,0.11973180076629855,6,0,0.07530525,0.0,
기본제동등A,14.36471,15:38:26:476,normal,2.4366471734594195,0.11973180076629855,6,0,0.1070513,0.0,
기본제동등A,14.3967,15:38:26:514,normal,2.4366471734594195,0.11973180076629855,6,0,0.1110195,0.0,
기본제동등A,14.43102,15:38:26:515,normal,2.4366471734594195,0.11973180076629855,6,0,0.1626221,0.0,
기본제동등A,14.46527,15:38:26:551,normal,3.472222222146431,0.11973180076629855,7,0,0.1626221,0.0,
기본제동등A,14.50062,15:38:26:553,normal,3.472222222146431,0.11973180076629855,7,0,0.2300977,0.0,
기본제동등A,14.53584,15:38:26:589,normal,3.472222222146431,0.11973180076629855,7,0,0.2340659,0.0,
기본제동등A,14.57456,15:38:26:590,normal,3.472222222146431,0.11973180076629855,7,0,0.3134463,0.0,
기본제동등A,14.61272,15:38:26:631,normal,3.472222222146431,0.11973180076629855,7,0,0.3174145,0.0,
기본제동등A,14.65288,15:38:26:631,normal,2.394636015288421,0.11973180076629855,8,0,0.3888584,0.0,
기본제동등A,14.69209,15:38:26:669,normal,2.394636015288421,1.1921793037663933,8,1,0.3888584,0.0,
기본제동등A,14.73343,15:38:26:670,normal,2.394636015288421,1.1921793037663933,8,1,0.4444139,0.0,
기본제동등A,14.77464,15:38:26:709,normal,2.394636015288421,1.1921793037663933,8,1,0.4523504,0.0,
기본제동등A,14.81657,15:38:26:710,normal,2.394636015288421,1.1921793037663933,8,1,0.5,0.0,
기본제동등A,14.85783,15:38:26:747,normal,2.3540489643194817,1.1921793037663933,9,1,0.5039072,0.0,
기본제동등A,14.90115,15:38:26:748,normal,2.3540489643194817,1.1921793037663933,9,1,0.5547009,0.0,
기본제동등A,14.94458,15:38:26:786,normal,2.3540489643194817,1.1921793037663933,9,1,0.5547009,0.0,
기본제동등A,14.98773,15:38:26:787,normal,2.3540489643194817,1.1921793037663933,9,1,0.5898657,0.0,
기본제동등A,15.03017,15:38:26:826,normal,2.3540489643194817,1.1921793037663933,9,1,0.5898657,0.0,
기본제동등A,15.07572,15:38:26:826,normal,2.3540489643194817,1.1921793037663933,9,1,0.6133089,0.0,
기본제동등A,15.12074,15:38:26:865,normal,3.7037037034881197,1.1921793037663933,10,1,0.6133089,0.0,
기본제동등A,15.1663,15:38:26:902,normal,3.7037037034881197,2.4366471734594195,10,2,0.6484737,0.0,
기본제동등A,15.21405,15:38:26:903,normal,3.7037037034881197,2.4366471734594195,10,2,0.6758242,0.0,
기본제동등A,15.26173,15:38:26:940,normal,2.3741690408687797,2.4366471734594195,11,2,0.6758242,0.0,
기본제동등A,15.30971,15:38:26:941,normal,2.3741690408687797,2.4366471734594195,11,2,0.710989,0.0,
기본제동등A,15.35633,15:38:26:978,normal,2.3741690408687797,2.4366471734594195,11,2,0.710989,0.0,
기본제동등A,15.40561,15:38:26:979,normal,2.3741690408687797,2.4366471734594195,11,2,0.7344322,0.0,
기본제동등A,15.45343,15:38:27:016,normal,2.3741690408687797,2.4366471734594195,11,2,0.7344322,0.0,
기본제동등A,15.50283,15:38:27:016,normal,2.3741690408687797,2.3741690408687797,11,3,0.7422466,0.0,
기본제동등A,15.5516,15:38:27:057,normal,3.6075036076208717,2.3741690408687797,12,3,0.7422466,0.0,
기본제동등A,15.6003,15:38:27:058,normal,3.6075036076208717,2.3741690408687797,12,3,0.7461538,0.0,
기본제동등A,15.64764,15:38:27:094,normal,3.6075036076208717,2.3741690408687797,12,3,0.7461538,0.0,
기본제동등A,15.69695,15:38:27:095,normal,3.6075036076208717,2.3741690408687797,12,3,0.7461538,0.0,
기본제동등A,15.74476,15:38:27:133,normal,3.6075036076208717,3.6549707601891295,12,4,0.7461538,0.0,
기본제동등A,15.79332,15:38:27:134,normal,2.4582104227070936,3.6549707601891295,13,4,0.7461538,0.0,
기본제동등A,15.84035,15:38:27:171,normal,2.4582104227070936,3.6549707601891295,13,4,0.7461538,0.0,
기본제동등A,15.88762,15:38:27:172,normal,2.4582104227070936,3.6549707601891295,13,4,0.7422466,0.0,
기본제동등A,15.93316,15:38:27:209,normal,2.4582104227070936,3.7037037038474265,13,5,0.7461538,0.0,
기본제동등A,15.97949,15:38:27:210,normal,2.4582104227070936,3.7037037038474265,13,5,0.750061,0.0,
기본제동등A,16.02452,15:38:27:247,normal,2.4801587302979384,3.7037037038474265,14,5,0.750061,0.0,
기본제동등A,16.06912,15:38:27:248,normal,2.4801587302979384,3.7037037038474265,14,5,0.750061,0.0,
기본제동등A,16.11256,15:38:27:284,normal,2.4801587302979384,3.7037037038474265,14,6,0.750061,0.0,
기본제동등A,16.15589,15:38:27:321,normal,2.4801587302979384,3.7037037038474265,14,6,0.7539682,0.0,
기본제동등A,16.20034,15:38:27:322,normal,2.4801587302979384,3.7037037038474265,14,6,0.7617826,0.0,
기본제동등A,16.24337,15:38:27:359,normal,3.607503607279988,3.6556036555637075,15,7,0.7656898,0.0,
기본제동등A,16.28676,15:38:27:360,normal,3.607503607279988,3.6556036555637075,15,7,0.7813187,0.0,
기본제동등A,16.32787,15:38:27:396,normal,3.607503607279988,3.6556036555637075,15,7,0.7813187,0.0,
기본제동등A,16.36955,15:38:27:397,normal,3.607503607279988,3.607503607279988,15,8,0.8008547,0.0,
기본제동등A,16.40998,15:38:27:435,normal,3.607503607279988,3.607503607279988,15,8,0.8008547,0.0,
기본제동등A,16.44996,15:38:27:436,normal,2.480158730136818,3.607503607279988,16,8,0.8086691,0.0,
기본제동등A,16.48818,15:38:27:474,normal,2.480158730136818,3.6806286805035837,16,9,0.8086691,0.0,
기본제동등A,16.52629,15:38:27:474,normal,2.480158730136818,3.6806286805035837,16,9,0.8125763,0.0,
기본제동등A,16.56314,15:38:27:511,normal,2.480158730136818,3.6806286805035837,16,9,0.8125763,0.0,
기본제동등A,16.59994,15:38:27:512,normal,2.480158730136818,3.75375375372718,16,10,0.8047619,0.0,
기본제동등A,16.6338,15:38:27:548,normal,2.4582104228653754,3.75375375372718,17,10,0.8047619,0.0,
기본제동등A,16.66908,15:38:27:549,normal,2.4582104228653754,3.75375375372718,17,10,0.7891331,0.0,
기본제동등A,16.70288,15:38:27:586,normal,2.4582104228653754,3.7037037038474265,17,11,0.7891331,0.0,
기본제동등A,16.73576,15:38:27:587,normal,2.4582104228653754,3.7037037038474265,17,11,0.7774115,0.0,
기본제동등A,16.76684,15:38:27:624,normal,2.4582104228653754,3.7037037038474265,17,11,0.7774115,0.0,
기본제동등A,16.79876,15:38:27:661,normal,3.6549707601891295,3.6549707601891295,18,12,0.7695971,0.0,
기본제동등A,16.83176,15:38:27:662,normal,3.6549707601891295,3.6549707601891295,18,12,0.7617826,0.0,
기본제동등A,16.86269,15:38:27:699,normal,3.6549707601891295,3.6549707601891295,18,12,0.7617826,0.0,
기본제동등A,16.89433,15:38:27:701,normal,3.6549707601891295,3.6549707601891295,18,12,0.7695971,0.0,
기본제동등A,16.92423,15:38:27:737,normal,2.4582104228653754,3.6793372318386246,19,13,0.7695971,0.0,
기본제동등A,16.95381,15:38:27:737,normal,2.4582104228653754,3.6793372318386246,19,13,0.7617826,0.0,
기본제동등A,16.98219,15:38:27:775,normal,2.4582104228653754,3.6793372318386246,19,13,0.7617826,0.0,
기본제동등A,17.01203,15:38:27:776,normal,2.4582104228653754,3.7037037034881197,19,14,0.7578754,0.0,
기본제동등A,17.0404,15:38:27:813,normal,2.4582104228653754,3.7037037034881197,19,14,0.7578754,0.0,
기본제동등A,17.0689,15:38:27:814,normal,2.4582104228653754,3.7037037034881197,19,14,0.7578754,0.0,
기본제동등A,17.09526,15:38:27:850,normal,2.4582104227070936,3.7037037034881197,20,14,0.7578754,0.0,
기본제동등A,17.12282,15:38:27:851,normal,2.4582104227070936,3.75375375372718,20,15,0.7539682,0.0,
기본제동등A,17.14855,15:38:27:887,normal,2.4582104227070936,3.75375375372718,20,15,0.7539682,0.0,
기본제동등A,17.17436,15:38:27:888,normal,2.4582104227070936,3.75375375372718,20,15,0.750061,0.0,
기본제동등A,17.19874,15:38:27:925,normal,2.4582104227070936,3.654970760539043,20,16,0.750061,0.0,
기본제동등A,17.22342,15:38:27:963,normal,3.7037037038474265,3.654970760539043,21,16,0.7461538,0.0,
기본제동등A,17.2489,15:38:27:964,normal,3.7037037038474265,3.654970760539043,21,16,0.7461538,0.0,
기본제동등A,17.27326,15:38:28:001,normal,3.7037037038474265,3.654970760539043,21,16,0.7461538,0.0,
기본제동등A,17.2978,15:38:28:001,normal,3.7037037038474265,3.75375375372718,21,17,0.7461538,0.0,
기본제동등A,17.32044,15:38:28:038,normal,2.394636015288421,3.75375375372718,22,17,0.7461538,0.0,
기본제동등A,17.34395,15:38:28:039,normal,2.394636015288421,3.75375375372718,22,17,0.7461538,0.0,
기본제동등A,17.36613,15:38:28:075,normal,2.394636015288421,3.516174402019776,22,18,0.7461538,0.0,
기본제동등A,17.38862,15:38:28:076,normal,2.394636015288421,3.516174402019776,22,18,0.7461538,0.0,
기본제동등A,17.4099,15:38:28:115,normal,2.394636015288421,3.516174402019776,22,18,0.7461538,0.0,
기본제동등A,17.4316,15:38:28:116,normal,2.394636015288421,3.516174402019776,22,18,0.750061,0.0,
기본제동등A,17.45146,15:38:28:154,normal,3.6549707601891295,3.7037037038474265,23,19,0.750061,0.0,
기본제동등A,17.47241,15:38:28:155,normal,3.6549707601891295,3.7037037038474265,23,19,0.7539682,0.0,
기본제동등A,17.49148,15:38:28:192,normal,3.6549707601891295,3.7037037038474265,23,19,0.7539682,0.0,
기본제동등A,17.51166,15:38:28:193,normal,3.6549707601891295,3.7037037038474265,23,19,0.7539682,0.0,
기본제동등A,17.52984,15:38:28:229,normal,3.6549707601891295,3.7037037038474265,23,20,0.7539682,0.0,
기본제동등A,17.54975,15:38:28:230,normal,2.5025025025668053,3.7037037038474265,24,20,0.7539682,0.0,
기본제동등A,17.56803,15:38:28:266,normal,2.5025025025668053,3.7037037038474265,24,20,0.7539682,0.0,
기본제동등A,17.58684,15:38:28:268,normal,2.5025025025668053,3.7037037038474265,24,20,0.7539682,0.0,
기본제동등A,17.6037,15:38:28:304,normal,2.5025025025668053,3.75375375372718,24,21,0.7539682,0.0,
기본제동등A,17.62103,15:38:28:341,normal,2.4366471734594195,3.75375375372718,25,21,0.7578754,0.0,
기본제동등A,17.63923,15:38:28:341,normal,2.4366471734594195,3.75375375372718,25,21,0.7617826,0.0,
기본제동등A,17.65553,15:38:28:378,normal,2.4366471734594195,3.607503607279988,25,22,0.7617826,0.0,
기본제동등A,17.67228,15:38:28:379,normal,2.4366471734594195,3.607503607279988,25,22,0.7656898,0.0,
기본제동등A,17.68826,15:38:28:416,normal,2.4366471734594195,3.607503607279988,25,22,0.7656898,0.0,
기본제동등A,17.7036,15:38:28:417,normal,2.4366471734594195,3.607503607279988,25,22,0.7656898,0.0,
기본제동등A,17.71694,15:38:28:455,normal,3.6075036076208717,3.6549707601891295,26,23,0.7617826,0.0,
기본제동등A,17.73191,15:38:28:456,normal,3.6075036076208717,3.6549707601891295,26,23,0.7578754,0.0,
기본제동등A,17.74527,15:38:28:494,normal,3.6075036076208717,3.6549707601891295,26,23,0.7578754,0.0,
기본제동등A,17.75941,15:38:28:495,normal,3.6075036076208717,3.6549707601891295,26,23,0.7578754,0.0,
기본제동등A,17.77193,15:38:28:531,normal,3.6075036076208717,6.775067751100724,26,24,0.7578754,0.0,
기본제동등A,17.78515,15:38:28:532,normal,2.4582104228653754,6.775067751100724,27,24,0.7578754,0.0,
기본제동등A,17.797,15:38:28:571,normal,2.4582104228653754,6.775067751100724,27,24,0.7578754,0.0,
기본제동등A,17.80932,15:38:28:572,normal,2.4582104228653754,6.775067750499564,27,25,0.7578754,0.0,
기본제동등A,17.82026,15:38:28:607,normal,2.4582104228653754,6.775067750499564,27,25,0.7578754,0.0,
기본제동등A,17.8318,15:38:28:608,normal,2.4582104228653754,6.775067750499564,27,25,0.7578754,0.0,
기본제동등A,17.842,15:38:28:645,normal,1.9841269840321163,6.775067750499564,28,25,0.7578754,0.0,
