브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:49:12:065,normal,0.17990788716242428,0.13115098100965153,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:49:12:145,normal,0.17990788716242428,0.13115098100965153,0,0,0.5,0.5,
밝기변화제동등B,13.99985,15:49:13:609,normal,1.1187605279278265,0.13115098100965153,1,0,0.5,0.5,
밝기변화제동등B,13.99976,15:49:13:612,normal,2.0576131686932286,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99966,15:49:13:613,normal,2.0576131686932286,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99956,15:49:13:613,normal,2.0576131686932286,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99946,15:49:13:614,normal,2.0576131686932286,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99937,15:49:13:747,normal,2.4740348814834583,0.13115098100965153,1,0,0.0,0.0,
밝기변화제동등B,13.9993,15:49:13:749,normal,2.8904565942736884,0.13115098100965153,1,0,0.0,0.0,
밝기변화제동등B,13.99922,15:49:13:749,normal,3.306878307063918,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99915,15:49:13:750,normal,3.306878307063918,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99909,15:49:13:752,normal,3.306878307063918,0.13115098100965153,0,0,0.0,0.0,
밝기변화제동등B,13.99903,15:49:13:833,normal,3.7477954146457066,0.13115098100965153,1,0,0.0,0.0,
밝기변화제동등B,14.00704,15:49:13:834,normal,4.188712522227495,0.13115098100965153,1,0,0.0,0.0,
밝기변화제동등B,14.01441,15:49:13:835,normal,4.629629629809283,0.13115098100965153,2,0,0.0,0.0,
밝기변화제동등B,14.02225,15:49:13:836,normal,4.629629629809283,0.13115098100965153,2,0,0.0,0.0,
밝기변화제동등B,14.02975,15:49:13:894,normal,4.629629629809283,0.13115098100965153,2,0,0.0,0.0,
밝기변화제동등B,14.04313,15:49:13:895,normal,3.4293552809705528,0.13115098100965153,3,0,0.01179792,0.0,
밝기변화제동등B,14.05622,15:49:13:896,normal,3.4293552809705528,0.13115098100965153,3,0,0.01576618,0.0,
밝기변화제동등B,14.06897,15:49:13:934,normal,3.4293552809705528,0.13115098100965153,3,0,0.01576618,0.0,
밝기변화제동등B,14.08733,15:49:13:936,normal,3.4293552809705528,0.13115098100965153,3,0,0.08721001,0.0,
밝기변화제동등B,14.10588,15:49:13:976,normal,6.944444444292862,0.13115098100965153,4,0,0.08721001,0.0,
밝기변화제동등B,14.12666,15:49:13:976,normal,6.944444444292862,0.13115098100965153,4,0,0.1348443,0.0,
밝기변화제동등B,14.14818,15:49:14:016,normal,6.944444444292862,0.13115098100965153,4,0,0.1348443,0.0,
밝기변화제동등B,14.17243,15:49:14:016,normal,2.2045855379789594,0.13115098100965153,5,0,0.1626221,0.0,
밝기변화제동등B,14.19576,15:49:14:056,normal,2.2045855379789594,0.13115098100965153,5,0,0.1626221,0.0,
밝기변화제동등B,14.22177,15:49:14:056,normal,2.2045855379789594,0.13115098100965153,5,0,0.2142247,0.0,
밝기변화제동등B,14.24773,15:49:14:100,normal,2.2045855379789594,0.13115098100965153,5,0,0.2181929,0.0,
밝기변화제동등B,14.27558,15:49:14:101,normal,2.2045855379789594,0.13115098100965153,5,0,0.2896215,0.0,
밝기변화제동등B,14.304,15:49:14:142,normal,3.4293552812786,0.13115098100965153,6,0,0.293605,0.0,
밝기변화제동등B,14.33327,15:49:14:143,normal,3.4293552812786,0.13115098100965153,6,0,0.3491606,0.0,
밝기변화제동등B,14.36205,15:49:14:182,normal,3.4293552812786,0.13115098100965153,6,0,0.3491606,0.0,
밝기변화제동등B,14.39423,15:49:14:183,normal,3.4293552812786,1.1671335200510047,6,1,0.3967949,0.0,
밝기변화제동등B,14.42612,15:49:14:222,normal,3.4293552812786,1.1671335200510047,6,1,0.3967949,0.0,
밝기변화제동등B,14.45877,15:49:14:223,normal,2.3540489641743294,1.1671335200510047,7,1,0.4245726,0.0,
