브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,17:04:26:105,normal,0.17692852087759828,0.11932035127941848,0,0,0.5,0.5,
기본제동등A,13.99994,17:04:26:176,normal,0.17692852087759828,0.11932035127941848,0,0,0.5,0.5,
기본제동등A,13.99985,17:04:27:675,normal,1.0597152316648637,0.11932035127941848,1,0,0.5,0.5,
기본제동등A,13.99976,17:04:27:676,normal,1.9425019424521293,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99966,17:04:27:679,normal,1.9425019424521293,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99956,17:04:27:680,normal,1.9425019424521293,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99946,17:04:27:681,normal,1.9425019424521293,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99936,17:04:27:819,normal,2.4975024975083766,0.11932035127941848,1,0,0.0,0.0,
기본제동등A,13.9993,17:04:27:820,normal,3.0525030525646244,0.11932035127941848,1,0,0.0,0.0,
기본제동등A,13.99922,17:04:27:821,normal,3.6075036076208717,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99915,17:04:27:821,normal,3.6075036076208717,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99909,17:04:27:822,normal,3.6075036076208717,0.11932035127941848,0,0,0.0,0.0,
기본제동등A,13.99903,17:04:27:898,normal,3.6395703063630567,0.11932035127941848,1,0,0.0,0.0,
기본제동등A,14.00704,17:04:27:899,normal,3.6716370051052416,0.11932035127941848,1,0,0.0,0.0,
기본제동등A,14.01441,17:04:27:900,normal,3.7037037038474265,0.11932035127941848,2,0,0.0,0.0,
기본제동등A,14.02225,17:04:27:936,normal,3.7037037038474265,0.11932035127941848,2,0,0.0,0.0,
기본제동등A,14.03473,17:04:27:938,normal,3.7037037038474265,0.11932035127941848,2,0,0.0,0.0,
기본제동등A,14.04722,17:04:27:975,normal,3.6324786325199314,0.11932035127941848,3,0,0.0,0.0,
기본제동등A,14.06511,17:04:27:976,normal,3.6324786325199314,0.11932035127941848,3,0,0.0,0.0,
기본제동등A,14.08305,17:04:28:013,normal,3.5612535611924367,0.11932035127941848,4,0,0.0,0.0,
기본제동등A,14.10249,17:04:28:014,normal,3.5612535611924367,0.11932035127941848,4,0,0.0,0.0,
기본제동등A,14.12243,17:04:28:052,normal,3.5612535611924367,0.11932035127941848,4,0,0.0,0.0,
기본제동등A,14.14455,17:04:28:052,normal,3.5612535611924367,0.11932035127941848,4,0,0.0,0.0,
기본제동등A,14.16619,17:04:28:089,normal,3.5612535611924367,0.11932035127941848,4,0,0.0,0.0,
기본제동등A,14.19055,17:04:28:091,normal,2.5025025025668053,0.11932035127941848,5,0,0.0,0.0,
기본제동등A,14.21515,17:04:28:127,normal,2.5025025025668053,0.11932035127941848,5,0,0.0,0.0,
기본제동등A,14.24099,17:04:28:128,normal,2.5025025025668053,0.11932035127941848,5,0,0.0,0.0,
기본제동등A,14.26665,17:04:28:164,normal,2.5025025025668053,0.11932035127941848,5,0,0.0,0.0,
기본제동등A,14.29476,17:04:28:165,normal,2.5025025025668053,0.11932035127941848,5,0,0.0,0.0,
기본제동등A,14.32291,17:04:28:202,normal,3.4293552809705528,0.11932035127941848,6,0,0.0,0.0,
기본제동등A,14.35356,17:04:28:203,normal,3.4293552809705528,0.11932035127941848,6,0,0.0,0.0,
기본제동등A,14.38341,17:04:28:242,normal,3.4293552809705528,0.11932035127941848,6,0,0.0,0.0,
기본제동등A,14.416,17:04:28:243,normal,3.4293552809705528,0.11932035127941848,6,0,0.07530525,0.0,
기본제동등A,14.44921,17:04:28:282,normal,3.4293552809705528,0.11932035127941848,6,0,0.07530525,0.0,
기본제동등A,14.48403,17:04:28:283,normal,2.5025025025668053,0.11932035127941848,7,0,0.1507173,0.0,
기본제동등A,14.51849,17:04:28:320,normal,2.5025025025668053,0.11932035127941848,7,0,0.1546856,0.0,
기본제동등A,14.55531,17:04:28:320,normal,2.5025025025668053,0.11932035127941848,7,0,0.2380342,0.0,
기본제동등A,14.59215,17:04:28:358,normal,2.5025025025668053,0.11932035127941848,7,0,0.2420024,0.0,
기본제동등A,14.6307,17:04:28:393,normal,2.5025025025668053,0.11932035127941848,7,0,0.309478,0.0,
기본제동등A,14.67135,17:04:28:394,normal,2.394636015288421,0.11932035127941848,8,0,0.3690018,0.0,
기본제동등A,14.71175,17:04:28:432,normal,2.394636015288421,0.11932035127941848,8,0,0.3729701,0.0,
기본제동등A,14.75366,17:04:28:433,normal,2.394636015288421,1.2025012025024147,8,1,0.4364774,0.0,
기본제동등A,14.79525,17:04:28:471,normal,2.394636015288421,1.2025012025024147,8,1,0.4364774,0.0,
기본제동등A,14.83817,17:04:28:472,normal,2.394636015288421,1.2025012025024147,8,1,0.4960165,0.0,
기본제동등A,14.88034,17:04:28:510,normal,3.472222222462228,1.2025012025024147,9,1,0.4999847,0.0,
기본제동등A,14.92481,17:04:28:511,normal,3.472222222462228,1.2025012025024147,9,1,0.5351648,0.0,
기본제동등A,14.96888,17:04:28:548,normal,3.472222222462228,1.2025012025024147,9,1,0.539072,0.0,
기본제동등A,15.01409,17:04:28:549,normal,3.472222222462228,1.2025012025024147,9,1,0.5742369,0.0,
기본제동등A,15.05887,17:04:28:589,normal,3.472222222462228,1.2025012025024147,9,1,0.5742369,0.0,
기본제동등A,15.10438,17:04:28:590,normal,2.480158730136818,1.2025012025024147,10,1,0.6015873,0.0,
기본제동등A,15.14958,17:04:28:626,normal,2.480158730136818,1.2025012025024147,10,1,0.6054945,0.0,
기본제동등A,15.19632,17:04:28:627,normal,2.480158730136818,1.2025012025024147,10,1,0.6133089,0.0,
기본제동등A,15.24238,17:04:28:664,normal,2.480158730136818,1.8395879322386337,10,2,0.6133089,0.0,
기본제동등A,15.28983,17:04:28:665,normal,2.480158730136818,1.8395879322386337,10,2,0.6211233,0.0,
기본제동등A,15.33692,17:04:28:702,normal,2.4582104227070936,1.8395879322386337,11,2,0.6211233,0.0,
기본제동등A,15.3854,17:04:28:703,normal,2.4582104227070936,1.8395879322386337,11,2,0.6328449,0.0,
기본제동등A,15.43296,17:04:28:740,normal,2.4582104227070936,1.8395879322386337,11,2,0.6328449,0.0,
기본제동등A,15.48185,17:04:28:741,normal,2.4582104227070936,1.8395879322386337,11,2,0.6445665,0.0,
기본제동등A,15.53001,17:04:28:778,normal,2.4582104227070936,1.8395879322386337,11,2,0.6445665,0.0,
기본제동등A,15.57897,17:04:28:815,normal,3.6075036076208717,3.561253561524636,12,3,0.6484737,0.0,
기본제동등A,15.62891,17:04:28:816,normal,3.6075036076208717,3.561253561524636,12,3,0.6562881,0.0,
기본제동등A,15.67844,17:04:28:853,normal,3.6075036076208717,3.561253561524636,12,3,0.6562881,0.0,
기본제동등A,15.72867,17:04:28:854,normal,3.6075036076208717,3.561253561524636,12,3,0.6641026,0.0,
기본제동등A,15.77727,17:04:28:892,normal,2.4154589372408584,3.561253561524636,13,3,0.6641026,0.0,
기본제동등A,15.82732,17:04:28:893,normal,2.4154589372408584,2.4366471734594195,13,4,0.6641026,0.0,
기본제동등A,15.87523,17:04:28:930,normal,2.4154589372408584,2.4366471734594195,13,4,0.6641026,0.0,
기본제동등A,15.92437,17:04:28:931,normal,2.4154589372408584,2.4366471734594195,13,4,0.671917,0.0,
기본제동등A,15.97329,17:04:28:969,normal,2.4154589372408584,2.4366471734594195,13,4,0.671917,0.0,
기본제동등A,16.02214,17:04:28:970,normal,2.4154589372408584,2.4366471734594195,13,4,0.6758242,0.0,
기본제동등A,16.06918,17:04:29:007,normal,3.6549707601891295,3.6549707601891295,14,5,0.6758242,0.0,
기본제동등A,16.11717,17:04:29:007,normal,3.6549707601891295,3.6549707601891295,14,5,0.6836386,0.0,
기본제동등A,16.16439,17:04:29:044,normal,3.6549707601891295,3.6549707601891295,14,5,0.6836386,0.0,
기본제동등A,16.21244,17:04:29:045,normal,3.6549707601891295,3.6549707601891295,14,5,0.6875458,0.0,
기본제동등A,16.25858,17:04:29:083,normal,3.6549707601891295,3.7037037034881197,14,6,0.6875458,0.0,
기본제동등A,16.30548,17:04:29:083,normal,2.3741690408687797,3.7037037034881197,15,6,0.6875458,0.0,
기본제동등A,16.35191,17:04:29:120,normal,2.3741690408687797,3.7037037034881197,15,6,0.6875458,0.0,
기본제동등A,16.39815,17:04:29:121,normal,2.3741690408687797,3.7037037034881197,15,6,0.6875458,0.0,
기본제동등A,16.44335,17:04:29:158,normal,2.3741690408687797,3.472222222462228,15,7,0.6875458,0.0,
기본제동등A,16.48885,17:04:29:199,normal,2.3741690408687797,3.472222222462228,15,7,0.691453,0.0,
기본제동등A,16.5355,17:04:29:200,normal,2.4366471734594195,3.472222222462228,16,7,0.691453,0.0,
기본제동등A,16.5806,17:04:29:238,normal,2.4366471734594195,3.472222222462228,16,7,0.691453,0.0,
기본제동등A,16.62691,17:04:29:238,normal,2.4366471734594195,3.6549707601891295,16,8,0.691453,0.0,
기본제동등A,16.67121,17:04:29:276,normal,2.4366471734594195,3.6549707601891295,16,8,0.691453,0.0,
기본제동등A,16.71659,17:04:29:276,normal,2.4366471734594195,3.6549707601891295,16,8,0.6797314,0.0,
기본제동등A,16.76093,17:04:29:314,normal,3.607503607279988,3.6549707601891295,17,8,0.6797314,0.0,
기본제동등A,16.80541,17:04:29:314,normal,3.607503607279988,3.607503607279988,17,9,0.6680098,0.0,
기본제동등A,16.84946,17:04:29:353,normal,3.607503607279988,3.607503607279988,17,9,0.6680098,0.0,
기본제동등A,16.89344,17:04:29:353,normal,3.607503607279988,3.607503607279988,17,9,0.6601954,0.0,
기본제동등A,16.93607,17:04:29:390,normal,3.607503607279988,3.607503607279988,17,9,0.6601954,0.0,
기본제동등A,16.981,17:04:29:391,normal,2.4582104228653754,2.4582104228653754,18,10,0.6601954,0.0,
기본제동등A,17.02456,17:04:29:428,normal,2.4582104228653754,2.4582104228653754,18,10,0.6601954,0.0,
기본제동등A,17.06849,17:04:29:429,normal,2.4582104228653754,2.4582104228653754,18,10,0.6562881,0.0,
기본제동등A,17.11077,17:04:29:466,normal,2.4582104228653754,2.4582104228653754,18,10,0.6562881,0.0,
기본제동등A,17.15476,17:04:29:467,normal,2.4582104228653754,2.4582104228653754,18,10,0.6406593,0.0,
기본제동등A,17.19735,17:04:29:504,normal,2.5025025025668053,2.5025025025668053,19,11,0.6367521,0.0,
기본제동등A,17.24105,17:04:29:504,normal,2.5025025025668053,2.5025025025668053,19,11,0.6328449,0.0,
기본제동등A,17.28387,17:04:29:541,normal,2.5025025025668053,2.5025025025668053,19,11,0.6328449,0.0,
