브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,16:52:45:937,normal,0.17875017874975024,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99994,16:52:46:009,normal,0.17875017874975024,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99985,16:52:47:491,normal,0.9574306449114829,0.11896264572928551,1,0,0.5,0.5,
면적변화제동등D,13.99976,16:52:47:492,normal,1.7361111110732155,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99966,16:52:47:494,normal,1.7361111110732155,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99956,16:52:47:495,normal,1.7361111110732155,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99946,16:52:47:496,normal,1.7361111110732155,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99937,16:52:47:652,normal,2.209595959617326,0.11896264572928551,1,0,0.5,0.5,
면적변화제동등D,13.99931,16:52:47:654,normal,2.6830808081614363,0.11896264572928551,1,0,0.5,0.5,
면적변화제동등D,13.99923,16:52:47:654,normal,3.156565656705547,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99916,16:52:47:655,normal,3.156565656705547,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.9991,16:52:47:656,normal,3.156565656705547,0.11896264572928551,0,0,0.5,0.5,
면적변화제동등D,13.99904,16:52:47:742,normal,4.419191919234652,0.11896264572928551,1,0,0.5,0.5,
면적변화제동등D,14.00706,16:52:47:745,normal,5.681818181763757,0.11896264572928551,1,0,0.01179792,0.0,
면적변화제동등D,14.01442,16:52:47:746,normal,6.944444444292862,0.11896264572928551,2,0,0.01179792,0.0,
면적변화제동등D,14.02226,16:52:47:747,normal,6.944444444292862,0.11896264572928551,2,0,0.01179792,0.0,
면적변화제동등D,14.02976,16:52:47:785,normal,6.944444444292862,0.11896264572928551,2,0,0.01179792,0.0,
면적변화제동등D,14.04314,16:52:47:786,normal,3.6549707601891295,0.11896264572928551,3,0,0.01179792,0.0,
면적변화제동등D,14.05623,16:52:47:823,normal,3.6549707601891295,0.11896264572928551,3,0,0.01179792,0.0,
면적변화제동등D,14.07428,16:52:47:824,normal,3.6549707601891295,0.11896264572928551,3,0,0.01179792,0.0,
면적변화제동등D,14.09222,16:52:47:862,normal,3.7037037038474265,0.11896264572928551,4,0,0.01179792,0.0,
면적변화제동등D,14.11264,16:52:47:862,normal,3.7037037038474265,0.11896264572928551,4,0,0.0,0.0,
면적변화제동등D,14.13386,16:52:47:901,normal,3.7037037038474265,0.11896264572928551,4,0,0.0,0.0,
면적변화제동등D,14.15575,16:52:47:902,normal,3.7037037038474265,0.11896264572928551,4,0,0.0,0.0,
면적변화제동등D,14.1779,16:52:47:937,normal,3.6549707601891295,0.11896264572928551,5,0,0.0,0.0,
면적변화제동등D,14.2034,16:52:47:938,normal,3.6549707601891295,0.11896264572928551,5,0,0.0,0.0,
면적변화제동등D,14.22886,16:52:47:974,normal,3.6549707601891295,0.11896264572928551,5,0,0.0,0.0,
면적변화제동등D,14.25543,16:52:47:975,normal,3.6549707601891295,0.11896264572928551,5,0,0.0,0.0,
면적변화제동등D,14.28212,16:52:48:013,normal,3.6549707601891295,0.11896264572928551,5,0,0.0,0.0,
면적변화제동등D,14.31155,16:52:48:013,normal,2.5484199795187386,0.11896264572928551,6,0,0.0,0.0,
면적변화제동등D,14.34023,16:52:48:050,normal,2.5484199795187386,0.11896264572928551,6,0,0.0,0.0,
면적변화제동등D,14.37223,16:52:48:086,normal,2.5484199795187386,0.11896264572928551,6,0,0.0,0.0,
면적변화제동등D,14.40558,16:52:48:086,normal,2.5484199795187386,0.11896264572928551,6,0,0.05943223,0.0,
면적변화제동등D,14.43869,16:52:48:122,normal,2.4801587302979384,0.11896264572928551,7,0,0.06340049,0.0,
면적변화제동등D,14.47445,16:52:48:123,normal,2.4801587302979384,0.11896264572928551,7,0,0.1388126,0.0,
