브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,15:38:02:599,normal,0.17125633648489857,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99994,15:38:02:681,normal,0.17125633648489857,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99985,15:38:04:221,normal,1.0848288077626589,0.10006404098630253,1,0,0.5,0.5,
면적변화제동등D,13.99976,15:38:04:222,normal,1.9984012790404193,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99966,15:38:04:224,normal,1.9984012790404193,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99956,15:38:04:225,normal,1.9984012790404193,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99946,15:38:04:226,normal,1.9984012790404193,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99937,15:38:04:361,normal,2.396550192844052,0.10006404098630253,1,0,0.5,0.5,
면적변화제동등D,13.99931,15:38:04:363,normal,2.794699106647684,0.10006404098630253,1,0,0.5,0.5,
면적변화제동등D,13.99923,15:38:04:364,normal,3.1928480204513168,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99916,15:38:04:365,normal,3.1928480204513168,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.9991,15:38:04:366,normal,3.1928480204513168,0.10006404098630253,0,0,0.5,0.5,
면적변화제동등D,13.99904,15:38:04:451,normal,4.700581807868735,0.10006404098630253,1,0,0.5,0.5,
면적변화제동등D,14.00706,15:38:04:452,normal,6.208315595286154,0.10006404098630253,1,0,0.5,0.5,
면적변화제동등D,14.01442,15:38:04:453,normal,7.716049382703574,0.10006404098630253,2,0,0.5,0.5,
면적변화제동등D,14.02226,15:38:04:453,normal,7.716049382703574,0.10006404098630253,2,0,0.5,0.5,
면적변화제동등D,14.02977,15:38:04:489,normal,7.716049382703574,0.10006404098630253,2,0,0.5,0.5,
면적변화제동등D,14.04314,15:38:04:489,normal,3.7037037038474265,0.10006404098630253,3,0,0.5,0.5,
면적변화제동등D,14.05623,15:38:04:527,normal,3.7037037038474265,0.10006404098630253,3,0,0.5,0.5,
면적변화제동등D,14.07437,15:38:04:527,normal,3.7037037038474265,0.10006404098630253,3,0,0.5,0.5,
면적변화제동등D,14.09251,15:38:04:564,normal,3.472222222146431,0.10006404098630253,4,0,0.5,0.5,
면적변화제동등D,14.11248,15:38:04:565,normal,3.472222222146431,0.10006404098630253,4,0,0.5,0.5,
면적변화제동등D,14.13302,15:38:04:604,normal,3.472222222146431,0.10006404098630253,4,0,0.5,0.5,
면적변화제동등D,14.15562,15:38:04:605,normal,3.472222222146431,0.10006404098630253,4,0,0.5,0.5,
