브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,14:43:45:717,normal,0.1667333600101991,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99994,14:43:45:794,normal,0.1667333600101991,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99985,14:43:47:383,normal,1.0683942607545893,0.1011204141891051,1,0,0.5,0.5,
밝기변화제동등B,13.99976,14:43:47:384,normal,1.9700551614989796,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99966,14:43:47:385,normal,1.9700551614989796,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99956,14:43:47:386,normal,1.9700551614989796,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99946,14:43:47:386,normal,1.9700551614989796,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99937,14:43:47:525,normal,2.390028161122151,0.1011204141891051,1,0,0.5,0.5,
밝기변화제동등B,13.99931,14:43:47:526,normal,2.8100011607453226,0.1011204141891051,1,0,0.5,0.5,
밝기변화제동등B,13.99923,14:43:47:527,normal,3.229974160368494,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99916,14:43:47:527,normal,3.229974160368494,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.9991,14:43:47:528,normal,3.229974160368494,0.1011204141891051,0,0,0.5,0.5,
밝기변화제동등B,13.99904,14:43:47:613,normal,3.7777475558852753,0.1011204141891051,1,0,0.5,0.5,
밝기변화제동등B,14.00706,14:43:47:615,normal,4.325520951402057,0.1011204141891051,1,0,0.5,0.5,
밝기변화제동등B,14.01442,14:43:47:616,normal,4.873294346918839,0.1011204141891051,2,0,0.5,0.5,
밝기변화제동등B,14.02226,14:43:47:618,normal,4.873294346918839,0.1011204141891051,2,0,0.5,0.5,
밝기변화제동등B,14.02977,14:43:47:672,normal,4.873294346918839,0.1011204141891051,2,0,0.5,0.5,
밝기변화제동등B,14.04314,14:43:47:673,normal,4.873294346918839,0.1011204141891051,3,0,0.5,0.5,
밝기변화제동등B,14.05623,14:43:47:674,normal,4.873294346918839,0.1011204141891051,3,0,0.5,0.5,
밝기변화제동등B,14.06898,14:43:47:723,normal,4.873294346918839,0.1011204141891051,3,0,0.5,0.5,
밝기변화제동등B,14.08777,14:43:47:724,normal,4.873294346918839,0.1011204141891051,3,0,0.5,0.5,
밝기변화제동등B,14.10655,14:43:47:794,normal,4.873294346918839,0.1011204141891051,4,0,0.5,0.5,
밝기변화제동등B,14.12764,14:43:47:796,normal,4.873294346918839,0.1011204141891051,4,0,0.5,0.5,
밝기변화제동등B,14.14842,14:43:47:797,normal,4.873294346918839,0.1011204141891051,4,0,0.5,0.5,
밝기변화제동등B,14.16906,14:43:47:798,normal,4.873294346918839,0.1011204141891051,4,0,0.5,0.5,
밝기변화제동등B,14.19028,14:43:47:849,normal,4.873294346918839,0.1011204141891051,4,0,0.5,0.5,
밝기변화제동등B,14.21507,14:43:47:851,normal,3.387533875550362,0.1011204141891051,5,0,0.5,0.5,
밝기변화제동등B,14.23961,14:43:47:852,normal,3.387533875550362,0.1011204141891051,5,0,0.5,0.5,
밝기변화제동등B,14.26367,14:43:47:891,normal,3.387533875550362,0.1011204141891051,5,0,0.5,0.5,
밝기변화제동등B,14.29257,14:43:47:892,normal,3.387533875550362,0.1011204141891051,5,0,0.5,0.5,
밝기변화제동등B,14.32109,14:43:47:933,normal,3.156565656444558,0.1011204141891051,6,0,0.5,0.5,
밝기변화제동등B,14.35189,14:43:47:934,normal,3.156565656444558,0.1011204141891051,6,0,0.5,0.5,
밝기변화제동등B,14.38258,14:43:47:976,normal,3.156565656444558,0.1011204141891051,6,0,0.5,0.5,
밝기변화제동등B,14.41653,14:43:47:978,normal,3.156565656444558,0.1011204141891051,6,0,0.5,0.5,
밝기변화제동등B,14.45037,14:43:48:021,normal,3.5612535611924367,0.1011204141891051,7,0,0.5,0.5,
밝기변화제동등B,14.4862,14:43:48:021,normal,3.5612535611924367,0.1011204141891051,7,0,0.5,0.5,
밝기변화제동등B,14.52206,14:43:48:059,normal,3.5612535611924367,0.1011204141891051,7,0,0.5,0.5,
밝기변화제동등B,14.56068,14:43:48:060,normal,3.5612535611924367,0.1011204141891051,7,0,0.5,0.5,
밝기변화제동등B,14.59976,14:43:48:097,normal,3.5612535611924367,0.1011204141891051,7,0,0.5,0.5,
밝기변화제동등B,14.64063,14:43:48:099,normal,2.2956841138813933,0.1011204141891051,8,0,0.5,0.5,
밝기변화제동등B,14.68134,14:43:48:137,normal,2.2956841138813933,0.1011204141891051,8,0,0.5,0.5,
밝기변화제동등B,14.72416,14:43:48:138,normal,2.2956841138813933,0.1011204141891051,8,0,0.5,0.5,
밝기변화제동등B,14.76685,14:43:48:179,normal,2.2956841138813933,0.1011204141891051,8,0,0.5,0.5,
밝기변화제동등B,14.81183,14:43:48:179,normal,2.2956841138813933,0.1011204141891051,8,0,0.5,0.5,
밝기변화제동등B,14.857,14:43:48:220,normal,3.5612535611924367,0.1011204141891051,9,0,0.5,0.5,
