브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:30:54:918,normal,0.1704158145871069,0.09899421873747992,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:30:54:996,normal,0.1704158145871069,0.09899421873747992,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:30:56:548,normal,0.9642515078389777,0.09899421873747992,1,0,0.5,0.5,
면적변화제동등D,13.99976,14:30:56:551,normal,1.7580872010908486,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99966,14:30:56:553,normal,1.7580872010908486,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99956,14:30:56:556,normal,1.7580872010908486,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99946,14:30:56:557,normal,1.7580872010908486,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99937,14:30:56:709,normal,2.1467170035189818,0.09899421873747992,1,0,0.0,0.0,
면적변화제동등D,13.9993,14:30:56:710,normal,2.535346805947115,0.09899421873747992,1,0,0.0,0.0,
면적변화제동등D,13.99922,14:30:56:711,normal,2.923976608375248,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99915,14:30:56:711,normal,2.923976608375248,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99909,14:30:56:713,normal,2.923976608375248,0.09899421873747992,0,0,0.0,0.0,
면적변화제동등D,13.99903,14:30:56:806,normal,4.006930907388266,0.09899421873747992,1,0,0.0,0.0,
면적변화제동등D,14.00704,14:30:56:807,normal,5.089885206401285,0.09899421873747992,1,0,0.0,0.0,
면적변화제동등D,14.01441,14:30:56:808,normal,6.172839505414304,0.09899421873747992,2,0,0.0,0.0,
면적변화제동등D,14.02225,14:30:56:809,normal,6.172839505414304,0.09899421873747992,2,0,0.0,0.0,
면적변화제동등D,14.02975,14:30:56:852,normal,6.172839505414304,0.09899421873747992,2,0,0.0,0.0,
면적변화제동등D,14.04313,14:30:56:853,normal,3.4293552812786,0.09899421873747992,3,0,0.0,0.0,
면적변화제동등D,14.05621,14:30:56:854,normal,3.4293552812786,0.09899421873747992,3,0,0.0,0.0,
면적변화제동등D,14.06897,14:30:56:893,normal,3.4293552812786,0.09899421873747992,3,0,0.0,0.0,
면적변화제동등D,14.08777,14:30:56:894,normal,3.4293552812786,0.09899421873747992,3,0,0.0,0.0,
면적변화제동등D,14.10658,14:30:56:934,normal,3.472222222146431,0.09899421873747992,4,0,0.0,0.0,
면적변화제동등D,14.1277,14:30:56:935,normal,3.472222222146431,0.09899421873747992,4,0,0.0,0.0,
면적변화제동등D,14.1493,14:30:56:976,normal,3.472222222146431,0.09899421873747992,4,0,0.0,0.0,
면적변화제동등D,14.17249,14:30:56:976,normal,3.472222222146431,0.09899421873747992,4,0,0.0,0.0,
면적변화제동등D,14.19532,14:30:57:014,normal,3.5161744023436183,0.09899421873747992,5,0,0.0,0.0,
면적변화제동등D,14.2222,14:30:57:015,normal,3.5161744023436183,0.09899421873747992,5,0,0.0,0.0,
면적변화제동등D,14.24868,14:30:57:056,normal,3.5161744023436183,0.09899421873747992,5,0,0.0,0.0,
면적변화제동등D,14.27626,14:30:57:057,normal,3.5161744023436183,0.09899421873747992,5,0,0.0,0.0,
면적변화제동등D,14.3038,14:30:57:093,normal,3.387533875249782,0.09899421873747992,6,0,0.0,0.0,
면적변화제동등D,14.33407,14:30:57:094,normal,3.387533875249782,0.09899421873747992,6,0,0.0,0.0,
면적변화제동등D,14.36454,14:30:57:133,normal,3.387533875249782,0.09899421873747992,6,0,0.0,0.0,
면적변화제동등D,14.39738,14:30:57:134,normal,3.387533875249782,0.09899421873747992,6,0,0.0,0.0,
면적변화제동등D,14.42941,14:30:57:174,normal,3.387533875249782,0.09899421873747992,6,0,0.0,0.0,
면적변화제동등D,14.46456,14:30:57:175,normal,2.4366471736149364,0.09899421873747992,7,0,0.0,0.0,
면적변화제동등D,14.4998,14:30:57:213,normal,2.4366471736149364,0.09899421873747992,7,0,0.0,0.0,
면적변화제동등D,14.53629,14:30:57:214,normal,2.4366471736149364,0.09899421873747992,7,0,0.0,0.0,
면적변화제동등D,14.57262,14:30:57:251,normal,2.4366471736149364,0.09899421873747992,7,0,0.0,0.0,
