브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:42:22:232,normal,0.17382839660707233,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99994,15:42:22:305,normal,0.17382839660707233,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99985,15:42:23:830,normal,0.9495781044453913,0.11389002778923746,1,0,0.5,0.5,
기본제동등A,13.99976,15:42:23:831,normal,1.7253278122837103,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99966,15:42:23:832,normal,1.7253278122837103,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99956,15:42:23:833,normal,1.7253278122837103,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99946,15:42:23:834,normal,1.7253278122837103,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99937,15:42:23:992,normal,2.337303061919952,0.11389002778923746,1,0,0.5,0.5,
기본제동등A,13.99931,15:42:23:994,normal,2.9492783115561947,0.11389002778923746,1,0,0.5,0.5,
기본제동등A,13.99923,15:42:23:994,normal,3.5612535611924367,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99916,15:42:23:996,normal,3.5612535611924367,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.9991,15:42:23:997,normal,3.5612535611924367,0.11389002778923746,0,0,0.5,0.5,
기본제동등A,13.99904,15:42:24:072,normal,4.431782209599084,0.11389002778923746,1,0,0.5,0.5,
기본제동등A,14.00706,15:42:24:073,normal,5.302310858005731,0.11389002778923746,1,0,0.5,0.5,
기본제동등A,14.01442,15:42:24:074,normal,6.1728395064123776,0.11389002778923746,2,0,0.5,0.5,
기본제동등A,14.02226,15:42:24:075,normal,6.1728395064123776,0.11389002778923746,2,0,0.5,0.5,
기본제동등A,14.02977,15:42:24:118,normal,6.1728395064123776,0.11389002778923746,2,0,0.5,0.5,
기본제동등A,14.04314,15:42:24:119,normal,3.267973856242719,0.11389002778923746,3,0,0.5,0.5,
기본제동등A,14.05623,15:42:24:163,normal,3.267973856242719,0.11389002778923746,3,0,0.5,0.5,
기본제동등A,14.07402,15:42:24:164,normal,3.267973856242719,0.11389002778923746,3,0,0.5,0.5,
기본제동등A,14.0919,15:42:24:204,normal,3.387533875249782,0.11389002778923746,4,0,0.5,0.5,
기본제동등A,14.11191,15:42:24:206,normal,3.387533875249782,0.11389002778923746,4,0,0.5,0.5,
기본제동등A,14.13249,15:42:24:246,normal,3.387533875249782,0.11389002778923746,4,0,0.5,0.5,
기본제동등A,14.15546,15:42:24:247,normal,3.387533875249782,0.11389002778923746,4,0,0.5,0.5,
기본제동등A,14.17799,15:42:24:286,normal,3.6549707601891295,0.11389002778923746,5,0,0.5,0.5,
기본제동등A,14.20227,15:42:24:287,normal,3.6549707601891295,0.11389002778923746,5,0,0.5,0.5,
기본제동등A,14.22734,15:42:24:324,normal,3.6549707601891295,0.11389002778923746,5,0,0.5,0.5,
기본제동등A,14.25424,15:42:24:325,normal,3.6549707601891295,0.11389002778923746,5,0,0.5,0.5,
기본제동등A,14.28101,15:42:24:361,normal,3.6549707601891295,0.11389002778923746,5,0,0.5,0.5,
기본제동등A,14.31067,15:42:24:362,normal,2.4366471734594195,0.11389002778923746,6,0,0.5,0.5,
