브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,14:37:07:512,normal,0.17264001104931045,0.14208581983558236,0,0,0.5,0.5,
밝기변화제동등B,13.99994,14:37:07:593,normal,0.17264001104931045,0.14208581983558236,0,0,0.3928266,0.0,
밝기변화제동등B,13.99985,14:37:09:121,normal,1.0122459314865118,0.14208581983558236,1,0,0.3928266,0.0,
밝기변화제동등B,13.99976,14:37:09:122,normal,1.8518518519237133,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99912,14:37:09:123,normal,1.8518518519237133,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.9983,14:37:09:124,normal,1.8518518519237133,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99822,14:37:09:125,normal,1.8518518519237133,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99814,14:37:09:272,normal,2.2633744856013656,0.14208581983558236,1,0,0.0,0.0,
밝기변화제동등B,13.99808,14:37:09:273,normal,2.674897119279018,0.14208581983558236,1,0,0.0,0.0,
밝기변화제동등B,13.998,14:37:09:274,normal,3.08641975295667,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99793,14:37:09:274,normal,3.08641975295667,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99787,14:37:09:276,normal,3.08641975295667,0.14208581983558236,0,0,0.0,0.0,
밝기변화제동등B,13.99781,14:37:09:364,normal,3.772290809354092,0.14208581983558236,1,0,0.0,0.0,
밝기변화제동등B,14.00582,14:37:09:365,normal,4.458161865751514,0.14208581983558236,1,0,0.1983364,0.0,
밝기변화제동등B,14.01318,14:37:09:366,normal,5.144032922148936,0.14208581983558236,2,0,0.2062729,0.0,
밝기변화제동등B,14.02103,14:37:09:368,normal,5.144032922148936,0.14208581983558236,2,0,0.2142247,0.0,
밝기변화제동등B,14.02842,14:37:09:419,normal,5.144032922148936,0.14208581983558236,2,0,0.2221612,0.0,
밝기변화제동등B,14.04177,14:37:09:420,normal,2.9868578255432006,0.14208581983558236,3,0,0.3491606,0.0,
밝기변화제동등B,14.05461,14:37:09:421,normal,2.9868578255432006,0.14208581983558236,3,0,0.3491606,0.0,
밝기변화제동등B,14.06665,14:37:09:466,normal,2.9868578255432006,0.14208581983558236,3,0,0.3531288,0.0,
밝기변화제동등B,14.08434,14:37:09:467,normal,2.9868578255432006,1.1921793037663933,3,1,0.4047314,0.0,
밝기변화제동등B,14.10122,14:37:09:513,normal,2.9868578255432006,1.1921793037663933,4,1,0.4086996,0.0,
밝기변화제동등B,14.12115,14:37:09:514,normal,2.9868578255432006,1.1921793037663933,4,1,0.4444139,0.0,
밝기변화제동등B,14.14009,14:37:09:515,normal,2.9868578255432006,1.1921793037663933,4,1,0.4444139,0.0,
밝기변화제동등B,14.15929,14:37:09:560,normal,2.9868578255432006,1.1921793037663933,4,1,0.4444139,0.0,
밝기변화제동등B,14.17922,14:37:09:561,normal,2.9868578255432006,1.1921793037663933,5,1,0.472207,0.0,
밝기변화제동등B,14.19801,14:37:09:606,normal,2.9868578255432006,1.1921793037663933,5,1,0.472207,0.0,
