브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,15:33:30:788,normal,0.17525411847188063,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99994,15:33:30:863,normal,0.17525411847188063,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99985,15:33:32:373,normal,0.966670659821845,0.13438692683957917,1,0,0.5,0.5,
면적변화제동등D,13.99976,15:33:32:374,normal,1.7580872011718092,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99966,15:33:32:375,normal,1.7580872011718092,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99956,15:33:32:376,normal,1.7580872011718092,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99946,15:33:32:378,normal,1.7580872011718092,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99937,15:33:32:532,normal,2.287631538861782,0.13438692683957917,1,0,0.5,0.5,
면적변화제동등D,13.99931,15:33:32:533,normal,2.8171758765517554,0.13438692683957917,1,0,0.5,0.5,
면적변화제동등D,13.99923,15:33:32:534,normal,3.3467202142417287,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99916,15:33:32:535,normal,3.3467202142417287,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.9991,15:33:32:536,normal,3.3467202142417287,0.13438692683957917,0,0,0.5,0.5,
면적변화제동등D,13.99904,15:33:32:617,normal,4.046687840740441,0.13438692683957917,1,0,0.5,0.5,
면적변화제동등D,14.00706,15:33:32:619,normal,4.746655467239153,0.13438692683957917,1,0,0.5,0.5,
면적변화제동등D,14.01442,15:33:32:620,normal,5.446623093737865,0.13438692683957917,2,0,0.5,0.5,
면적변화제동등D,14.02226,15:33:32:622,normal,5.446623093737865,0.13438692683957917,2,0,0.5,0.5,
면적변화제동등D,14.02977,15:33:32:670,normal,5.446623093737865,0.13438692683957917,2,0,0.5,0.5,
면적변화제동등D,14.04314,15:33:32:671,normal,6.613756613554963,0.13438692683957917,3,0,0.5,0.5,
면적변화제동등D,14.05623,15:33:32:712,normal,6.613756613554963,0.13438692683957917,3,0,0.5,0.5,
면적변화제동등D,14.07412,15:33:32:713,normal,6.613756613554963,0.13438692683957917,3,0,0.5,0.5,
면적변화제동등D,14.09216,15:33:32:713,normal,1.9700551616006396,0.13438692683957917,4,0,0.5,0.5,
면적변화제동등D,14.10995,15:33:32:761,normal,1.9700551616006396,0.13438692683957917,4,0,0.5,0.5,
면적변화제동등D,14.13082,15:33:32:763,normal,1.9700551616006396,0.13438692683957917,4,0,0.4761752,0.0,
면적변화제동등D,14.15147,15:33:32:809,normal,1.9700551616006396,0.13438692683957917,4,0,0.4761752,0.0,
면적변화제동등D,14.17486,15:33:32:810,normal,1.9700551616006396,0.13438692683957917,4,0,0.4761752,0.0,
면적변화제동등D,14.19834,15:33:32:854,normal,3.121098626718646,0.13438692683957917,5,0,0.4761752,0.0,
면적변화제동등D,14.22237,15:33:32:855,normal,3.121098626718646,1.256913021631815,5,1,0.4761752,0.0,
면적변화제동등D,14.2462,15:33:32:856,normal,3.121098626718646,1.256913021631815,5,1,0.4761752,0.0,
면적변화제동등D,14.26979,15:33:32:901,normal,3.121098626718646,1.256913021631815,5,1,0.4761752,0.0,
면적변화제동등D,14.29539,15:33:32:902,normal,3.121098626718646,1.256913021631815,5,1,0.4761752,0.0,
면적변화제동등D,14.32051,15:33:32:943,normal,3.156565656444558,1.256913021631815,6,1,0.4761752,0.0,
면적변화제동등D,14.34768,15:33:32:944,normal,3.156565656444558,1.256913021631815,6,1,0.4761752,0.0,
면적변화제동등D,14.37386,15:33:32:987,normal,3.156565656444558,1.256913021631815,6,1,0.4761752,0.0,
면적변화제동등D,14.40303,15:33:32:989,normal,3.156565656444558,1.256913021631815,6,1,0.4761752,0.0,
면적변화제동등D,14.43177,15:33:33:031,normal,3.0864197532061888,1.256913021631815,7,1,0.4761752,0.0,
면적변화제동등D,14.46149,15:33:33:032,normal,3.0864197532061888,1.256913021631815,7,1,0.4761752,0.0,
면적변화제동등D,14.49037,15:33:33:076,normal,3.0864197532061888,2.0424836601516994,7,2,0.4761752,0.0,
면적변화제동등D,14.52216,15:33:33:076,normal,3.0864197532061888,2.0424836601516994,7,2,0.4761752,0.0,
면적변화제동등D,14.55362,15:33:33:077,normal,3.0864197532061888,2.0424836601516994,7,2,0.4761752,0.0,
면적변화제동등D,14.58388,15:33:33:121,normal,3.0525030524913377,2.0424836601516994,8,2,0.4761752,0.0,
면적변화제동등D,14.61539,15:33:33:122,normal,3.0525030524913377,2.0424836601516994,8,2,0.4761752,0.0,
면적변화제동등D,14.64607,15:33:33:166,normal,3.0525030524913377,2.0424836601516994,8,2,0.4761752,0.0,
면적변화제동등D,14.67845,15:33:33:167,normal,3.0525030524913377,2.0424836601516994,8,2,0.4761752,0.0,
면적변화제동등D,14.70962,15:33:33:211,normal,3.0525030524913377,2.0424836601516994,8,2,0.4761752,0.0,
면적변화제동등D,14.74432,15:33:33:212,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.77709,15:33:33:260,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.81163,15:33:33:261,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.84566,15:33:33:262,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.87963,15:33:33:306,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.91439,15:33:33:306,normal,2.0576131686932286,1.5179113539996199,9,3,0.4761752,0.0,
면적변화제동등D,14.94841,15:33:33:347,normal,2.080995136552798,1.5179113539996199,10,3,0.4761752,0.0,
면적변화제동등D,14.98473,15:33:33:348,normal,2.080995136552798,1.5179113539996199,10,3,0.4761752,0.0,
면적변화제동등D,15.0202,15:33:33:395,normal,2.080995136552798,2.027575020239569,10,4,0.4761752,0.0,
면적변화제동등D,15.05794,15:33:33:396,normal,2.080995136552798,2.027575020239569,10,4,0.4761752,0.0,
면적변화제동등D,15.09521,15:33:33:398,normal,2.104377104412367,2.027575020239569,11,4,0.4761752,0.0,
면적변화제동등D,15.1316,15:33:33:442,normal,2.104377104412367,2.027575020239569,11,4,0.4761752,0.0,
면적변화제동등D,15.16906,15:33:33:443,normal,2.104377104412367,2.027575020239569,11,4,0.4761752,0.0,
면적변화제동등D,15.20626,15:33:33:485,normal,2.104377104412367,2.027575020239569,11,4,0.4801435,0.0,
면적변화제동등D,15.24478,15:33:33:486,normal,2.104377104412367,2.027575020239569,11,4,0.5820513,0.0,
면적변화제동등D,15.28336,15:33:33:530,normal,3.019323671360043,2.027575020239569,12,4,0.5898657,0.0,
면적변화제동등D,15.32301,15:33:33:532,normal,3.019323671360043,3.08641975295667,12,5,0.7461538,0.0,
면적변화제동등D,15.36123,15:33:33:576,normal,3.019323671360043,3.08641975295667,12,5,0.7461538,0.0,
면적변화제동등D,15.40153,15:33:33:578,normal,3.019323671360043,3.08641975295667,12,5,0.8594627,0.0,
면적변화제동등D,15.43939,15:33:33:579,normal,3.019323671360043,3.08641975295667,12,5,0.8633699,0.0,
면적변화제동등D,15.4756,15:33:33:622,normal,3.1928480204513168,6.459948320736988,13,6,0.8672771,0.0,
면적변화제동등D,15.51127,15:33:33:623,normal,3.1928480204513168,6.459948320736988,13,6,0.9258852,0.0,
면적변화제동등D,15.54475,15:33:33:664,normal,3.1928480204513168,6.459948320736988,13,6,0.9258852,0.0,
면적변화제동등D,15.5783,15:33:33:665,normal,3.1928480204513168,6.313131312889116,13,7,0.9376068,0.0,
면적변화제동등D,15.60914,15:33:33:708,normal,3.1928480204513168,6.313131312889116,13,7,0.9376068,0.0,
면적변화제동등D,15.63993,15:33:33:709,normal,2.104377104412367,6.313131313933072,14,8,0.9102564,0.0,
면적변화제동등D,15.66811,15:33:33:753,normal,2.104377104412367,6.313131313933072,14,8,0.9063492,0.0,
면적변화제동등D,15.69625,15:33:33:753,normal,2.104377104412367,6.313131312889116,14,9,0.8242979,0.0,
면적변화제동등D,15.7216,15:33:33:754,normal,2.104377104412367,6.313131312889116,14,9,0.8242979,0.0,
면적변화제동등D,15.74502,15:33:33:796,normal,2.104377104412367,6.313131312889116,14,9,0.8203907,0.0,
면적변화제동등D,15.76901,15:33:33:797,normal,2.104377104412367,6.1728395064123776,14,10,0.7930403,0.0,
면적변화제동등D,15.79113,15:33:33:841,normal,3.2299741600952245,6.1728395064123776,15,10,0.7930403,0.0,
면적변화제동등D,15.81347,15:33:33:842,normal,3.2299741600952245,6.041502495607148,15,11,0.8047619,0.0,
면적변화제동등D,15.83445,15:33:33:882,normal,3.2299741600952245,6.041502495607148,15,11,0.8047619,0.0,
면적변화제동등D,15.8555,15:33:33:883,normal,3.2299741600952245,6.041502495607148,15,11,0.8242979,0.0,
면적변화제동등D,15.87545,15:33:33:927,normal,3.052503052735402,5.910165484801919,16,12,0.8242979,0.0,
면적변화제동등D,15.89518,15:33:33:928,normal,3.052503052735402,5.910165484801919,16,12,0.8516483,0.0,
면적변화제동등D,15.91306,15:33:33:973,normal,3.052503052735402,5.910165484801919,16,12,0.8516483,0.0,
면적변화제동등D,15.93094,15:33:33:974,normal,3.052503052735402,6.313131313933072,16,13,0.8750916,0.0,
