브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,17:51:31:691,normal,0.17339436815103587,0.09204035048954283,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,17:51:31:769,normal,0.17339436815103587,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99985,17:51:33:293,normal,1.0931384079152628,0.09204035048954283,1,0,0.0,0.0,
점멸주파수변화제동등C,13.99976,17:51:33:295,normal,2.0128824476794898,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99965,17:51:33:296,normal,2.0128824476794898,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99955,17:51:33:296,normal,2.0128824476794898,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99945,17:51:33:298,normal,2.0128824476794898,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99936,17:51:33:433,normal,2.4442144008076325,0.09204035048954283,1,0,0.0,0.0,
점멸주파수변화제동등C,13.9993,17:51:33:435,normal,2.8755463539357753,0.09204035048954283,1,0,0.0,0.0,
점멸주파수변화제동등C,13.99922,17:51:33:436,normal,3.306878307063918,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99915,17:51:33:438,normal,3.306878307063918,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99909,17:51:33:439,normal,3.306878307063918,0.09204035048954283,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99903,17:51:33:520,normal,3.888087221535387,0.09204035048954283,1,0,0.0,0.0,
점멸주파수변화제동등C,14.00704,17:51:33:521,normal,4.469296136006856,0.09204035048954283,1,0,0.0,0.0,
점멸주파수변화제동등C,14.0144,17:51:33:523,normal,5.050505050478326,0.09204035048954283,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02225,17:51:33:524,normal,5.050505050478326,0.09204035048954283,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02975,17:51:33:577,normal,5.050505050478326,0.09204035048954283,2,0,0.0,0.0,
점멸주파수변화제동등C,14.04313,17:51:33:578,normal,2.9868578255432006,0.09204035048954283,3,0,0.0,0.0,
점멸주파수변화제동등C,14.05622,17:51:33:579,normal,2.9868578255432006,0.09204035048954283,3,0,0.0,0.0,
점멸주파수변화제동등C,14.06897,17:51:33:626,normal,2.9868578255432006,0.09204035048954283,3,0,0.0,0.0,
