브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,18:19:08:548,normal,0.17274737423911116,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99994,18:19:08:628,normal,0.17274737423911116,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99985,18:19:10:156,normal,1.100161197347023,0.11214282510209742,1,0,0.5,0.5,
기본제동등A,13.99976,18:19:10:157,normal,2.0275750204549348,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99966,18:19:10:158,normal,2.0275750204549348,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99956,18:19:10:158,normal,2.0275750204549348,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99946,18:19:10:160,normal,2.0275750204549348,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99937,18:19:10:294,normal,2.538801200811502,0.11214282510209742,1,0,0.5,0.5,
기본제동등A,13.99931,18:19:10:296,normal,3.0500273811680687,0.11214282510209742,1,0,0.5,0.5,
기본제동등A,13.99923,18:19:10:296,normal,3.561253561524636,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99916,18:19:10:297,normal,3.561253561524636,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.9991,18:19:10:298,normal,3.561253561524636,0.11214282510209742,0,0,0.5,0.5,
기본제동등A,13.99904,18:19:10:374,normal,4.6325249580499985,0.11214282510209742,1,0,0.5,0.5,
기본제동등A,14.00706,18:19:10:376,normal,5.703796354575362,0.11214282510209742,1,0,0.5,0.5,
기본제동등A,14.01442,18:19:10:376,normal,6.775067751100724,0.11214282510209742,2,0,0.5,0.5,
기본제동등A,14.02226,18:19:10:378,normal,6.775067751100724,0.11214282510209742,2,0,0.5,0.5,
기본제동등A,14.02977,18:19:10:416,normal,6.775067751100724,0.11214282510209742,2,0,0.5,0.5,
기본제동등A,14.04314,18:19:10:417,normal,3.5161744023436183,0.11214282510209742,3,0,0.5,0.5,
기본제동등A,14.05623,18:19:10:454,normal,3.5161744023436183,0.11214282510209742,3,0,0.5,0.5,
기본제동등A,14.07408,18:19:10:456,normal,3.5161744023436183,0.11214282510209742,3,0,0.5,0.5,
기본제동등A,14.0918,18:19:10:496,normal,3.607503607279988,0.11214282510209742,4,0,0.5,0.5,
기본제동등A,14.11199,18:19:10:497,normal,3.607503607279988,0.11214282510209742,4,0,0.5,0.5,
기본제동등A,14.1326,18:19:10:535,normal,3.607503607279988,0.11214282510209742,4,0,0.5,0.5,
기본제동등A,14.1538,18:19:10:536,normal,3.607503607279988,0.11214282510209742,4,0,0.5,0.5,
기본제동등A,14.17546,18:19:10:573,normal,2.4801587302979384,0.11214282510209742,5,0,0.5,0.5,
기본제동등A,14.20027,18:19:10:610,normal,2.4801587302979384,0.11214282510209742,5,0,0.5,0.5,
기본제동등A,14.22653,18:19:10:611,normal,2.4801587302979384,0.11214282510209742,5,0,0.5,0.5,
기본제동등A,14.25238,18:19:10:646,normal,2.4801587302979384,0.11214282510209742,5,0,0.5,0.5,
기본제동등A,14.28131,18:19:10:646,normal,2.4801587302979384,0.11214282510209742,5,0,0.5,0.5,
기본제동등A,14.31113,18:19:10:685,normal,3.607503607279988,0.11214282510209742,6,0,0.5,0.5,
기본제동등A,14.34151,18:19:10:685,normal,3.607503607279988,0.11214282510209742,6,0,0.5,0.5,
기본제동등A,14.3721,18:19:10:723,normal,3.607503607279988,0.11214282510209742,6,0,0.5,0.5,
기본제동등A,14.40428,18:19:10:724,normal,3.607503607279988,0.11214282510209742,6,0,0.5,0.5,
기본제동등A,14.43661,18:19:10:761,normal,3.607503607279988,0.11214282510209742,6,0,0.5,0.5,
기본제동등A,14.47168,18:19:10:762,normal,2.4801587302979384,0.11214282510209742,7,0,0.5,0.5,
기본제동등A,14.50661,18:19:10:799,normal,2.4801587302979384,0.11214282510209742,7,0,0.5,0.5,
