브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,18:30:21:641,normal,0.1764788931251394,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99994,18:30:21:714,normal,0.1764788931251394,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99985,18:30:23:215,normal,1.0663302134370503,0.11075668970398615,1,0,0.5,0.5,
면적변화제동등D,13.99976,18:30:23:217,normal,1.9561815337489612,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99966,18:30:23:218,normal,1.9561815337489612,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99956,18:30:23:219,normal,1.9561815337489612,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99946,18:30:23:220,normal,1.9561815337489612,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99937,18:30:23:359,normal,2.3329276067350246,0.11075668970398615,1,0,0.5,0.5,
면적변화제동등D,13.99931,18:30:23:361,normal,2.7096736797210883,0.11075668970398615,1,0,0.5,0.5,
면적변화제동등D,13.99923,18:30:23:362,normal,3.086419752707152,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99916,18:30:23:362,normal,3.086419752707152,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.9991,18:30:23:363,normal,3.086419752707152,0.11075668970398615,0,0,0.5,0.5,
면적변화제동등D,13.99904,18:30:23:452,normal,4.315969084703463,0.11075668970398615,1,0,0.5,0.5,
면적변화제동등D,14.00706,18:30:23:452,normal,5.545518416699774,0.11075668970398615,1,0,0.5,0.5,
면적변화제동등D,14.01442,18:30:23:453,normal,6.775067748696085,0.11075668970398615,2,0,0.5,0.5,
면적변화제동등D,14.02226,18:30:23:454,normal,6.775067748696085,0.11075668970398615,2,0,0.5,0.5,
면적변화제동등D,14.02977,18:30:23:494,normal,6.775067748696085,0.11075668970398615,2,0,0.5,0.5,
면적변화제동등D,14.04314,18:30:23:494,normal,3.6549707601891295,0.11075668970398615,3,0,0.5,0.5,
면적변화제동등D,14.05623,18:30:23:532,normal,3.6549707601891295,0.11075668970398615,3,0,0.5,0.5,
면적변화제동등D,14.07455,18:30:23:534,normal,3.6549707601891295,0.11075668970398615,3,0,0.5,0.5,
면적변화제동등D,14.09291,18:30:23:570,normal,3.5161744023436183,0.11075668970398615,4,0,0.5,0.5,
면적변화제동등D,14.1132,18:30:23:572,normal,3.5161744023436183,0.11075668970398615,4,0,0.5,0.5,
면적변화제동등D,14.13449,18:30:23:609,normal,3.5161744023436183,0.11075668970398615,4,0,0.5,0.5,
면적변화제동등D,14.1569,18:30:23:610,normal,3.5161744023436183,0.11075668970398615,4,0,0.5,0.5,
면적변화제동등D,14.17941,18:30:23:649,normal,3.6075036079617555,0.11075668970398615,5,0,0.5,0.5,
면적변화제동등D,14.20443,18:30:23:650,normal,3.6075036079617555,0.11075668970398615,5,0,0.5,0.5,
면적변화제동등D,14.22959,18:30:23:687,normal,3.6075036079617555,0.11075668970398615,5,0,0.5,0.5,
면적변화제동등D,14.25658,18:30:23:688,normal,3.6075036079617555,0.11075668970398615,5,0,0.5,0.5,
면적변화제동등D,14.28288,18:30:23:725,normal,3.6075036079617555,0.11075668970398615,5,0,0.5,0.5,
면적변화제동등D,14.31276,18:30:23:726,normal,2.4366471734594195,0.11075668970398615,6,0,0.5,0.5,
면적변화제동등D,14.34264,18:30:23:763,normal,2.4366471734594195,0.11075668970398615,6,0,0.5,0.5,
면적변화제동등D,14.37457,18:30:23:764,normal,2.4366471734594195,0.11075668970398615,6,0,0.5,0.5,
면적변화제동등D,14.40584,18:30:23:802,normal,2.4366471734594195,0.11075668970398615,6,0,0.5,0.5,
면적변화제동등D,14.43963,18:30:23:802,normal,2.4366471734594195,0.11075668970398615,6,0,0.5,0.5,
면적변화제동등D,14.47367,18:30:23:840,normal,2.4366471734594195,0.11075668970398615,7,0,0.5,0.5,
면적변화제동등D,14.5097,18:30:23:840,normal,2.4366471734594195,0.11075668970398615,7,0,0.5,0.5,
면적변화제동등D,14.54514,18:30:23:879,normal,2.4366471734594195,0.11075668970398615,7,0,0.5,0.5,
면적변화제동등D,14.58285,18:30:23:880,normal,2.4366471734594195,0.11075668970398615,7,0,0.5,0.5,
면적변화제동등D,14.62118,18:30:23:918,normal,2.4366471734594195,0.11075668970398615,7,0,0.5,0.5,
면적변화제동등D,14.66114,18:30:23:954,normal,3.6549707601891295,0.11075668970398615,8,0,0.5,0.5,
면적변화제동등D,14.70341,18:30:23:955,normal,3.6549707601891295,0.11075668970398615,8,0,0.5,0.5,
면적변화제동등D,14.74549,18:30:23:992,normal,3.6549707601891295,0.11075668970398615,8,0,0.5,0.5,
면적변화제동등D,14.79036,18:30:23:993,normal,3.6549707601891295,0.11075668970398615,8,0,0.5,0.5,
면적변화제동등D,14.83503,18:30:24:030,normal,2.3540489641743294,0.11075668970398615,9,0,0.5,0.5,
면적변화제동등D,14.88146,18:30:24:031,normal,2.3540489641743294,0.11075668970398615,9,0,0.09117827,0.0,
면적변화제동등D,14.92791,18:30:24:071,normal,2.3540489641743294,0.11075668970398615,9,0,0.1110195,0.0,
면적변화제동등D,14.97621,18:30:24:071,normal,2.3540489641743294,0.11075668970398615,9,0,0.3451923,0.0,
면적변화제동등D,15.02457,18:30:24:109,normal,2.3540489641743294,0.11075668970398615,9,0,0.3451923,0.0,
면적변화제동등D,15.0747,18:30:24:110,normal,2.3540489641743294,0.11075668970398615,9,0,0.5,0.0,
면적변화제동등D,15.12412,18:30:24:148,normal,3.5161744023436183,0.11075668970398615,10,0,0.5078144,0.0,
면적변화제동등D,15.17616,18:30:24:149,normal,3.5161744023436183,1.4172335601176398,10,1,0.5586081,0.0,
면적변화제동등D,15.22768,18:30:24:186,normal,3.5161744023436183,1.4172335601176398,10,1,0.5586081,0.0,
면적변화제동등D,15.27926,18:30:24:187,normal,3.5161744023436183,1.4172335601176398,10,1,0.5820513,0.0,
면적변화제동등D,15.33107,18:30:24:226,normal,3.5161744023436183,1.4172335601176398,10,1,0.5859585,0.0,
면적변화제동등D,15.38445,18:30:24:227,normal,2.3741690408687797,1.4172335601176398,11,1,0.671917,0.0,
면적변화제동등D,15.43695,18:30:24:264,normal,2.3741690408687797,1.4172335601176398,11,1,0.6797314,0.0,
면적변화제동등D,15.49161,18:30:24:265,normal,2.3741690408687797,1.4172335601176398,11,1,0.8086691,0.0,
면적변화제동등D,15.54589,18:30:24:304,normal,2.3741690408687797,1.4172335601176398,11,1,0.8086691,0.0,
면적변화제동등D,15.60103,18:30:24:306,normal,2.3741690408687797,1.4172335601176398,11,1,0.921978,0.0,
면적변화제동등D,15.65555,18:30:24:344,normal,3.5612535608602376,1.4172335601176398,12,1,0.921978,0.0,
면적변화제동등D,15.71157,18:30:24:345,normal,3.5612535608602376,1.8037518038104359,12,2,0.9923077,0.0,
면적변화제동등D,15.76758,18:30:24:382,normal,3.5612535608602376,1.8037518038104359,12,2,1.000122,0.0,
면적변화제동등D,15.82455,18:30:24:383,normal,3.5612535608602376,1.8037518038104359,12,2,1.000122,0.0,
면적변화제동등D,15.88059,18:30:24:420,normal,3.5612535608602376,1.8037518038104359,12,2,1.000122,0.0,
면적변화제동등D,15.9386,18:30:24:422,normal,2.415458937393683,1.8037518038104359,13,2,1.000122,0.0,
면적변화제동등D,15.99615,18:30:24:461,normal,2.415458937393683,1.8037518038104359,13,2,1.000122,0.0,
면적변화제동등D,16.05401,18:30:24:462,normal,2.415458937393683,1.8037518038104359,13,2,1.000122,0.0,
면적변화제동등D,16.1116,18:30:24:499,normal,2.415458937393683,2.4366471734594195,13,3,1.000122,0.0,
면적변화제동등D,16.16986,18:30:24:499,normal,2.415458937393683,2.4366471734594195,13,3,1.000122,0.0,
면적변화제동등D,16.2272,18:30:24:537,normal,2.4582104228653754,2.4366471734594195,14,3,1.000122,0.0,
면적변화제동등D,16.28609,18:30:24:573,normal,2.4582104228653754,2.4366471734594195,14,3,1.000122,0.0,
면적변화제동등D,16.34548,18:30:24:573,normal,2.4582104228653754,2.4366471734594195,14,3,1.000122,0.0,
면적변화제동등D,16.40335,18:30:24:611,normal,2.4582104228653754,2.4366471734594195,14,3,1.000122,0.0,
면적변화제동등D,16.46252,18:30:24:613,normal,2.4582104228653754,3.607503607279988,14,4,1.000122,0.0,
면적변화제동등D,16.51912,18:30:24:650,normal,3.5161744016959338,3.607503607279988,15,4,1.000122,0.0,
면적변화제동등D,16.57734,18:30:24:651,normal,3.5161744016959338,3.607503607279988,15,4,1.000122,0.0,
면적변화제동등D,16.63418,18:30:24:690,normal,3.5161744016959338,3.6549707601891295,15,5,1.000122,0.0,
면적변화제동등D,16.6909,18:30:24:691,normal,3.5161744016959338,3.6549707601891295,15,5,1.000122,0.0,
면적변화제동등D,16.74572,18:30:24:727,normal,3.5161744016959338,3.6549707601891295,15,5,1.000122,0.0,
면적변화제동등D,16.80066,18:30:24:729,normal,2.4582104228653754,3.6549707601891295,16,5,1.000122,0.0,
면적변화제동등D,16.85275,18:30:24:766,normal,2.4582104228653754,7.122507124378068,16,6,1.000122,0.0,
면적변화제동등D,16.90545,18:30:24:767,normal,2.4582104228653754,7.122507124378068,16,6,1.000122,0.0,
면적변화제동등D,16.95497,18:30:24:805,normal,2.4582104228653754,7.507507505239861,16,7,1.000122,0.0,
면적변화제동등D,17.00441,18:30:24:806,normal,2.4582104228653754,7.507507505239861,16,7,1.000122,0.0,
면적변화제동등D,17.05172,18:30:24:842,normal,2.3946360154386213,7.309941520378259,17,8,1.000122,0.0,
면적변화제동등D,17.09774,18:30:24:844,normal,2.3946360154386213,7.309941520378259,17,8,1.000122,0.0,
면적변화제동등D,17.14086,18:30:24:880,normal,2.3946360154386213,6.94444444555605,17,9,1.000122,0.0,
면적변화제동등D,17.18317,18:30:24:882,normal,2.3946360154386213,6.94444444555605,17,9,1.000122,0.0,
면적변화제동등D,17.2227,18:30:24:920,normal,2.3946360154386213,7.309941520378259,17,10,1.000122,0.0,
면적변화제동등D,17.2616,18:30:24:920,normal,2.3946360154386213,7.309941520378259,17,10,1.000122,0.0,
면적변화제동등D,17.29773,18:30:24:958,normal,3.753753753358097,7.507507508192526,18,11,1.000122,0.0,
면적변화제동등D,17.33369,18:30:24:994,normal,3.753753753358097,7.507507508192526,18,11,1.000122,0.0,
면적변화제동등D,17.36855,18:30:24:995,normal,3.753753753358097,7.309941520378259,18,12,1.000122,0.0,
면적변화제동등D,17.40102,18:30:25:032,normal,2.415458937393683,7.309941520378259,19,12,1.000122,0.0,
면적변화제동등D,17.43214,18:30:25:033,normal,2.415458937393683,7.122507121720475,19,13,1.000122,0.0,
면적변화제동등D,17.46091,18:30:25:071,normal,2.415458937393683,7.122507121720475,19,13,1.000122,0.0,
면적변화제동등D,17.48956,18:30:25:072,normal,2.415458937393683,7.309941520378259,19,14,1.000122,0.0,
면적변화제동등D,17.51534,18:30:25:109,normal,2.415458937393683,7.309941520378259,19,14,1.000122,0.0,
면적변화제동등D,17.54016,18:30:25:110,normal,2.415458937393683,7.309941520378259,19,15,1.000122,0.0,
면적변화제동등D,17.5622,18:30:25:147,normal,3.6549707601891295,7.309941520378259,20,15,1.000122,0.0,
면적변화제동등D,17.58394,18:30:25:148,normal,3.6549707601891295,7.127192981703967,20,16,1.000122,0.0,
면적변화제동등D,17.60362,18:30:25:185,normal,3.6549707601891295,7.127192981703967,20,16,1.000122,0.0,
면적변화제동등D,17.62376,18:30:25:185,normal,3.6549707601891295,7.127192981703967,20,16,1.000122,0.0,
면적변화제동등D,17.63991,18:30:25:223,normal,3.6549707601891295,6.944444443029675,20,17,1.000122,0.0,
면적변화제동등D,17.65559,18:30:25:223,normal,2.39463601513822,6.944444443029675,21,17,1.000122,0.0,
면적변화제동등D,17.66894,18:30:25:263,normal,2.39463601513822,7.122507124378068,21,18,1.000122,0.0,
면적변화제동등D,17.681,18:30:25:264,normal,2.39463601513822,7.122507124378068,21,18,0.9923077,0.0,
