브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,18:53:03:623,normal,0.17592006192409526,0.12895904260836738,0,0,0.5,0.5,
밝기변화제동등B,13.99994,18:53:03:696,normal,0.17592006192409526,0.12895904260836738,0,0,0.5,0.5,
밝기변화제동등B,13.99985,18:53:05:202,normal,0.940039103897582,0.12895904260836738,1,0,0.5,0.5,
밝기변화제동등B,13.99976,18:53:05:204,normal,1.7041581458710688,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99966,18:53:05:205,normal,1.7041581458710688,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99956,18:53:05:206,normal,1.7041581458710688,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99946,18:53:05:207,normal,1.7041581458710688,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99936,18:53:05:367,normal,2.1425466543673934,0.12895904260836738,1,0,0.0,0.0,
밝기변화제동등B,13.9993,18:53:05:368,normal,2.5809351628637183,0.12895904260836738,1,0,0.0,0.0,
밝기변화제동등B,13.99922,18:53:05:370,normal,3.019323671360043,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99915,18:53:05:371,normal,3.019323671360043,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99909,18:53:05:372,normal,3.019323671360043,0.12895904260836738,0,0,0.0,0.0,
밝기변화제동등B,13.99903,18:53:05:462,normal,4.387051489032718,0.12895904260836738,1,0,0.0,0.0,
밝기변화제동등B,14.00704,18:53:05:463,normal,5.754779306705393,0.12895904260836738,1,0,0.0,0.0,
밝기변화제동등B,14.0144,18:53:05:464,normal,7.122507124378068,0.12895904260836738,2,0,0.0,0.0,
밝기변화제동등B,14.02225,18:53:05:465,normal,7.122507124378068,0.12895904260836738,2,0,0.0,0.0,
밝기변화제동등B,14.02975,18:53:05:503,normal,7.122507124378068,0.12895904260836738,2,0,0.0,0.0,
