브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,18:47:22:230,normal,0.17875017874975024,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,18:47:22:303,normal,0.17875017874975024,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99985,18:47:23:784,normal,0.9260551429353072,0.12643503767763453,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99976,18:47:23:785,normal,1.6733601071208644,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99966,18:47:23:786,normal,1.6733601071208644,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99956,18:47:23:789,normal,1.6733601071208644,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99946,18:47:23:790,normal,1.6733601071208644,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99937,18:47:23:951,normal,2.2311468094944855,0.12643503767763453,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99931,18:47:23:952,normal,2.788933511868107,0.12643503767763453,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99923,18:47:23:953,normal,3.3467202142417287,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99916,18:47:23:954,normal,3.3467202142417287,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.9991,18:47:23:954,normal,3.3467202142417287,0.12643503767763453,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99904,18:47:24:036,normal,4.43573234734614,0.12643503767763453,1,0,0.5,0.5,
점멸주파수변화제동등C,14.00706,18:47:24:039,normal,5.524744480450551,0.12643503767763453,1,0,0.0,0.0,
점멸주파수변화제동등C,14.01442,18:47:24:040,normal,6.613756613554963,0.12643503767763453,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02226,18:47:24:041,normal,6.613756613554963,0.12643503767763453,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02976,18:47:24:081,normal,6.613756613554963,0.12643503767763453,2,0,0.0,0.0,
