브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,18:58:12:889,normal,0.17760727479414742,0.1613111369200642,0,0,0.5,0.5,
면적변화제동등D,13.99994,18:58:12:961,normal,0.17760727479414742,0.1613111369200642,0,0,0.5,0.5,
면적변화제동등D,13.99985,18:58:14:453,normal,0.9734462417481672,0.1613111369200642,1,0,0.5,0.5,
면적변화제동등D,13.99976,18:58:14:454,normal,1.769285208702187,0.1613111369200642,0,0,0.4404457,0.0,
면적변화제동등D,13.99966,18:58:14:455,normal,1.769285208702187,0.1613111369200642,0,0,0.4404457,0.0,
면적변화제동등D,13.99956,18:58:14:456,normal,1.769285208702187,0.1613111369200642,0,0,0.4404457,0.0,
면적변화제동등D,13.99885,18:58:14:457,normal,1.769285208702187,0.1613111369200642,0,0,0.4404457,0.0,
면적변화제동등D,13.99767,18:58:14:611,normal,2.1859646962548056,1.5782828283527734,1,1,0.4404457,0.0,
면적변화제동등D,13.99598,18:58:14:612,normal,2.602644183807424,1.5782828283527734,1,1,0.4325092,0.0,
면적변화제동등D,13.99371,18:58:14:614,normal,3.019323671360043,1.5782828283527734,0,1,0.4325092,0.0,
면적변화제동등D,13.99095,18:58:14:615,normal,3.019323671360043,1.5782828283527734,0,1,0.4325092,0.0,
면적변화제동등D,13.98765,18:58:14:615,normal,3.019323671360043,1.5782828283527734,0,1,0.4325092,0.0,
면적변화제동등D,13.98375,18:58:14:706,normal,4.327697261916587,1.5782828283527734,1,1,0.4325092,0.0,
면적변화제동등D,13.98741,18:58:14:707,normal,5.63607085247313,1.5782828283527734,1,1,0.4245726,0.0,
면적변화제동등D,13.98989,18:58:14:708,normal,6.944444443029675,1.5782828283527734,2,1,0.4245726,0.0,
면적변화제동등D,13.99222,18:58:14:708,normal,6.944444443029675,1.5782828283527734,2,1,0.4245726,0.0,
면적변화제동등D,13.99364,18:58:14:747,normal,6.944444443029675,1.5782828283527734,2,1,0.4285409,0.0,
면적변화제동등D,14.00031,18:58:14:748,normal,3.5161744023436183,1.5782828283527734,3,1,0.4325092,0.0,
면적변화제동등D,14.00621,18:58:14:787,normal,3.5161744023436183,1.7361111110732155,3,2,0.4325092,0.0,
면적변화제동등D,14.01707,18:58:14:788,normal,3.5161744023436183,1.7361111110732155,3,2,0.4364774,0.0,
면적변화제동등D,14.02709,18:58:14:827,normal,3.6075036079617555,1.7361111110732155,4,2,0.4364774,0.0,
면적변화제동등D,14.0392,18:58:14:828,normal,3.6075036079617555,1.7361111110732155,4,2,0.4364774,0.0,
면적변화제동등D,14.05118,18:58:14:866,normal,3.6075036079617555,1.7361111110732155,4,2,0.4364774,0.0,
면적변화제동등D,14.06269,18:58:14:867,normal,3.6075036079617555,1.7361111110732155,4,2,0.4404457,0.0,
면적변화제동등D,14.07373,18:58:14:904,normal,3.387533874949202,1.7361111110732155,5,2,0.4404457,0.0,
면적변화제동등D,14.08707,18:58:14:905,normal,3.387533874949202,1.7361111110732155,5,2,0.4404457,0.0,
면적변화제동등D,14.10064,18:58:14:946,normal,3.387533874949202,1.7361111110732155,5,2,0.4404457,0.0,
면적변화제동등D,14.11549,18:58:14:947,normal,3.387533874949202,1.4392630972993943,5,3,0.4404457,0.0,
면적변화제동등D,14.12932,18:58:14:985,normal,3.387533874949202,1.4392630972993943,5,3,0.4404457,0.0,
면적변화제동등D,14.14559,18:58:14:986,normal,2.3946360154386213,1.4392630972993943,6,3,0.4404457,0.0,
면적변화제동등D,14.16035,18:58:15:025,normal,2.3946360154386213,1.4392630972993943,6,3,0.4404457,0.0,
면적변화제동등D,14.17737,18:58:15:026,normal,2.3946360154386213,1.4392630972993943,6,3,0.4404457,0.0,
면적변화제동등D,14.19387,18:58:15:064,normal,2.3946360154386213,1.4392630972993943,6,3,0.4404457,0.0,
면적변화제동등D,14.21131,18:58:15:065,normal,2.3946360154386213,1.4392630972993943,6,3,0.4404457,0.0,
면적변화제동등D,14.22861,18:58:15:102,normal,3.6549707601891295,1.4392630972993943,7,3,0.4404457,0.0,
면적변화제동등D,14.24647,18:58:15:103,normal,3.6549707601891295,1.4392630972993943,7,3,0.4404457,0.0,
면적변화제동등D,14.2642,18:58:15:140,normal,3.6549707601891295,1.7806267805962184,7,4,0.4404457,0.0,
면적변화제동등D,14.2845,18:58:15:141,normal,3.6549707601891295,1.7806267805962184,7,4,0.4404457,0.0,
면적변화제동등D,14.3034,18:58:15:177,normal,3.6549707601891295,1.7806267805962184,7,4,0.4404457,0.0,
면적변화제동등D,14.32443,18:58:15:178,normal,2.3741690408687797,1.7806267805962184,8,4,0.4404457,0.0,
면적변화제동등D,14.34427,18:58:15:216,normal,2.3741690408687797,1.7806267805962184,8,4,0.4404457,0.0,
면적변화제동등D,14.36509,18:58:15:217,normal,2.3741690408687797,1.7806267805962184,8,4,0.4444139,0.0,
면적변화제동등D,14.38638,18:58:15:257,normal,2.3741690408687797,1.7806267805962184,8,4,0.4444139,0.0,
면적변화제동등D,14.40869,18:58:15:258,normal,2.3741690408687797,1.7806267805962184,8,4,0.48808,0.0,
면적변화제동등D,14.42985,18:58:15:295,normal,3.5161744023436183,1.7806267805962184,9,4,0.48808,0.0,
면적변화제동등D,14.45321,18:58:15:296,normal,3.5161744023436183,2.3946360154386213,9,5,0.5429792,0.0,
면적변화제동등D,14.47512,18:58:15:334,normal,3.5161744023436183,2.3946360154386213,9,5,0.5468864,0.0,
면적변화제동등D,14.49952,18:58:15:335,normal,3.5161744023436183,2.3946360154386213,9,5,0.6133089,0.0,
면적변화제동등D,14.52287,18:58:15:373,normal,3.5161744023436183,2.3946360154386213,9,5,0.6133089,0.0,
면적변화제동등D,14.54691,18:58:15:374,normal,2.39463601513822,2.3946360154386213,10,5,0.671917,0.0,
면적변화제동등D,14.57011,18:58:15:412,normal,2.39463601513822,2.3946360154386213,10,5,0.671917,0.0,
면적변화제동등D,14.59344,18:58:15:412,normal,2.39463601513822,2.4154589370880344,10,6,0.7070818,0.0,
