브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:35:32:358,normal,0.1784057660742795,0.10992393263853306,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:35:32:430,normal,0.1784057660742795,0.10992393263853306,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:35:33:915,normal,1.0276413214689346,0.10992393263853306,1,0,0.0,0.0,
면적변화제동등D,13.99976,14:35:33:916,normal,1.87687687686359,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99966,14:35:33:917,normal,1.87687687686359,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99955,14:35:33:920,normal,1.87687687686359,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99946,14:35:33:921,normal,1.87687687686359,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99936,14:35:34:064,normal,2.205814061459841,0.10992393263853306,1,0,0.0,0.0,
면적변화제동등D,13.9993,14:35:34:065,normal,2.5347512460560915,0.10992393263853306,1,0,0.0,0.0,
면적변화제동등D,13.99922,14:35:34:066,normal,2.8636884306523425,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99915,14:35:34:066,normal,2.8636884306523425,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99909,14:35:34:067,normal,2.8636884306523425,0.10992393263853306,0,0,0.0,0.0,
면적변화제동등D,13.99903,14:35:34:163,normal,4.283294661008386,0.10992393263853306,1,0,0.0,0.0,
면적변화제동등D,14.00704,14:35:34:164,normal,5.702900891364431,0.10992393263853306,1,0,0.0,0.0,
면적변화제동등D,14.01441,14:35:34:166,normal,7.122507121720475,0.10992393263853306,2,0,0.0,0.0,
면적변화제동등D,14.02225,14:35:34:166,normal,7.122507121720475,0.10992393263853306,2,0,0.0,0.0,
면적변화제동등D,14.02975,14:35:34:204,normal,7.122507121720475,0.10992393263853306,2,0,0.0,0.0,
