브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:30:04:820,normal,0.17625493513807972,0.09763718023819477,0,0,0.5,0.5,
기본제동등A,13.99994,15:30:04:894,normal,0.17625493513807972,0.09763718023819477,0,0,0.5,0.5,
기본제동등A,13.99985,15:30:06:396,normal,1.116934051915654,0.09763718023819477,1,0,0.5,0.5,
기본제동등A,13.99976,15:30:06:398,normal,2.0576131686932286,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99966,15:30:06:399,normal,2.0576131686932286,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99956,15:30:06:400,normal,2.0576131686932286,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99946,15:30:06:401,normal,2.0576131686932286,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99937,15:30:06:533,normal,2.50092007097894,0.09763718023819477,1,0,0.0,0.0,
기본제동등A,13.9993,15:30:06:534,normal,2.9442269732646507,0.09763718023819477,1,0,0.0,0.0,
기본제동등A,13.99922,15:30:06:535,normal,3.387533875550362,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99915,15:30:06:536,normal,3.387533875550362,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99909,15:30:06:537,normal,3.387533875550362,0.09763718023819477,0,0,0.0,0.0,
기본제동등A,13.99903,15:30:06:617,normal,4.573170731797862,0.09763718023819477,1,0,0.0,0.0,
기본제동등A,14.00704,15:30:06:618,normal,5.758807588045362,0.09763718023819477,1,0,0.0,0.0,
기본제동등A,14.01441,15:30:06:620,normal,6.944444444292862,0.09763718023819477,2,0,0.0,0.0,
기본제동등A,14.02225,15:30:06:621,normal,6.944444444292862,0.09763718023819477,2,0,0.0,0.0,
기본제동등A,14.02975,15:30:06:659,normal,6.944444444292862,0.09763718023819477,2,0,0.0,0.0,
기본제동등A,14.04313,15:30:06:660,normal,3.654970760539043,0.09763718023819477,3,0,0.0,0.0,
기본제동등A,14.05622,15:30:06:697,normal,3.654970760539043,0.09763718023819477,3,0,0.0,0.0,
기본제동등A,14.07471,15:30:06:698,normal,3.654970760539043,0.09763718023819477,3,0,0.0,0.0,
기본제동등A,14.09261,15:30:06:736,normal,3.805175037845431,0.09763718023819477,4,0,0.0,0.0,
기본제동등A,14.11359,15:30:06:737,normal,3.805175037845431,0.09763718023819477,4,0,0.0,0.0,
기본제동등A,14.13383,15:30:06:772,normal,3.805175037845431,0.09763718023819477,4,0,0.0,0.0,
기본제동등A,14.15721,15:30:06:773,normal,3.805175037845431,0.09763718023819477,4,0,0.0,0.0,
기본제동등A,14.17993,15:30:06:809,normal,2.572016460901191,0.09763718023819477,5,0,0.0,0.0,
기본제동등A,14.20408,15:30:06:844,normal,2.572016460901191,0.09763718023819477,5,0,0.0,0.0,
기본제동등A,14.23084,15:30:06:845,normal,2.572016460901191,0.09763718023819477,5,0,0.0,0.0,
기본제동등A,14.25785,15:30:06:881,normal,2.572016460901191,0.09763718023819477,5,0,0.0,0.0,
기본제동등A,14.2866,15:30:06:882,normal,2.572016460901191,0.09763718023819477,5,0,0.0,0.0,
기본제동등A,14.31497,15:30:06:917,normal,2.3741690408687797,0.09763718023819477,6,0,0.0,0.0,
기본제동등A,14.34538,15:30:06:918,normal,2.3741690408687797,0.09763718023819477,6,0,0.0,0.0,
기본제동등A,14.37565,15:30:06:955,normal,2.3741690408687797,0.09763718023819477,6,0,0.0,0.0,
기본제동등A,14.4093,15:30:06:956,normal,2.3741690408687797,0.09763718023819477,6,0,0.0,0.0,
기본제동등A,14.44171,15:30:06:991,normal,2.3741690408687797,0.09763718023819477,6,0,0.0,0.0,
기본제동등A,14.47776,15:30:07:034,normal,3.472222222146431,0.09763718023819477,7,0,0.0,0.0,
기본제동등A,14.51425,15:30:07:035,normal,3.472222222146431,0.09763718023819477,7,0,0.0,0.0,
기본제동등A,14.55027,15:30:07:036,normal,3.472222222146431,0.09763718023819477,7,0,0.0,0.0,
기본제동등A,14.58678,15:30:07:074,normal,3.472222222146431,0.09763718023819477,7,0,0.0,0.0,
기본제동등A,14.62505,15:30:07:075,normal,3.472222222146431,0.09763718023819477,7,0,0.0,0.0,
기본제동등A,14.66275,15:30:07:114,normal,3.472222222146431,0.09763718023819477,8,0,0.0,0.0,
기본제동등A,14.70423,15:30:07:115,normal,3.472222222146431,0.09763718023819477,8,0,0.0,0.0,
기본제동등A,14.74611,15:30:07:153,normal,3.472222222146431,0.09763718023819477,8,0,0.0,0.0,
기본제동등A,14.78915,15:30:07:154,normal,3.472222222146431,0.09763718023819477,8,0,0.0,0.0,
기본제동등A,14.83214,15:30:07:193,normal,3.472222222146431,0.09763718023819477,8,0,0.0,0.0,
기본제동등A,14.87823,15:30:07:194,normal,2.3946360154386213,0.09763718023819477,9,0,0.0,0.0,
기본제동등A,14.92349,15:30:07:232,normal,2.3946360154386213,0.09763718023819477,9,0,0.0,0.0,
기본제동등A,14.97161,15:30:07:270,normal,2.3946360154386213,0.09763718023819477,9,0,0.0,0.0,
기본제동등A,15.02159,15:30:07:272,normal,2.3946360154386213,0.09763718023819477,9,0,0.0,0.0,
기본제동등A,15.07172,15:30:07:310,normal,2.2956841138813933,0.09763718023819477,10,0,0.0,0.0,
기본제동등A,15.12376,15:30:07:310,normal,2.2956841138813933,0.09763718023819477,10,0,0.01576618,0.0,
기본제동등A,15.17562,15:30:07:350,normal,2.2956841138813933,0.09763718023819477,10,0,0.01973443,0.0,
기본제동등A,15.23042,15:30:07:351,normal,2.2956841138813933,0.09763718023819477,10,0,0.05149573,0.0,
기본제동등A,15.28495,15:30:07:390,normal,2.2956841138813933,0.09763718023819477,10,0,0.05546398,0.0,
기본제동등A,15.34113,15:30:07:391,normal,2.2956841138813933,0.09763718023819477,10,0,0.08324176,0.0,
기본제동등A,15.39727,15:30:07:431,normal,3.516174402019776,0.09763718023819477,11,0,0.08324176,0.0,
기본제동등A,15.45605,15:30:07:432,normal,3.516174402019776,0.09763718023819477,11,0,0.118956,0.0,
기본제동등A,15.51516,15:30:07:471,normal,3.516174402019776,0.09763718023819477,11,0,0.1229243,0.0,
기본제동등A,15.5763,15:30:07:472,normal,3.516174402019776,0.09763718023819477,11,0,0.1546856,0.0,
