브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:41:29:497,normal,0.16814635458758354,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:41:29:576,normal,0.16814635458758354,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:41:31:149,normal,1.0905144011335368,0.08667013347215509,1,0,0.5,0.5,
면적변화제동등D,13.99976,14:41:31:150,normal,2.0128824476794898,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99966,14:41:31:151,normal,2.0128824476794898,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99956,14:41:31:152,normal,2.0128824476794898,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99946,14:41:31:154,normal,2.0128824476794898,0.08667013347215509,0,0,0.5,0.5,
면적변화제동등D,13.99937,14:41:31:288,normal,2.4062043052700988,0.08667013347215509,1,0,0.0,0.0,
면적변화제동등D,13.99931,14:41:31:289,normal,2.7995261628607078,0.08667013347215509,1,0,0.0,0.0,
면적변화제동등D,13.99923,14:41:31:291,normal,3.1928480204513168,0.08667013347215509,0,0,0.0,0.0,
면적변화제동등D,13.99916,14:41:31:292,normal,3.1928480204513168,0.08667013347215509,0,0,0.0,0.0,
면적변화제동등D,13.9991,14:41:31:293,normal,3.1928480204513168,0.08667013347215509,0,0,0.0,0.0,
면적변화제동등D,13.99904,14:41:31:378,normal,3.7820045002846756,0.08667013347215509,1,0,0.0,0.0,
면적변화제동등D,14.00705,14:41:31:381,normal,4.3711609801180344,0.08667013347215509,1,0,0.0,0.0,
면적변화제동등D,14.01441,14:41:31:382,normal,4.960317459951394,0.08667013347215509,2,0,0.0,0.0,
면적변화제동등D,14.02225,14:41:31:382,normal,4.960317459951394,0.08667013347215509,2,0,0.0,0.0,
면적변화제동등D,14.02976,14:41:31:437,normal,4.960317459951394,0.08667013347215509,2,0,0.0,0.0,
면적변화제동등D,14.04313,14:41:31:438,normal,3.1928480204513168,0.08667013347215509,3,0,0.0,0.0,
면적변화제동등D,14.05622,14:41:31:439,normal,3.1928480204513168,0.08667013347215509,3,0,0.0,0.0,
면적변화제동등D,14.06898,14:41:31:480,normal,3.1928480204513168,0.08667013347215509,3,0,0.0,0.0,
면적변화제동등D,14.08727,14:41:31:481,normal,3.1928480204513168,0.08667013347215509,3,0,0.0,0.0,
면적변화제동등D,14.10603,14:41:31:525,normal,3.3111016508649582,0.08667013347215509,4,0,0.0,0.0,
면적변화제동등D,14.12729,14:41:31:526,normal,3.3111016508649582,0.08667013347215509,4,0,0.0,0.0,
면적변화제동등D,14.14828,14:41:31:568,normal,3.3111016508649582,0.08667013347215509,4,0,0.0,0.0,
면적변화제동등D,14.17248,14:41:31:569,normal,3.4293552812786,0.08667013347215509,5,0,0.0,0.0,
면적변화제동등D,14.19702,14:41:31:610,normal,3.4293552812786,0.08667013347215509,5,0,0.0,0.0,
면적변화제동등D,14.22329,14:41:31:611,normal,3.4293552812786,0.08667013347215509,5,0,0.0,0.0,
