브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,15:46:28:765,normal,0.17614316916817924,0.11780228065214471,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,15:46:28:840,normal,0.17614316916817924,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99985,15:46:30:342,normal,1.0265100230158846,0.11780228065214471,1,0,0.0,0.0,
점멸주파수변화제동등C,13.99976,15:46:30:345,normal,1.87687687686359,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99965,15:46:30:346,normal,1.87687687686359,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99955,15:46:30:346,normal,1.87687687686359,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99945,15:46:30:347,normal,1.87687687686359,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99936,15:46:30:493,normal,2.268752268739506,0.11780228065214471,1,0,0.0,0.0,
점멸주파수변화제동등C,13.9993,15:46:30:494,normal,2.6606276606154218,0.11780228065214471,1,0,0.0,0.0,
점멸주파수변화제동등C,13.99922,15:46:30:495,normal,3.0525030524913377,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99915,15:46:30:496,normal,3.0525030524913377,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99909,15:46:30:497,normal,3.0525030524913377,0.11780228065214471,0,0,0.0,0.0,
점멸주파수변화제동등C,13.99903,15:46:30:586,normal,4.409171076010649,0.11780228065214471,1,0,0.0,0.0,
점멸주파수변화제동등C,14.00704,15:46:30:586,normal,5.76583909952996,0.11780228065214471,1,0,0.0,0.0,
점멸주파수변화제동등C,14.0144,15:46:30:588,normal,7.122507123049272,0.11780228065214471,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02225,15:46:30:589,normal,7.122507123049272,0.11780228065214471,2,0,0.0,0.0,
점멸주파수변화제동등C,14.02975,15:46:30:626,normal,7.122507123049272,0.11780228065214471,2,0,0.0,0.0,
점멸주파수변화제동등C,14.04313,15:46:30:627,normal,3.6075036076208717,0.11780228065214471,3,0,0.0,0.0,
점멸주파수변화제동등C,14.05621,15:46:30:666,normal,3.6075036076208717,0.11780228065214471,3,0,0.0,0.0,
점멸주파수변화제동등C,14.07443,15:46:30:666,normal,3.6075036076208717,0.11780228065214471,3,0,0.0,0.0,
점멸주파수변화제동등C,14.0928,15:46:30:704,normal,3.7037037034881197,0.11780228065214471,4,0,0.0,0.0,
점멸주파수변화제동등C,14.11319,15:46:30:705,normal,3.7037037034881197,0.11780228065214471,4,0,0.0,0.0,
점멸주파수변화제동등C,14.134,15:46:30:742,normal,3.7037037034881197,0.11780228065214471,4,0,0.0,0.0,
점멸주파수변화제동등C,14.15661,15:46:30:742,normal,3.7037037034881197,0.11780228065214471,4,0,0.0,0.0,
점멸주파수변화제동등C,14.17929,15:46:30:779,normal,2.4582104228653754,0.11780228065214471,5,0,0.0,0.0,
점멸주파수변화제동등C,14.20419,15:46:30:780,normal,2.4582104228653754,0.11780228065214471,5,0,0.0,0.0,
점멸주파수변화제동등C,14.22969,15:46:30:817,normal,2.4582104228653754,0.11780228065214471,5,0,0.0,0.0,
점멸주파수변화제동등C,14.25645,15:46:30:818,normal,2.4582104228653754,0.11780228065214471,5,0,0.0,0.0,
점멸주파수변화제동등C,14.28327,15:46:30:854,normal,2.4582104228653754,0.11780228065214471,5,0,0.0,0.0,
점멸주파수변화제동등C,14.31198,15:46:30:855,normal,2.4582104228653754,0.11780228065214471,5,0,0.01179792,0.0,
점멸주파수변화제동등C,14.34157,15:46:30:892,normal,3.75375375372718,0.11780228065214471,6,0,0.01179792,0.0,
점멸주파수변화제동등C,14.37267,15:46:30:929,normal,3.75375375372718,0.11780228065214471,6,0,0.04752747,0.0,
점멸주파수변화제동등C,14.40591,15:46:30:929,normal,3.75375375372718,0.11780228065214471,6,0,0.08324176,0.0,
점멸주파수변화제동등C,14.43826,15:46:30:966,normal,2.3540489641743294,0.11780228065214471,7,0,0.08721001,0.0,
점멸주파수변화제동등C,14.47457,15:46:30:967,normal,2.3540489641743294,0.11780228065214471,7,0,0.1269078,0.0,
점멸주파수변화제동등C,14.51111,15:46:31:007,normal,2.3540489641743294,0.11780228065214471,7,0,0.1269078,0.0,
점멸주파수변화제동등C,14.54785,15:46:31:008,normal,2.3540489641743294,0.11780228065214471,7,0,0.1983364,0.0,
점멸주파수변화제동등C,14.5848,15:46:31:046,normal,2.3540489641743294,0.11780228065214471,7,0,0.2023046,0.0,
점멸주파수변화제동등C,14.62425,15:46:31:047,normal,2.3540489641743294,0.11780228065214471,7,0,0.2896215,0.0,
점멸주파수변화제동등C,14.66392,15:46:31:084,normal,3.6075036076208717,0.11780228065214471,8,0,0.2975733,0.0,
점멸주파수변화제동등C,14.70536,15:46:31:084,normal,3.6075036076208717,0.11780228065214471,8,0,0.4007631,0.0,
점멸주파수변화제동등C,14.74635,15:46:31:122,normal,3.6075036076208717,0.11780228065214471,8,0,0.4007631,0.0,
점멸주파수변화제동등C,14.789,15:46:31:123,normal,3.6075036076208717,1.4392630972993943,8,1,0.5039072,0.0,
