브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,15:41:15:394,normal,0.17829125659708958,0.16485328058051135,0,0,0.5,0.5,
면적변화제동등D,13.99994,15:41:15:467,normal,0.17829125659708958,0.16485328058051135,0,0,0.5,0.5,
면적변화제동등D,13.99985,15:41:16:952,normal,1.2275791438208914,0.16485328058051135,1,0,0.5,0.5,
면적변화제동등D,13.99976,15:41:16:955,normal,2.2768670310446932,0.16485328058051135,0,0,0.3174145,0.0,
면적변화제동등D,13.99966,15:41:16:956,normal,2.2768670310446932,0.16485328058051135,0,0,0.3174145,0.0,
면적변화제동등D,13.99956,15:41:16:957,normal,2.2768670310446932,0.16485328058051135,0,0,0.3174145,0.0,
면적변화제동등D,13.99915,15:41:16:958,normal,2.2768670310446932,0.16485328058051135,0,0,0.3174145,0.0,
면적변화제동등D,13.99832,15:41:17:077,normal,2.59456940748596,0.16485328058051135,1,0,0.3174145,0.0,
면적변화제동등D,13.99724,15:41:17:079,normal,2.9122717839272267,0.9920634920676168,1,1,0.3174145,0.0,
면적변화제동등D,13.99581,15:41:17:080,normal,3.229974160368494,0.9920634920676168,0,1,0.3174145,0.0,
면적변화제동등D,13.9941,15:41:17:081,normal,3.229974160368494,0.9920634920676168,0,1,0.3174145,0.0,
면적변화제동등D,13.99197,15:41:17:082,normal,3.229974160368494,0.9920634920676168,0,1,0.3174145,0.0,
면적변화제동등D,13.98946,15:41:17:166,normal,4.468130921676616,0.9920634920676168,1,1,0.3174145,0.0,
면적변화제동등D,13.99478,15:41:17:167,normal,5.706287682984739,0.9920634920676168,1,1,0.3174145,0.0,
면적변화제동등D,13.99913,15:41:17:168,normal,6.944444444292862,0.9920634920676168,2,1,0.3174145,0.0,
면적변화제동등D,14.00357,15:41:17:169,normal,6.944444444292862,0.9920634920676168,2,1,0.3174145,0.0,
면적변화제동등D,14.00739,15:41:17:207,normal,6.944444444292862,0.9920634920676168,2,1,0.3174145,0.0,
면적변화제동등D,14.01675,15:41:17:208,normal,3.6549707601891295,0.9920634920676168,3,1,0.3174145,0.0,
면적변화제동등D,14.02551,15:41:17:247,normal,3.6549707601891295,0.9920634920676168,3,1,0.3174145,0.0,
면적변화제동등D,14.03927,15:41:17:248,normal,3.6549707601891295,0.9920634920676168,3,1,0.3174145,0.0,
면적변화제동등D,14.05239,15:41:17:284,normal,3.7037037038474265,0.9920634920676168,4,1,0.3174145,0.0,
면적변화제동등D,14.0673,15:41:17:285,normal,3.7037037038474265,0.9920634920676168,4,1,0.3174145,0.0,
면적변화제동등D,14.08221,15:41:17:322,normal,3.7037037038474265,0.9920634920676168,4,1,0.3174145,0.0,
면적변화제동등D,14.09934,15:41:17:323,normal,3.7037037038474265,0.9920634920676168,4,1,0.3174145,0.0,
면적변화제동등D,14.11556,15:41:17:359,normal,2.4582104227070936,0.9920634920676168,5,1,0.3174145,0.0,
면적변화제동등D,14.13425,15:41:17:359,normal,2.4582104227070936,0.7467144563858001,5,2,0.3174145,0.0,
면적변화제동등D,14.15209,15:41:17:397,normal,2.4582104227070936,0.7467144563858001,5,2,0.3174145,0.0,
면적변화제동등D,14.17239,15:41:17:434,normal,2.4582104227070936,0.7467144563858001,5,2,0.325351,0.0,
면적변화제동등D,14.19317,15:41:17:434,normal,2.4582104227070936,0.7467144563858001,5,2,0.325351,0.0,
면적변화제동등D,14.21415,15:41:17:472,normal,3.7037037038474265,0.7467144563858001,6,2,0.325351,0.0,
면적변화제동등D,14.23647,15:41:17:473,normal,3.7037037038474265,0.7467144563858001,6,2,0.3293193,0.0,
면적변화제동등D,14.25832,15:41:17:509,normal,3.7037037038474265,0.7467144563858001,6,2,0.3293193,0.0,
면적변화제동등D,14.28262,15:41:17:509,normal,3.7037037038474265,0.7467144563858001,6,2,0.3293193,0.0,
면적변화제동등D,14.30692,15:41:17:546,normal,3.7037037038474265,0.7467144563858001,6,2,0.3293193,0.0,
면적변화제동등D,14.3321,15:41:17:547,normal,2.480158730136818,0.7467144563858001,7,2,0.3293193,0.0,
면적변화제동등D,14.35707,15:41:17:584,normal,2.480158730136818,0.7467144563858001,7,2,0.3293193,0.0,
면적변화제동등D,14.38379,15:41:17:585,normal,2.480158730136818,0.7467144563858001,7,2,0.3293193,0.0,
면적변화제동등D,14.40981,15:41:17:622,normal,2.480158730136818,0.7467144563858001,7,2,0.3293193,0.0,
면적변화제동등D,14.43846,15:41:17:623,normal,2.480158730136818,0.7467144563858001,7,2,0.3293193,0.0,
면적변화제동등D,14.46635,15:41:17:659,normal,2.5025025025668053,0.7467144563858001,8,2,0.3293193,0.0,
면적변화제동등D,14.49719,15:41:17:660,normal,2.5025025025668053,0.7467144563858001,8,2,0.3332875,0.0,
면적변화제동등D,14.5274,15:41:17:696,normal,2.5025025025668053,0.7467144563858001,8,2,0.3332875,0.0,
면적변화제동등D,14.55811,15:41:17:731,normal,2.5025025025668053,1.4245014245035506,8,3,0.341224,0.0,
면적변화제동등D,14.591,15:41:17:733,normal,2.5025025025668053,1.4245014245035506,8,3,0.3610653,0.0,
면적변화제동등D,14.62309,15:41:17:770,normal,3.5612535611924367,1.4245014245035506,9,3,0.3610653,0.0,
