브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,16:26:42:445,normal,0.1792114695337137,0.16446286428539175,0,0,0.5,0.5,
기본제동등A,13.99994,16:26:42:517,normal,0.1792114695337137,0.16446286428539175,0,0,0.5,0.5,
기본제동등A,13.99985,16:26:43:995,normal,1.1033932449404826,0.16446286428539175,1,0,0.5,0.5,
기본제동등A,13.99976,16:26:43:997,normal,2.0275750203472516,0.16446286428539175,0,0,0.4404457,0.0,
기본제동등A,13.99966,16:26:43:998,normal,2.0275750203472516,0.16446286428539175,0,0,0.4404457,0.0,
기본제동등A,13.99956,16:26:43:999,normal,2.0275750203472516,0.16446286428539175,0,0,0.4404457,0.0,
기본제동등A,13.99889,16:26:43:999,normal,2.0275750203472516,0.16446286428539175,0,0,0.4404457,0.0,
기본제동등A,13.99768,16:26:44:134,normal,2.380523264550391,1.5964240102256584,1,1,0.4444139,0.0,
기본제동등A,13.99599,16:26:44:135,normal,2.7334715087535306,1.5964240102256584,1,1,0.4563187,0.0,
기본제동등A,13.99372,16:26:44:136,normal,3.08641975295667,1.5964240102256584,0,1,0.4563187,0.0,
기본제동등A,13.99088,16:26:44:137,normal,3.08641975295667,1.5964240102256584,0,1,0.4563187,0.0,
기본제동등A,13.98759,16:26:44:138,normal,3.08641975295667,1.5964240102256584,0,1,0.4563187,0.0,
기본제동등A,13.9838,16:26:44:226,normal,4.372427983402067,1.5964240102256584,1,1,0.4563187,0.0,
기본제동등A,13.98746,16:26:44:227,normal,5.658436213847464,1.5964240102256584,1,1,0.4642704,0.0,
기본제동등A,13.98984,16:26:44:229,normal,6.944444444292862,1.5964240102256584,2,1,0.4642704,0.0,
기본제동등A,13.99219,16:26:44:229,normal,6.944444444292862,1.5964240102256584,2,1,0.4642704,0.0,
기본제동등A,13.99359,16:26:44:268,normal,6.944444444292862,1.5964240102256584,2,1,0.4642704,0.0,
기본제동등A,14.00018,16:26:44:269,normal,3.5161744023436183,1.5964240102256584,3,1,0.4682387,0.0,
기본제동등A,14.00584,16:26:44:308,normal,3.5161744023436183,1.7253278122837103,3,2,0.4682387,0.0,
기본제동등A,14.01591,16:26:44:309,normal,3.5161744023436183,1.7253278122837103,3,2,0.4682387,0.0,
기본제동등A,14.02568,16:26:44:348,normal,3.5612535611924367,1.7253278122837103,4,2,0.4682387,0.0,
기본제동등A,14.03727,16:26:44:349,normal,3.5612535611924367,1.7253278122837103,4,2,0.4682387,0.0,
기본제동등A,14.04798,16:26:44:389,normal,3.5612535611924367,1.7253278122837103,4,2,0.4682387,0.0,
기본제동등A,14.05912,16:26:44:389,normal,3.5612535611924367,1.7253278122837103,4,2,0.4682387,0.0,
기본제동등A,14.06996,16:26:44:426,normal,3.3467202142417287,1.7253278122837103,5,2,0.4682387,0.0,
기본제동등A,14.083,16:26:44:428,normal,3.3467202142417287,1.7253278122837103,5,2,0.4682387,0.0,
기본제동등A,14.09526,16:26:44:469,normal,3.3467202142417287,1.7580872010908486,5,3,0.4682387,0.0,
기본제동등A,14.10899,16:26:44:470,normal,3.3467202142417287,1.7580872010908486,5,3,0.4682387,0.0,
기본제동등A,14.12193,16:26:44:508,normal,3.3467202142417287,1.7580872010908486,5,3,0.4682387,0.0,
기본제동등A,14.13716,16:26:44:509,normal,2.3540489641743294,1.7580872010908486,6,3,0.4682387,0.0,
기본제동등A,14.15158,16:26:44:549,normal,2.3540489641743294,1.7580872010908486,6,3,0.4682387,0.0,
기본제동등A,14.16653,16:26:44:549,normal,2.3540489641743294,1.7580872010908486,6,3,0.472207,0.0,
기본제동등A,14.18138,16:26:44:588,normal,2.3540489641743294,1.7580872010908486,6,3,0.472207,0.0,
기본제동등A,14.19721,16:26:44:588,normal,2.3540489641743294,1.7580872010908486,6,3,0.4761752,0.0,
기본제동등A,14.21291,16:26:44:627,normal,3.5612535611924367,1.7806267805962184,7,4,0.4761752,0.0,
기본제동등A,14.23012,16:26:44:628,normal,3.5612535611924367,1.7806267805962184,7,4,0.4761752,0.0,
기본제동등A,14.24713,16:26:44:667,normal,3.5612535611924367,1.7806267805962184,7,4,0.4761752,0.0,
기본제동등A,14.26407,16:26:44:668,normal,3.5612535611924367,1.7806267805962184,7,4,0.4761752,0.0,
기본제동등A,14.28108,16:26:44:704,normal,3.5612535611924367,1.7806267805962184,7,4,0.4761752,0.0,
기본제동등A,14.30013,16:26:44:705,normal,2.3741690408687797,1.7806267805962184,8,4,0.4801435,0.0,
기본제동등A,14.31798,16:26:44:744,normal,2.3741690408687797,1.7806267805962184,8,4,0.4801435,0.0,
기본제동등A,14.33728,16:26:44:745,normal,2.3741690408687797,1.7806267805962184,8,4,0.4841117,0.0,
