브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,16:32:01:423,normal,0.17525411847188063,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99994,16:32:01:505,normal,0.17525411847188063,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99985,16:32:03:008,normal,1.0726546399854302,0.11300967362812145,1,0,0.5,0.5,
면적변화제동등D,13.99976,16:32:03:009,normal,1.9700551614989796,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99966,16:32:03:011,normal,1.9700551614989796,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99956,16:32:03:011,normal,1.9700551614989796,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99946,16:32:03:012,normal,1.9700551614989796,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99937,16:32:03:150,normal,2.456488534758853,0.11300967362812145,1,0,0.5,0.5,
면적변화제동등D,13.99931,16:32:03:151,normal,2.9429219080187266,0.11300967362812145,1,0,0.5,0.5,
면적변화제동등D,13.99923,16:32:03:152,normal,3.4293552812786,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99916,16:32:03:153,normal,3.4293552812786,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.9991,16:32:03:154,normal,3.4293552812786,0.11300967362812145,0,0,0.5,0.5,
면적변화제동등D,13.99904,16:32:03:233,normal,4.601051668950021,0.11300967362812145,1,0,0.5,0.5,
면적변화제동등D,14.00706,16:32:03:234,normal,5.772748056621442,0.11300967362812145,1,0,0.5,0.5,
면적변화제동등D,14.01442,16:32:03:235,normal,6.944444444292862,0.11300967362812145,2,0,0.5,0.5,
면적변화제동등D,14.02226,16:32:03:235,normal,6.944444444292862,0.11300967362812145,2,0,0.5,0.5,
면적변화제동등D,14.02977,16:32:03:273,normal,6.944444444292862,0.11300967362812145,2,0,0.5,0.5,
