브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:35:06:002,normal,0.1784057660742795,0.12269336474268014,0,0,0.5,0.5,
기본제동등A,13.99994,15:35:06:075,normal,0.1784057660742795,0.12269336474268014,0,0,0.5,0.5,
기본제동등A,13.99985,15:35:07:559,normal,0.9910787849423577,0.12269336474268014,1,0,0.5,0.5,
기본제동등A,13.99976,15:35:07:561,normal,1.8037518038104359,0.12269336474268014,0,0,0.08324176,0.0,
기본제동등A,13.99966,15:35:07:562,normal,1.8037518038104359,0.12269336474268014,0,0,0.08324176,0.0,
기본제동등A,13.99956,15:35:07:563,normal,1.8037518038104359,0.12269336474268014,0,0,0.08324176,0.0,
기본제동등A,13.99946,15:35:07:564,normal,1.8037518038104359,0.12269336474268014,0,0,0.08721001,0.0,
기본제동등A,13.99937,15:35:07:715,normal,2.101458412152727,0.12269336474268014,1,0,0.103083,0.0,
기본제동등A,13.9993,15:35:07:716,normal,2.399165020495018,0.12269336474268014,1,0,0.1467491,0.0,
기본제동등A,13.99922,15:35:07:719,normal,2.696871628837309,0.12269336474268014,0,0,0.1467491,0.0,
기본제동등A,13.99915,15:35:07:720,normal,2.696871628837309,0.12269336474268014,0,0,0.1467491,0.0,
기본제동등A,13.99909,15:35:07:721,normal,2.696871628837309,0.12269336474268014,0,0,0.1467491,0.0,
기본제동등A,13.99903,15:35:07:822,normal,2.9270923776414666,0.12269336474268014,1,0,0.1467491,0.0,
기본제동등A,14.00704,15:35:07:823,normal,3.1573131264456245,0.12269336474268014,1,0,0.1467491,0.0,
기본제동등A,14.01441,15:35:07:824,normal,3.387533875249782,0.12269336474268014,2,0,0.1467491,0.0,
기본제동등A,14.02225,15:35:07:825,normal,3.387533875249782,0.12269336474268014,2,0,0.1467491,0.0,
기본제동등A,14.02975,15:35:07:826,normal,3.387533875249782,0.12269336474268014,2,0,0.1467491,0.0,
기본제동등A,14.03759,15:35:07:864,normal,3.387533875249782,0.12269336474268014,2,0,0.1467491,0.0,
기본제동등A,14.05041,15:35:07:866,normal,3.387533875249782,0.12269336474268014,2,0,0.1467491,0.0,
기본제동등A,14.06352,15:35:07:906,normal,3.451854138634779,0.12269336474268014,3,0,0.1467491,0.0,
기본제동등A,14.08173,15:35:07:907,normal,3.451854138634779,0.12269336474268014,3,0,0.1467491,0.0,
기본제동등A,14.10015,15:35:07:948,normal,3.516174402019776,0.12269336474268014,4,0,0.1467491,0.0,
기본제동등A,14.12121,15:35:07:949,normal,3.516174402019776,0.12269336474268014,4,0,0.1467491,0.0,
기본제동등A,14.14229,15:35:07:987,normal,3.516174402019776,0.12269336474268014,4,0,0.1467491,0.0,
기본제동등A,14.1658,15:35:07:989,normal,3.516174402019776,0.12269336474268014,4,0,0.1507173,0.0,
기본제동등A,14.18903,15:35:08:027,normal,3.472222222146431,0.12269336474268014,5,0,0.1507173,0.0,
기본제동등A,14.21488,15:35:08:028,normal,3.472222222146431,0.12269336474268014,5,0,0.1626221,0.0,
기본제동등A,14.24125,15:35:08:067,normal,3.472222222146431,0.12269336474268014,5,0,0.1626221,0.0,
기본제동등A,14.26883,15:35:08:068,normal,3.472222222146431,0.12269336474268014,5,0,0.1824634,0.0,
기본제동등A,14.29678,15:35:08:107,normal,3.472222222462228,0.12269336474268014,6,0,0.1824634,0.0,
기본제동등A,14.32675,15:35:08:107,normal,3.472222222462228,0.12269336474268014,6,0,0.2062729,0.0,
기본제동등A,14.35667,15:35:08:146,normal,3.472222222462228,0.12269336474268014,6,0,0.2102564,0.0,
기본제동등A,14.38851,15:35:08:148,normal,3.472222222462228,0.12269336474268014,6,0,0.2459707,0.0,
기본제동등A,14.42125,15:35:08:186,normal,3.472222222462228,0.12269336474268014,6,0,0.2459707,0.0,
기본제동등A,14.45593,15:35:08:187,normal,2.3741690408687797,0.12269336474268014,7,0,0.293605,0.0,
기본제동등A,14.48993,15:35:08:226,normal,2.3741690408687797,0.12269336474268014,7,0,0.2975733,0.0,
기본제동등A,14.5259,15:35:08:227,normal,2.3741690408687797,0.12269336474268014,7,0,0.3690018,0.0,
기본제동등A,14.56141,15:35:08:266,normal,2.3741690408687797,1.4029180696082446,7,1,0.3729701,0.0,
기본제동등A,14.59949,15:35:08:267,normal,2.3741690408687797,1.4029180696082446,7,1,0.48808,0.0,
기본제동등A,14.63716,15:35:08:304,normal,2.3342670400306478,1.4029180696082446,8,1,0.4960165,0.0,
기본제동등A,14.6755,15:35:08:306,normal,2.3342670400306478,1.4029180696082446,8,1,0.6328449,0.0,
기본제동등A,14.71394,15:35:08:343,normal,2.3342670400306478,1.4029180696082446,8,1,0.6406593,0.0,
기본제동등A,14.75346,15:35:08:344,normal,2.3342670400306478,1.4029180696082446,8,1,0.7695971,0.0,
기본제동등A,14.79242,15:35:08:382,normal,2.3342670400306478,1.4029180696082446,8,1,0.7774115,0.0,
기본제동등A,14.83343,15:35:08:382,normal,2.3342670400306478,1.4029180696082446,8,1,0.8750916,0.0,
기본제동등A,14.8732,15:35:08:423,normal,3.561253561524636,1.4029180696082446,9,1,0.882906,0.0,
기본제동등A,14.91545,15:35:08:424,normal,3.561253561524636,1.4029180696082446,9,1,0.9376068,0.0,
기본제동등A,14.95725,15:35:08:464,normal,3.561253561524636,1.4029180696082446,9,1,0.9376068,0.0,
기본제동등A,14.99945,15:35:08:464,normal,3.561253561524636,1.7580872010908486,9,2,0.9493284,0.0,
기본제동등A,15.0414,15:35:08:501,normal,2.3148148147642873,1.7580872010908486,10,2,0.9493284,0.0,
기본제동등A,15.08461,15:35:08:503,normal,2.3148148147642873,1.7580872010908486,10,2,0.9493284,0.0,
기본제동등A,15.12777,15:35:08:541,normal,2.3148148147642873,1.7580872010908486,10,2,0.9493284,0.0,
기본제동등A,15.17165,15:35:08:578,normal,2.3148148147642873,1.7580872010908486,10,2,0.9493284,0.0,
기본제동등A,15.21668,15:35:08:579,normal,2.3148148147642873,1.7580872010908486,10,2,0.9532356,0.0,
기본제동등A,15.26112,15:35:08:621,normal,3.5161744023436183,1.7580872010908486,11,2,0.9571428,0.0,
기본제동등A,15.30753,15:35:08:622,normal,3.5161744023436183,2.3540489643194817,11,3,0.9688644,0.0,
기본제동등A,15.35233,15:35:08:660,normal,3.5161744023436183,2.3540489643194817,11,3,0.9688644,0.0,
기본제동등A,15.398,15:35:08:662,normal,3.5161744023436183,2.3540489643194817,11,3,0.9805861,0.0,
기본제동등A,15.44318,15:35:08:700,normal,2.3540489641743294,2.3540489643194817,12,3,0.9805861,0.0,
기본제동등A,15.48922,15:35:08:701,normal,2.3540489641743294,2.3540489643194817,12,3,0.9884005,0.0,
기본제동등A,15.53408,15:35:08:740,normal,2.3540489641743294,3.5612535611924367,12,4,0.9884005,0.0,
기본제동등A,15.57894,15:35:08:741,normal,2.3540489641743294,3.5612535611924367,12,4,0.9884005,0.0,
기본제동등A,15.62251,15:35:08:779,normal,2.3540489641743294,3.5612535611924367,12,4,0.9884005,0.0,
기본제동등A,15.66669,15:35:08:780,normal,2.3540489641743294,3.5612535611924367,12,4,0.9884005,0.0,
기본제동등A,15.70885,15:35:08:818,normal,3.4293552812786,3.5612535611924367,13,5,0.9884005,0.0,
기본제동등A,15.75257,15:35:08:818,normal,3.4293552812786,3.5612535611924367,13,5,0.9766788,0.0,
