브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:29:58:775,normal,0.1747030048920679,0.12473182657292702,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:29:58:848,normal,0.1747030048920679,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99985,15:30:00:365,normal,0.9892274043512519,0.12473182657292702,1,0,0.0,0.0,
밝기변화제동등B,13.99976,15:30:00:366,normal,1.8037518038104359,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99965,15:30:00:367,normal,1.8037518038104359,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99955,15:30:00:367,normal,1.8037518038104359,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99945,15:30:00:368,normal,1.8037518038104359,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99936,15:30:00:520,normal,2.157064012757738,0.12473182657292702,1,0,0.0,0.0,
밝기변화제동등B,13.9993,15:30:00:521,normal,2.51037622170504,0.12473182657292702,1,0,0.0,0.0,
밝기변화제동등B,13.99922,15:30:00:522,normal,2.8636884306523425,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99915,15:30:00:522,normal,2.8636884306523425,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99909,15:30:00:524,normal,2.8636884306523425,0.12473182657292702,0,0,0.0,0.0,
밝기변화제동등B,13.99903,15:30:00:619,normal,4.283294661008386,0.12473182657292702,1,0,0.0,0.0,
밝기변화제동등B,14.00704,15:30:00:620,normal,5.702900891364431,0.12473182657292702,1,0,0.0,0.0,
밝기변화제동등B,14.0144,15:30:00:621,normal,7.122507121720475,0.12473182657292702,2,0,0.0,0.0,
밝기변화제동등B,14.02225,15:30:00:622,normal,7.122507121720475,0.12473182657292702,2,0,0.0,0.0,
밝기변화제동등B,14.02975,15:30:00:659,normal,7.122507121720475,0.12473182657292702,2,0,0.0,0.0,
밝기변화제동등B,14.04313,15:30:00:660,normal,3.654970760539043,0.12473182657292702,3,0,0.0,0.0,
밝기변화제동등B,14.05621,15:30:00:697,normal,3.654970760539043,0.12473182657292702,3,0,0.0,0.0,
밝기변화제동등B,14.0747,15:30:00:698,normal,3.654970760539043,0.12473182657292702,3,0,0.0,0.0,
밝기변화제동등B,14.0935,15:30:00:736,normal,3.7037037034881197,0.12473182657292702,4,0,0.0,0.0,
밝기변화제동등B,14.11471,15:30:00:737,normal,3.7037037034881197,0.12473182657292702,4,0,0.0,0.0,
밝기변화제동등B,14.13519,15:30:00:773,normal,3.7037037034881197,0.12473182657292702,4,0,0.0,0.0,
밝기변화제동등B,14.15838,15:30:00:774,normal,3.7037037034881197,0.12473182657292702,4,0,0.01179792,0.0,
밝기변화제동등B,14.18199,15:30:00:811,normal,3.5612535611924367,0.12473182657292702,5,0,0.01179792,0.0,
밝기변화제동등B,14.2072,15:30:00:811,normal,3.5612535611924367,0.12473182657292702,5,0,0.05546398,0.0,
밝기변화제동등B,14.2322,15:30:00:850,normal,3.5612535611924367,0.12473182657292702,5,0,0.05546398,0.0,
밝기변화제동등B,14.2603,15:30:00:851,normal,3.5612535611924367,0.12473182657292702,5,0,0.1269078,0.0,
밝기변화제동등B,14.28786,15:30:00:888,normal,3.5612535611924367,0.12473182657292702,5,0,0.1269078,0.0,
밝기변화제동등B,14.3171,15:30:00:889,normal,2.4801587302979384,0.12473182657292702,6,0,0.2261294,0.0,
밝기변화제동등B,14.34609,15:30:00:926,normal,2.4801587302979384,0.12473182657292702,6,0,0.2340659,0.0,
밝기변화제동등B,14.37795,15:30:00:927,normal,2.4801587302979384,0.12473182657292702,6,0,0.2856532,0.0,
밝기변화제동등B,14.40891,15:30:00:963,normal,2.4801587302979384,0.12473182657292702,6,0,0.2896215,0.0,
밝기변화제동등B,14.44248,15:30:00:965,normal,2.4801587302979384,0.12473182657292702,6,0,0.2975733,0.0,
밝기변화제동등B,14.47587,15:30:01:001,normal,2.5484199795187386,0.12473182657292702,7,0,0.2975733,0.0,
밝기변화제동등B,14.51071,15:30:01:002,normal,2.5484199795187386,0.8291873963537366,7,1,0.2896215,0.0,
밝기변화제동등B,14.54552,15:30:01:039,normal,2.5484199795187386,0.8291873963537366,7,1,0.2896215,0.0,
밝기변화제동등B,14.58178,15:30:01:074,normal,2.5484199795187386,0.8291873963537366,7,1,0.2896215,0.0,
밝기변화제동등B,14.62004,15:30:01:074,normal,2.5484199795187386,0.8291873963537366,7,1,0.2896215,0.0,
밝기변화제동등B,14.65803,15:30:01:110,normal,3.6075036076208717,0.8291873963537366,8,1,0.2896215,0.0,
밝기변화제동등B,14.69763,15:30:01:111,normal,3.6075036076208717,0.8291873963537366,8,1,0.293605,0.0,
밝기변화제동등B,14.7369,15:30:01:148,normal,3.6075036076208717,0.8291873963537366,8,1,0.293605,0.0,
밝기변화제동등B,14.7773,15:30:01:148,normal,3.6075036076208717,0.8291873963537366,8,1,0.309478,0.0,
밝기변화제동등B,14.81821,15:30:01:186,normal,3.6075036076208717,0.8291873963537366,8,1,0.309478,0.0,
밝기변화제동등B,14.86071,15:30:01:187,normal,2.4582104227070936,0.8291873963537366,9,1,0.3293193,0.0,
밝기변화제동등B,14.90256,15:30:01:225,normal,2.4582104227070936,0.8291873963537366,9,1,0.3332875,0.0,
밝기변화제동등B,14.94637,15:30:01:226,normal,2.4582104227070936,0.8291873963537366,9,1,0.3769536,0.0,
밝기변화제동등B,14.98995,15:30:01:262,normal,2.4582104227070936,0.8291873963537366,9,1,0.3809219,0.0,
밝기변화제동등B,15.03478,15:30:01:262,normal,2.4582104227070936,0.8291873963537366,9,1,0.4444139,0.0,
밝기변화제동등B,15.07992,15:30:01:300,normal,2.4366471736149364,0.8291873963537366,10,1,0.4523504,0.0,
밝기변화제동등B,15.12534,15:30:01:336,normal,2.4366471736149364,0.8291873963537366,10,1,0.5234432,0.0,
밝기변화제동등B,15.17329,15:30:01:337,normal,2.4366471736149364,1.792114695353962,10,2,0.5820513,0.0,
밝기변화제동등B,15.22077,15:30:01:376,normal,2.4366471736149364,1.792114695353962,10,2,0.5859585,0.0,
밝기변화제동등B,15.26881,15:30:01:376,normal,2.4366471736149364,1.792114695353962,10,2,0.6172161,0.0,
밝기변화제동등B,15.31705,15:30:01:414,normal,3.5612535611924367,1.792114695353962,11,2,0.6172161,0.0,
밝기변화제동등B,15.36546,15:30:01:415,normal,3.5612535611924367,1.792114695353962,11,2,0.6211233,0.0,
밝기변화제동등B,15.41298,15:30:01:451,normal,3.5612535611924367,1.792114695353962,11,2,0.6211233,0.0,
밝기변화제동등B,15.46201,15:30:01:452,normal,3.5612535611924367,1.792114695353962,11,2,0.6211233,0.0,
밝기변화제동등B,15.51081,15:30:01:490,normal,3.5612535611924367,1.792114695353962,11,2,0.6211233,0.0,
밝기변화제동등B,15.55994,15:30:01:492,normal,2.502502502402768,2.502502502402768,12,3,0.6328449,0.0,
밝기변화제동등B,15.60775,15:30:01:529,normal,2.502502502402768,2.502502502402768,12,3,0.6367521,0.0,
밝기변화제동등B,15.65776,15:30:01:530,normal,2.502502502402768,2.502502502402768,12,3,0.6601954,0.0,
밝기변화제동등B,15.70638,15:30:01:567,normal,2.502502502402768,2.502502502402768,12,3,0.6641026,0.0,
밝기변화제동등B,15.75575,15:30:01:567,normal,2.502502502402768,2.502502502402768,12,3,0.691453,0.0,
밝기변화제동등B,15.804,15:30:01:603,normal,2.4366471736149364,3.654970760539043,13,4,0.691453,0.0,
밝기변화제동등B,15.85242,15:30:01:605,normal,2.4366471736149364,3.654970760539043,13,4,0.7266178,0.0,
밝기변화제동등B,15.89975,15:30:01:641,normal,2.4366471736149364,3.654970760539043,13,4,0.7266178,0.0,
밝기변화제동등B,15.94752,15:30:01:642,normal,2.4366471736149364,3.654970760539043,13,4,0.7617826,0.0,
밝기변화제동등B,15.99365,15:30:01:679,normal,2.4366471736149364,3.7037037034881197,13,5,0.7617826,0.0,
밝기변화제동등B,16.04075,15:30:01:717,normal,3.7037037034881197,3.7037037034881197,14,5,0.7891331,0.0,
밝기변화제동등B,16.08796,15:30:01:717,normal,3.7037037034881197,3.7037037034881197,14,5,0.8086691,0.0,
밝기변화제동등B,16.13336,15:30:01:754,normal,3.7037037034881197,3.754439370666775,14,6,0.8086691,0.0,
밝기변화제동등B,16.17872,15:30:01:755,normal,3.7037037034881197,3.754439370666775,14,6,0.8321123,0.0,
밝기변화제동등B,16.22212,15:30:01:792,normal,2.4582104228653754,3.754439370666775,15,6,0.8321123,0.0,
밝기변화제동등B,16.26525,15:30:01:793,normal,2.4582104228653754,3.805175037845431,15,7,0.8555555,0.0,
밝기변화제동등B,16.30703,15:30:01:828,normal,2.4582104228653754,3.805175037845431,15,7,0.8555555,0.0,
밝기변화제동등B,16.34747,15:30:01:830,normal,2.4582104228653754,3.805175037845431,15,7,0.8672771,0.0,
밝기변화제동등B,16.38597,15:30:01:866,normal,2.4582104228653754,7.122507123049272,15,8,0.8672771,0.0,
밝기변화제동등B,16.42447,15:30:01:868,normal,2.4582104228653754,7.122507123049272,15,8,0.8750916,0.0,
밝기변화제동등B,16.46092,15:30:01:905,normal,3.607503607279988,6.775067749898404,16,9,0.8750916,0.0,
밝기변화제동등B,16.49767,15:30:01:906,normal,3.607503607279988,6.775067749898404,16,9,0.882906,0.0,
밝기변화제동등B,16.53213,15:30:01:944,normal,3.607503607279988,6.775067749898404,16,9,0.882906,0.0,
밝기변화제동등B,16.56581,15:30:01:946,normal,3.607503607279988,7.716049382703574,16,10,0.8868132,0.0,
밝기변화제동등B,16.59678,15:30:01:981,normal,3.607503607279988,7.716049382703574,16,10,0.8868132,0.0,
밝기변화제동등B,16.62794,15:30:01:982,normal,2.4582104228653754,7.512995451540917,17,11,0.8868132,0.0,
밝기변화제동등B,16.65666,15:30:02:020,normal,2.4582104228653754,7.512995451540917,17,11,0.8868132,0.0,
밝기변화제동등B,16.68613,15:30:02:056,normal,2.4582104228653754,7.512995451540917,17,11,0.8750916,0.0,
밝기변화제동등B,16.71351,15:30:02:057,normal,2.4582104228653754,7.309941520378259,17,12,0.8672771,0.0,
밝기변화제동등B,16.73823,15:30:02:094,normal,2.4582104228653754,7.309941520378259,17,12,0.8672771,0.0,
밝기변화제동등B,16.76502,15:30:02:095,normal,2.4366471734594195,7.309941520378259,18,13,0.8516483,0.0,
밝기변화제동등B,16.78994,15:30:02:134,normal,2.4366471734594195,7.309941520378259,18,13,0.8516483,0.0,
밝기변화제동등B,16.81362,15:30:02:135,normal,2.4366471734594195,7.309941520378259,18,13,0.8321123,0.0,
밝기변화제동등B,16.83501,15:30:02:171,normal,2.4366471734594195,7.309941520378259,18,14,0.8321123,0.0,
밝기변화제동등B,16.85625,15:30:02:171,normal,2.4366471734594195,7.309941520378259,18,14,0.8203907,0.0,
밝기변화제동등B,16.87528,15:30:02:209,normal,3.561253561524636,6.944444444292862,19,15,0.8203907,0.0,
밝기변화제동등B,16.89608,15:30:02:209,normal,3.561253561524636,6.944444444292862,19,15,0.8125763,0.0,
밝기변화제동등B,16.91553,15:30:02:248,normal,3.561253561524636,6.944444444292862,19,15,0.8125763,0.0,
밝기변화제동등B,16.93406,15:30:02:249,normal,3.561253561524636,6.944444444292862,19,16,0.8086691,0.0,
밝기변화제동등B,16.95037,15:30:02:286,normal,3.561253561524636,6.944444444292862,19,16,0.8086691,0.0,
밝기변화제동등B,16.96718,15:30:02:287,normal,2.4366471734594195,6.944444444292862,20,16,0.8086691,0.0,
밝기변화제동등B,16.98241,15:30:02:323,normal,2.4366471734594195,6.944444444292862,20,17,0.8086691,0.0,
밝기변화제동등B,16.9977,15:30:02:325,normal,2.4366471734594195,6.944444444292862,20,17,0.8047619,0.0,
밝기변화제동등B,17.01127,15:30:02:362,normal,2.4366471734594195,6.944444444292862,20,17,0.8047619,0.0,
밝기변화제동등B,17.02393,15:30:02:363,normal,2.4366471734594195,3.7037037034881197,20,18,0.8008547,0.0,
밝기변화제동등B,17.0355,15:30:02:401,normal,2.480158730136818,3.7037037034881197,21,18,0.8008547,0.0,
밝기변화제동등B,17.04742,15:30:02:402,normal,2.480158730136818,3.7037037034881197,21,18,0.7969475,0.0,
밝기변화제동등B,17.05732,15:30:02:438,normal,2.480158730136818,3.7037037038474265,21,19,0.7969475,0.0,
밝기변화제동등B,17.06837,15:30:02:476,normal,2.480158730136818,3.7037037038474265,21,19,0.7930403,0.0,
밝기변화제동등B,17.07998,15:30:02:477,normal,2.480158730136818,3.7037037038474265,21,19,0.7891331,0.0,
밝기변화제동등B,17.08973,15:30:02:513,normal,3.6549707601891295,3.7037037034881197,22,20,0.7891331,0.0,
밝기변화제동등B,17.09993,15:30:02:513,normal,3.6549707601891295,3.7037037034881197,22,20,0.7852259,0.0,
밝기변화제동등B,17.10785,15:30:02:551,normal,3.6549707601891295,3.7037037034881197,22,20,0.7852259,0.0,
밝기변화제동등B,17.11691,15:30:02:552,normal,3.6549707601891295,3.7037037034881197,22,20,0.7813187,0.0,
밝기변화제동등B,17.12422,15:30:02:588,normal,3.6549707601891295,3.72872872860765,22,21,0.7813187,0.0,
밝기변화제동등B,17.13154,15:30:02:589,normal,2.5025025025668053,3.72872872860765,23,21,0.7735043,0.0,
밝기변화제동등B,17.13714,15:30:02:626,normal,2.5025025025668053,3.72872872860765,23,21,0.7695971,0.0,
밝기변화제동등B,17.14368,15:30:02:626,normal,2.5025025025668053,3.75375375372718,23,22,0.7617826,0.0,
밝기변화제동등B,17.14867,15:30:02:662,normal,2.5025025025668053,3.75375375372718,23,22,0.7617826,0.0,
밝기변화제동등B,17.15405,15:30:02:663,normal,2.5025025025668053,3.75375375372718,23,22,0.750061,0.0,
밝기변화제동등B,17.15721,15:30:02:700,normal,2.480158730136818,3.75375375372718,24,23,0.750061,0.0,
밝기변화제동등B,17.16189,15:30:02:736,normal,2.480158730136818,3.75375375372718,24,23,0.7344322,0.0,
밝기변화제동등B,17.16736,15:30:02:737,normal,2.480158730136818,3.75375375372718,24,23,0.7227106,0.0,
밝기변화제동등B,17.17132,15:30:02:774,normal,2.480158730136818,3.75375375372718,24,23,0.7227106,0.0,
밝기변화제동등B,17.17559,15:30:02:774,normal,2.480158730136818,2.480158730136818,24,24,0.7070818,0.0,
밝기변화제동등B,17.17865,15:30:02:812,normal,3.7037037034881197,2.480158730136818,25,24,0.7070818,0.0,
밝기변화제동등B,17.18251,15:30:02:812,normal,3.7037037034881197,2.480158730136818,25,24,0.6992674,0.0,
밝기변화제동등B,17.18493,15:30:02:849,normal,3.7037037034881197,2.480158730136818,25,24,0.6992674,0.0,
밝기변화제동등B,17.18863,15:30:02:850,normal,3.7037037034881197,2.480158730136818,25,24,0.6953602,0.0,
밝기변화제동등B,17.19109,15:30:02:886,normal,3.7037037034881197,3.6549707601891295,25,25,0.6953602,0.0,
밝기변화제동등B,17.19441,15:30:02:887,normal,2.480158730136818,3.6549707601891295,26,25,0.691453,0.0,
밝기변화제동등B,17.1959,15:30:02:923,normal,2.480158730136818,3.6549707601891295,26,25,0.691453,0.0,
밝기변화제동등B,17.19945,15:30:02:925,normal,2.480158730136818,3.6549707601891295,26,25,0.6875458,0.0,
밝기변화제동등B,17.20103,15:30:02:962,normal,2.480158730136818,2.525252525239163,26,26,0.6875458,0.0,
밝기변화제동등B,17.20446,15:30:02:963,normal,2.480158730136818,2.525252525239163,26,26,0.6836386,0.0,
밝기변화제동등B,17.20594,15:30:02:999,normal,2.5484199796888505,2.525252525239163,27,26,0.6836386,0.0,
밝기변화제동등B,17.20906,15:30:03:001,normal,2.5484199796888505,2.525252525239163,27,26,0.6836386,0.0,
