브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,15:35:01:358,normal,0.16753786355685218,0.1129177958446652,0,0,0.5,0.5,
기본제동등A,13.99994,15:35:01:444,normal,0.16753786355685218,0.1129177958446652,0,0,0.5,0.5,
기본제동등A,13.99985,15:35:03:016,normal,1.022207370210221,0.1129177958446652,1,0,0.5,0.5,
기본제동등A,13.99976,15:35:03:018,normal,1.87687687686359,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99966,15:35:03:019,normal,1.87687687686359,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99956,15:35:03:020,normal,1.87687687686359,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99946,15:35:03:020,normal,1.87687687686359,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99936,15:35:03:166,normal,2.215757424104707,0.1129177958446652,1,0,0.0,0.0,
기본제동등A,13.9993,15:35:03:168,normal,2.554637971345824,0.1129177958446652,1,0,0.0,0.0,
기본제동등A,13.99922,15:35:03:169,normal,2.893518518586941,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99915,15:35:03:170,normal,2.893518518586941,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99909,15:35:03:171,normal,2.893518518586941,0.1129177958446652,0,0,0.0,0.0,
기본제동등A,13.99903,15:35:03:265,normal,3.9418947932979895,0.1129177958446652,1,0,0.0,0.0,
기본제동등A,14.00704,15:35:03:266,normal,4.990271068009038,0.1129177958446652,1,0,0.0,0.0,
기본제동등A,14.0144,15:35:03:268,normal,6.038647342720086,0.1129177958446652,2,0,0.0,0.0,
기본제동등A,14.02225,15:35:03:270,normal,6.038647342720086,0.1129177958446652,2,0,0.0,0.0,
기본제동등A,14.02975,15:35:03:313,normal,6.038647342720086,0.1129177958446652,2,0,0.0,0.0,
기본제동등A,14.04313,15:35:03:314,normal,7.122507121720475,0.1129177958446652,3,0,0.0,0.0,
기본제동등A,14.05622,15:35:03:315,normal,7.122507121720475,0.1129177958446652,3,0,0.0,0.0,
기본제동등A,14.06897,15:35:03:352,normal,7.122507121720475,0.1129177958446652,3,0,0.0,0.0,
기본제동등A,14.08815,15:35:03:353,normal,2.2956841138813933,0.1129177958446652,4,0,0.0,0.0,
