브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,16:04:16:058,normal,0.17738044557898042,0.1385425325571734,0,0,0.5,0.5,
기본제동등A,13.99994,16:04:16:131,normal,0.17738044557898042,0.1385425325571734,0,0,0.5,0.5,
기본제동등A,13.99985,16:04:17:624,normal,0.9304410645358778,0.1385425325571734,1,0,0.5,0.5,
기본제동등A,13.99976,16:04:17:626,normal,1.6835016834927752,0.1385425325571734,0,0,0.09911478,0.0,
기본제동등A,13.99966,16:04:17:626,normal,1.6835016834927752,0.1385425325571734,0,0,0.09911478,0.0,
기본제동등A,13.99956,16:04:17:628,normal,1.6835016834927752,0.1385425325571734,0,0,0.09911478,0.0,
기본제동등A,13.99946,16:04:17:630,normal,1.6835016834927752,0.1385425325571734,0,0,0.09514652,0.0,
기본제동등A,13.99937,16:04:17:791,normal,2.039092798141105,0.1385425325571734,1,0,0.08324176,0.0,
기본제동등A,13.9993,16:04:17:793,normal,2.394683912789435,0.1385425325571734,1,0,0.07530525,0.0,
기본제동등A,13.99923,16:04:17:795,normal,2.7502750274377648,0.1385425325571734,0,0,0.07530525,0.0,
기본제동등A,13.99915,16:04:17:796,normal,2.7502750274377648,0.1385425325571734,0,0,0.07530525,0.0,
기본제동등A,13.99909,16:04:17:798,normal,2.7502750274377648,0.1385425325571734,0,0,0.07530525,0.0,
기본제동등A,13.99903,16:04:17:896,normal,2.9490900897057526,0.1385425325571734,1,0,0.07530525,0.0,
기본제동등A,14.00704,16:04:17:898,normal,3.147905151973741,0.1385425325571734,1,0,0.1149878,0.0,
기본제동등A,14.01441,16:04:17:900,normal,3.3467202142417287,0.1385425325571734,2,0,0.1149878,0.0,
기본제동등A,14.02225,16:04:17:901,normal,3.3467202142417287,0.1385425325571734,2,0,0.1149878,0.0,
기본제동등A,14.02976,16:04:17:903,normal,3.3467202142417287,0.1385425325571734,2,0,0.118956,0.0,
기본제동등A,14.0376,16:04:17:944,normal,3.3467202142417287,0.1385425325571734,2,0,0.1229243,0.0,
기본제동등A,14.05041,16:04:17:946,normal,3.3467202142417287,0.1385425325571734,2,0,0.1705586,0.0,
기본제동등A,14.06352,16:04:17:983,normal,3.4314473082926735,0.1385425325571734,3,0,0.1745269,0.0,
기본제동등A,14.08173,16:04:17:985,normal,3.4314473082926735,0.1385425325571734,3,0,0.2777167,0.0,
기본제동등A,14.10015,16:04:18:023,normal,3.5161744023436183,0.1385425325571734,4,0,0.2777167,0.0,
기본제동등A,14.12106,16:04:18:025,normal,3.5161744023436183,0.1385425325571734,4,0,0.4563187,0.0,
기본제동등A,14.14215,16:04:18:062,normal,3.5161744023436183,0.1385425325571734,4,0,0.4563187,0.0,
기본제동등A,14.16459,16:04:18:063,normal,3.5161744023436183,1.1770244821234528,4,1,0.6211233,0.0,
기본제동등A,14.18681,16:04:18:102,normal,3.5612535611924367,1.1770244821234528,5,1,0.6211233,0.0,
기본제동등A,14.21022,16:04:18:103,normal,3.5612535611924367,1.1770244821234528,5,1,0.7695971,0.0,
기본제동등A,14.2337,16:04:18:140,normal,3.5612535611924367,1.1770244821234528,5,1,0.7774115,0.0,
기본제동등A,14.25815,16:04:18:141,normal,3.5612535611924367,1.1770244821234528,5,1,0.8477411,0.0,
기본제동등A,14.2824,16:04:18:180,normal,3.387533875249782,1.1770244821234528,6,1,0.8477411,0.0,
기본제동등A,14.30793,16:04:18:181,normal,3.387533875249782,1.1770244821234528,6,1,0.8750916,0.0,
기본제동등A,14.33333,16:04:18:220,normal,3.387533875249782,1.1770244821234528,6,1,0.8789988,0.0,
기본제동등A,14.36017,16:04:18:221,normal,3.387533875249782,1.1770244821234528,6,1,0.8946276,0.0,
기본제동등A,14.38603,16:04:18:261,normal,3.387533875249782,1.1770244821234528,6,1,0.8985348,0.0,
기본제동등A,14.41434,16:04:18:262,normal,2.4582104228653754,1.1770244821234528,7,1,0.9297924,0.0,
기본제동등A,14.44232,16:04:18:299,normal,2.4582104228653754,1.815541031245955,7,2,0.9336996,0.0,
기본제동등A,14.47038,16:04:18:300,normal,2.4582104228653754,1.815541031245955,7,2,0.9844933,0.0,
기본제동등A,14.49788,16:04:18:338,normal,2.4582104228653754,1.815541031245955,7,2,0.9844933,0.0,
기본제동등A,14.52705,16:04:18:338,normal,2.4582104228653754,1.815541031245955,7,2,1.000122,0.0,
기본제동등A,14.55544,16:04:18:375,normal,2.4154589372408584,1.815541031245955,8,2,1.000122,0.0,
기본제동등A,14.58621,16:04:18:412,normal,2.4154589372408584,1.815541031245955,8,2,1.000122,0.0,
기본제동등A,14.61734,16:04:18:413,normal,2.4154589372408584,1.815541031245955,8,2,1.000122,0.0,
기본제동등A,14.6475,16:04:18:452,normal,2.4154589372408584,3.607503607279988,8,3,1.000122,0.0,
기본제동등A,14.67815,16:04:18:452,normal,2.4154589372408584,3.607503607279988,8,3,1.000122,0.0,
기본제동등A,14.70872,16:04:18:490,normal,2.4154589370880344,3.607503607279988,9,3,1.000122,0.0,
기본제동등A,14.73924,16:04:18:490,normal,2.4154589370880344,3.607503607279988,9,3,1.000122,0.0,
기본제동등A,14.76793,16:04:18:528,normal,2.4154589370880344,3.607503607279988,9,3,1.000122,0.0,
기본제동등A,14.79921,16:04:18:529,normal,2.4154589370880344,3.6075036076208717,9,4,1.000122,0.0,
기본제동등A,14.83018,16:04:18:566,normal,2.4154589370880344,3.6075036076208717,9,4,1.000122,0.0,
기본제동등A,14.85895,16:04:18:568,normal,2.4154589370880344,3.6075036076208717,9,4,1.000122,0.0,
기본제동등A,14.88675,16:04:18:605,normal,3.561253561524636,3.6075036076208717,10,4,1.000122,0.0,
기본제동등A,14.91561,16:04:18:606,normal,3.561253561524636,3.6075036076208717,10,5,1.000122,0.0,
기본제동등A,14.94268,16:04:18:644,normal,3.561253561524636,3.6075036076208717,10,5,1.000122,0.0,
기본제동등A,14.96909,16:04:18:645,normal,3.561253561524636,3.6075036076208717,10,5,1.000122,0.0,
기본제동등A,14.99415,16:04:18:683,normal,3.607503607279988,7.309941520378259,11,6,1.000122,0.0,
기본제동등A,15.01931,16:04:18:684,normal,3.607503607279988,7.309941520378259,11,6,1.000122,0.0,
기본제동등A,15.04171,16:04:18:720,normal,3.607503607279988,7.309941520378259,11,6,1.000122,0.0,
기본제동등A,15.06372,16:04:18:721,normal,3.607503607279988,7.122507121720475,11,7,1.000122,0.0,
기본제동등A,15.0831,16:04:18:759,normal,3.607503607279988,7.122507121720475,11,7,1.000122,0.0,
기본제동등A,15.10168,16:04:18:760,normal,2.5025025025668053,7.716049382703574,12,8,1.000122,0.0,
기본제동등A,15.11776,16:04:18:795,normal,2.5025025025668053,7.716049382703574,12,8,1.000122,0.0,
기본제동등A,15.13353,16:04:18:796,normal,2.5025025025668053,7.512995451540917,12,9,1.000122,0.0,
기본제동등A,15.14657,16:04:18:833,normal,2.5025025025668053,7.512995451540917,12,9,1.000122,0.0,
기본제동등A,15.15771,16:04:18:870,normal,2.5025025025668053,7.309941520378259,12,10,1.000122,0.0,
기본제동등A,15.16973,16:04:18:871,normal,2.480158730136818,7.309941520378259,13,10,1.000122,0.0,
기본제동등A,15.17787,16:04:18:908,normal,2.480158730136818,7.716049382703574,13,11,1.000122,0.0,
기본제동등A,15.18596,16:04:18:909,normal,2.480158730136818,7.716049382703574,13,11,1.000122,0.0,
기본제동등A,15.1921,16:04:18:944,normal,2.480158730136818,7.122507123049272,13,12,1.000122,0.0,
기본제동등A,15.19649,16:04:18:945,normal,2.480158730136818,7.122507123049272,13,12,1.000122,0.0,
기본제동등A,15.19807,16:04:18:983,normal,3.5612535611924367,7.309941520378259,14,13,1.000122,0.0,
기본제동등A,15.19878,16:04:18:984,normal,3.5612535611924367,7.309941520378259,14,13,1.000122,0.0,
기본제동등A,15.19703,16:04:19:021,normal,3.5612535611924367,7.122507123049272,14,14,1.000122,0.0,
기본제동등A,15.19454,16:04:19:022,normal,3.5612535611924367,7.122507123049272,14,14,1.000122,0.0,
기본제동등A,15.18945,16:04:19:060,normal,3.5612535611924367,7.507507506716194,14,15,1.000122,0.0,
기본제동등A,15.18359,16:04:19:061,normal,2.5025025025668053,7.507507506716194,15,15,1.000122,0.0,
기본제동등A,15.17572,16:04:19:097,normal,2.5025025025668053,7.309941520378259,15,16,1.000122,0.0,
기본제동등A,15.1665,16:04:19:098,normal,2.5025025025668053,7.309941520378259,15,16,1.000122,0.0,
기본제동등A,15.15531,16:04:19:135,normal,2.5025025025668053,7.507507508192526,15,17,1.000122,0.0,
기본제동등A,15.14345,16:04:19:171,normal,2.5025025025668053,7.507507508192526,15,17,1.000122,0.0,
기본제동등A,15.13107,16:04:19:172,normal,2.394636015288421,7.309941520378259,16,18,1.000122,0.0,
기본제동등A,15.11592,16:04:19:209,normal,2.394636015288421,7.309941520378259,16,18,1.000122,0.0,
기본제동등A,15.10035,16:04:19:210,normal,2.394636015288421,6.613756613554963,16,19,1.000122,0.0,
기본제동등A,15.08187,16:04:19:251,normal,2.394636015288421,6.613756613554963,16,19,1.000122,0.0,
기본제동등A,15.06327,16:04:19:252,normal,2.394636015288421,7.309941520378259,16,20,1.000122,0.0,
기본제동등A,15.04057,16:04:19:288,normal,3.5612535611924367,7.309941520378259,17,20,1.000122,0.0,
기본제동등A,15.01823,16:04:19:290,normal,3.5612535611924367,7.309941520378259,17,21,1.000122,0.0,
기본제동등A,14.9941,16:04:19:327,normal,3.5612535611924367,7.309941520378259,17,21,1.000122,0.0,
기본제동등A,14.96785,16:04:19:328,normal,3.5612535611924367,7.309941520378259,17,21,1.000122,0.0,
기본제동등A,14.93938,16:04:19:365,normal,3.5612535611924367,7.309941520378259,17,22,1.000122,0.0,
기본제동등A,14.91035,16:04:19:366,normal,2.480158730136818,7.309941520378259,18,22,1.000122,0.0,
기본제동등A,14.87873,16:04:19:403,normal,2.480158730136818,7.309941520378259,18,23,1.000122,0.0,
기본제동등A,14.84722,16:04:19:404,normal,2.480158730136818,7.309941520378259,18,23,1.000122,0.0,
기본제동등A,14.8125,16:04:19:441,normal,2.480158730136818,7.507507506716194,18,24,1.000122,0.0,
기본제동등A,14.77772,16:04:19:441,normal,2.480158730136818,7.507507506716194,18,24,1.000122,0.0,
기본제동등A,14.74088,16:04:19:478,normal,2.4582104228653754,7.309941520378259,19,25,1.000122,0.0,
기본제동등A,14.70198,16:04:19:478,normal,2.4582104228653754,7.309941520378259,19,25,0.9923077,0.0,
기본제동등A,14.66057,16:04:19:516,normal,2.4582104228653754,7.122507123049272,19,26,0.9923077,0.0,
기본제동등A,14.61932,16:04:19:517,normal,2.4582104228653754,7.122507123049272,19,26,0.9688644,0.0,
기본제동등A,14.57563,16:04:19:555,normal,2.4582104228653754,7.507507508192526,19,27,0.9649572,0.0,
기본제동등A,14.53115,16:04:19:591,normal,3.5612535611924367,7.507507508192526,20,27,0.921978,0.0,
기본제동등A,14.48636,16:04:19:592,normal,3.5612535611924367,7.408724514285392,20,28,0.8555555,0.0,
기본제동등A,14.43933,16:04:19:630,normal,3.5612535611924367,7.408724514285392,20,28,0.8516483,0.0,
기본제동등A,14.39196,16:04:19:630,normal,3.5612535611924367,7.408724514285392,20,28,0.7656898,0.0,
기본제동등A,14.34217,16:04:19:668,normal,3.5612535611924367,7.309941520378259,20,29,0.7617826,0.0,
기본제동등A,14.29383,16:04:19:669,normal,2.4582104228653754,7.309941520378259,21,29,0.6601954,0.0,
기본제동등A,14.2442,16:04:19:706,normal,2.4582104228653754,7.309941520378259,21,29,0.6562881,0.0,
기본제동등A,14.19567,16:04:19:706,normal,2.4582104228653754,-0.5231219920459079,21,30,0.5547009,0.0,
기본제동등A,14.14608,16:04:19:744,normal,2.4582104228653754,-0.5231219920459079,21,30,0.5507936,0.0,
기본제동등A,14.09852,16:04:19:744,normal,2.4582104228653754,-0.5231219920459079,21,30,0.4603022,0.0,
기본제동등A,14.04986,16:04:19:782,normal,3.6075036076208717,-0.5231219920459079,22,30,0.4603022,0.0,
기본제동등A,14.00312,16:04:19:783,normal,3.6075036076208717,-0.5231219920459079,22,30,0.3809219,0.0,
기본제동등A,13.95603,16:04:19:820,normal,3.6075036076208717,-0.5231219920459079,22,30,0.3769536,0.0,
기본제동등A,13.91024,16:04:19:821,normal,3.6075036076208717,-0.5231219920459079,22,30,0.3055098,0.0,
기본제동등A,13.86461,16:04:19:858,normal,3.6075036076208717,-0.5231219920459079,22,30,0.3015415,0.0,
기본제동등A,13.82127,16:04:19:859,normal,2.4366471734594195,-0.5231219920459079,23,30,0.2340659,0.0,
기본제동등A,13.778,16:04:19:897,normal,2.4366471734594195,-0.5231219920459079,23,30,0.2300977,0.0,
기본제동등A,13.73737,16:04:19:898,normal,2.4366471734594195,-0.5231219920459079,23,30,0.1467491,0.0,
기본제동등A,13.69689,16:04:19:934,normal,2.4366471734594195,-0.5231219920459079,23,30,0.1427808,0.0,
기본제동등A,13.6585,16:04:19:971,normal,2.4366471734594195,-0.5231219920459079,23,30,0.071337,0.0,
기본제동등A,13.6229,16:04:19:973,normal,3.6549707601891295,-0.5231219920459079,24,30,0.0,0.0,
기본제동등A,13.58736,16:04:20:011,normal,3.6549707601891295,-0.5231219920459079,24,30,0.0,0.0,
기본제동등A,13.55559,16:04:20:011,normal,3.6549707601891295,-0.5231219920459079,24,30,0.0,0.0,
기본제동등A,13.52343,16:04:20:048,normal,3.6549707601891295,-0.5231219920459079,24,30,0.0,0.0,
기본제동등A,13.49446,16:04:20:049,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.46504,16:04:20:087,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.43866,16:04:20:088,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.41186,16:04:20:123,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.38838,16:04:20:124,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.36445,16:04:20:160,normal,2.480158730136818,-0.5231219920459079,25,30,0.0,0.0,
기본제동등A,13.34358,16:04:20:161,normal,2.4582104228653754,-0.5231219920459079,26,30,0.0,0.0,
기본제동등A,13.32236,16:04:20:198,normal,2.4582104228653754,-0.5231219920459079,26,30,0.0,0.0,
