브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,16:43:36:881,normal,0.17592006192409526,0.1754755387100458,0,0,0.5,0.5,
기본제동등A,13.99994,16:43:36:958,normal,0.17592006192409526,0.1754755387100458,0,0,0.3848901,0.0,
기본제동등A,13.99985,16:43:38:460,normal,0.9726026353541387,0.1754755387100458,1,0,0.3888584,0.0,
기본제동등A,13.99976,16:43:38:461,normal,1.7692852087841822,0.1754755387100458,0,0,0.4404457,0.0,
기본제동등A,13.99911,16:43:38:463,normal,1.7692852087841822,0.1754755387100458,0,0,0.4404457,0.0,
기본제동등A,13.99792,16:43:38:464,normal,1.7692852087841822,0.9712509712507736,0,1,0.4404457,0.0,
기본제동등A,13.99625,16:43:38:465,normal,1.7692852087841822,0.9712509712507736,0,1,0.4404457,0.0,
기본제동등A,13.99398,16:43:38:618,normal,1.9262379289377982,0.9712509712507736,1,1,0.4404457,0.0,
기본제동등A,13.99117,16:43:38:619,normal,2.0831906490914145,0.9712509712507736,1,1,0.4404457,0.0,
기본제동등A,13.98787,16:43:38:620,normal,2.2401433692450303,0.9712509712507736,0,1,0.4404457,0.0,
기본제동등A,13.98403,16:43:38:621,normal,2.2401433692450303,0.9712509712507736,0,1,0.4404457,0.0,
기본제동등A,13.97967,16:43:38:621,normal,2.2401433692450303,0.9712509712507736,0,1,0.4404457,0.0,
기본제동등A,13.97469,16:43:38:744,normal,2.5957216817558475,0.9712509712507736,1,1,0.4404457,0.0,
기본제동등A,13.9772,16:43:38:745,normal,2.9512999942666642,0.9712509712507736,1,1,0.4404457,0.0,
기본제동등A,13.97836,16:43:38:748,normal,3.3068783067774814,0.9712509712507736,2,1,0.4404457,0.0,
기본제동등A,13.97954,16:43:38:748,normal,3.3068783067774814,0.9712509712507736,2,1,0.4404457,0.0,
기본제동등A,13.97966,16:43:38:750,normal,3.3068783067774814,1.4100394811046377,2,2,0.4404457,0.0,
기본제동등A,13.97957,16:43:38:792,normal,3.3068783067774814,1.4100394811046377,2,2,0.4404457,0.0,
기본제동등A,13.98373,16:43:38:793,normal,3.3068783067774814,1.4100394811046377,2,2,0.4404457,0.0,
기본제동등A,13.98764,16:43:38:832,normal,7.309941520378259,1.4100394811046377,3,2,0.4404457,0.0,
기본제동등A,13.99596,16:43:38:833,normal,7.309941520378259,1.4100394811046377,3,2,0.4364774,0.0,
기본제동등A,14.00399,16:43:38:870,normal,7.122507123049272,1.4100394811046377,4,2,0.4364774,0.0,
기본제동등A,14.01396,16:43:38:872,normal,7.122507123049272,1.4100394811046377,4,2,0.4364774,0.0,
기본제동등A,14.02321,16:43:38:909,normal,7.122507123049272,1.4100394811046377,4,2,0.4364774,0.0,
기본제동등A,14.03533,16:43:38:909,normal,2.394636015288421,1.4100394811046377,5,2,0.4444139,0.0,
기본제동등A,14.04696,16:43:38:947,normal,2.394636015288421,1.815541031245955,5,3,0.4444139,0.0,
기본제동등A,14.05949,16:43:38:948,normal,2.394636015288421,1.815541031245955,5,3,0.4444139,0.0,
기본제동등A,14.0709,16:43:38:986,normal,2.394636015288421,1.815541031245955,5,3,0.4444139,0.0,
기본제동등A,14.0845,16:43:38:986,normal,2.394636015288421,1.815541031245955,5,3,0.4523504,0.0,
기본제동등A,14.09677,16:43:39:025,normal,2.4582104228653754,1.815541031245955,6,3,0.4523504,0.0,
기본제동등A,14.11175,16:43:39:025,normal,2.4582104228653754,1.815541031245955,6,3,0.4523504,0.0,
기본제동등A,14.12612,16:43:39:062,normal,2.4582104228653754,1.815541031245955,6,3,0.4523504,0.0,
