브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,16:56:45:417,normal,0.17415534656901258,0.15658273831913838,0,0,0.5,0.5,
면적변화제동등D,13.99994,16:56:45:493,normal,0.17415534656901258,0.15658273831913838,0,0,0.5,0.5,
면적변화제동등D,13.99985,16:56:47:012,normal,0.8717606613748721,0.15658273831913838,1,0,0.5,0.5,
면적변화제동등D,13.99976,16:56:47:014,normal,1.5693659761807317,0.15658273831913838,0,0,0.691453,0.0,
면적변화제동등D,13.99966,16:56:47:015,normal,1.5693659761807317,0.15658273831913838,0,0,0.691453,0.0,
면적변화제동등D,13.99956,16:56:47:016,normal,1.5693659761807317,0.15658273831913838,0,0,0.691453,0.0,
면적변화제동등D,13.99887,16:56:47:016,normal,1.5693659761807317,0.15658273831913838,0,0,0.691453,0.0,
면적변화제동등D,13.99768,16:56:47:191,normal,1.963002326665785,1.6149870801159296,1,1,0.6992674,0.0,
면적변화제동등D,13.99595,16:56:47:192,normal,2.3566386771508387,1.6149870801159296,1,1,0.7148962,0.0,
면적변화제동등D,13.99371,16:56:47:192,normal,2.750275027635892,1.6149870801159296,0,1,0.7148962,0.0,
면적변화제동등D,13.99088,16:56:47:194,normal,2.750275027635892,1.6149870801159296,0,1,0.7148962,0.0,
면적변화제동등D,13.9876,16:56:47:195,normal,2.750275027635892,1.6149870801159296,0,1,0.7148962,0.0,
면적변화제동등D,13.98372,16:56:47:293,normal,3.195172458525061,1.6149870801159296,1,1,0.7148962,0.0,
면적변화제동등D,13.98738,16:56:47:295,normal,3.64006988941423,1.6149870801159296,1,1,0.7148962,0.0,
면적변화제동등D,13.98981,16:56:47:296,normal,4.084967320303399,1.6149870801159296,2,1,0.7148962,0.0,
면적변화제동등D,13.99212,16:56:47:297,normal,4.084967320303399,1.6149870801159296,2,1,0.7148962,0.0,
면적변화제동등D,13.99349,16:56:47:299,normal,4.084967320303399,1.6149870801159296,2,1,0.7148962,0.0,
면적변화제동등D,13.99463,16:56:47:362,normal,4.084967320303399,1.6149870801159296,2,1,0.7148962,0.0,
면적변화제동등D,14.00001,16:56:47:363,normal,4.084967320303399,2.170138888816848,2,2,0.6992674,0.0,
면적변화제동등D,14.00506,16:56:47:364,normal,4.409171075703308,2.170138888816848,3,2,0.6992674,0.0,
면적변화제동등D,14.00911,16:56:47:425,normal,4.409171075703308,2.170138888816848,3,2,0.6992674,0.0,
면적변화제동등D,14.01814,16:56:47:426,normal,4.409171075703308,2.170138888816848,3,2,0.691453,0.0,
