브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,14:02:16:550,normal,0.17681589928608304,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99994,14:02:16:624,normal,0.17681589928608304,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99985,14:02:18:121,normal,0.8775493637868046,0.11300967362812145,1,0,0.5,0.5,
기본제동등A,13.99976,14:02:18:123,normal,1.578282828287526,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99966,14:02:18:124,normal,1.578282828287526,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99956,14:02:18:125,normal,1.578282828287526,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99946,14:02:18:126,normal,1.578282828287526,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99937,14:02:18:299,normal,2.2095959596790933,0.11300967362812145,1,0,0.5,0.5,
기본제동등A,13.99931,14:02:18:301,normal,2.8409090910706607,0.11300967362812145,1,0,0.5,0.5,
기본제동등A,13.99923,14:02:18:302,normal,3.472222222462228,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99916,14:02:18:303,normal,3.472222222462228,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.9991,14:02:18:304,normal,3.472222222462228,0.11300967362812145,0,0,0.5,0.5,
기본제동등A,13.99904,14:02:18:382,normal,3.784538507045662,0.11300967362812145,1,0,0.5,0.5,
기본제동등A,14.00706,14:02:18:383,normal,4.096854791629095,0.11300967362812145,1,0,0.5,0.5,
기본제동등A,14.01442,14:02:18:385,normal,4.409171076212529,0.11300967362812145,2,0,0.5,0.5,
기본제동등A,14.02226,14:02:18:387,normal,4.409171076212529,0.11300967362812145,2,0,0.5,0.5,
기본제동등A,14.02977,14:02:18:445,normal,4.409171076212529,0.11300967362812145,2,0,0.5,0.5,
기본제동등A,14.04314,14:02:18:448,normal,3.121098626718646,0.11300967362812145,3,0,0.01179792,0.0,
기본제동등A,14.05623,14:02:18:449,normal,3.121098626718646,0.11300967362812145,3,0,0.01179792,0.0,
기본제동등A,14.06898,14:02:18:499,normal,3.121098626718646,0.11300967362812145,3,0,0.01179792,0.0,
기본제동등A,14.08711,14:02:18:500,normal,3.121098626718646,0.11300967362812145,3,0,0.01179792,0.0,
기본제동등A,14.10531,14:02:18:537,normal,6.775067749898404,0.11300967362812145,4,0,0.01179792,0.0,
기본제동등A,14.12648,14:02:18:539,normal,6.775067749898404,0.11300967362812145,4,0,0.01179792,0.0,
기본제동등A,14.1477,14:02:18:577,normal,6.775067749898404,0.11300967362812145,4,0,0.01179792,0.0,
기본제동등A,14.17193,14:02:18:578,normal,2.3540489641743294,0.11300967362812145,5,0,0.01179792,0.0,
기본제동등A,14.19594,14:02:18:617,normal,2.3540489641743294,0.11300967362812145,5,0,0.01179792,0.0,
기본제동등A,14.22271,14:02:18:618,normal,2.3540489641743294,0.11300967362812145,5,0,0.01179792,0.0,
기본제동등A,14.24972,14:02:18:658,normal,2.3540489641743294,0.11300967362812145,5,0,0.01179792,0.0,
기본제동등A,14.27811,14:02:18:659,normal,2.3540489641743294,0.11300967362812145,5,0,0.01179792,0.0,
기본제동등A,14.30635,14:02:18:696,normal,3.6075036076208717,0.11300967362812145,6,0,0.01179792,0.0,
기본제동등A,14.33753,14:02:18:697,normal,3.6075036076208717,0.11300967362812145,6,0,0.01179792,0.0,
기본제동등A,14.36886,14:02:18:734,normal,3.6075036076208717,0.11300967362812145,6,0,0.01179792,0.0,
기본제동등A,14.40146,14:02:18:735,normal,3.6075036076208717,0.11300967362812145,6,0,0.01179792,0.0,
기본제동등A,14.43478,14:02:18:772,normal,3.6075036076208717,0.11300967362812145,6,0,0.01179792,0.0,
기본제동등A,14.46977,14:02:18:773,normal,2.394636015288421,0.11300967362812145,7,0,0.01179792,0.0,
기본제동등A,14.50507,14:02:18:811,normal,2.394636015288421,0.11300967362812145,7,0,0.01179792,0.0,
기본제동등A,14.54191,14:02:18:812,normal,2.394636015288421,0.11300967362812145,7,0,0.02767094,0.0,
기본제동등A,14.57899,14:02:18:849,normal,2.394636015288421,0.11300967362812145,7,0,0.02767094,0.0,
기본제동등A,14.61866,14:02:18:851,normal,2.394636015288421,0.11300967362812145,7,0,0.05546398,0.0,
기본제동등A,14.65748,14:02:18:889,normal,3.5161744023436183,0.11300967362812145,8,0,0.05943223,0.0,
기본제동등A,14.69955,14:02:18:890,normal,3.5161744023436183,0.11300967362812145,8,0,0.1586538,0.0,
기본제동등A,14.74152,14:02:18:929,normal,3.5161744023436183,0.11300967362812145,8,0,0.1626221,0.0,
기본제동등A,14.78606,14:02:18:930,normal,3.5161744023436183,0.11300967362812145,8,0,0.3055098,0.0,
기본제동등A,14.83025,14:02:18:967,normal,3.5161744023436183,0.11300967362812145,8,0,0.309478,0.0,
기본제동등A,14.87598,14:02:18:968,normal,2.3741690408687797,0.11300967362812145,9,0,0.4166361,0.0,
기본제동등A,14.92205,14:02:19:007,normal,2.3741690408687797,0.11300967362812145,9,0,0.4166361,0.0,
기본제동등A,14.9682,14:02:19:008,normal,2.3741690408687797,1.4029180696082446,9,1,0.4761752,0.0,
기본제동등A,15.01358,14:02:19:046,normal,2.3741690408687797,1.4029180696082446,9,1,0.4801435,0.0,
기본제동등A,15.06216,14:02:19:047,normal,2.3741690408687797,1.4029180696082446,9,1,0.4960165,0.0,
기본제동등A,15.11039,14:02:19:085,normal,2.3148148147642873,1.4029180696082446,10,1,0.4960165,0.0,
기본제동등A,15.15905,14:02:19:086,normal,2.3148148147642873,1.4029180696082446,10,1,0.4960165,0.0,
기본제동등A,15.2075,14:02:19:124,normal,2.3148148147642873,1.4029180696082446,10,1,0.4960165,0.0,
기본제동등A,15.25784,14:02:19:125,normal,2.3148148147642873,1.4029180696082446,10,1,0.4920482,0.0,
기본제동등A,15.30819,14:02:19:164,normal,2.3148148147642873,1.4029180696082446,10,1,0.4920482,0.0,
기본제동등A,15.35906,14:02:19:166,normal,2.3148148147642873,1.4029180696082446,10,1,0.4841117,0.0,
기본제동등A,15.40933,14:02:19:205,normal,3.5612535611924367,1.4029180696082446,11,1,0.4841117,0.0,
기본제동등A,15.46102,14:02:19:206,normal,3.5612535611924367,1.4619883040756518,11,2,0.472207,0.0,
기본제동등A,15.51257,14:02:19:243,normal,3.5612535611924367,1.4619883040756518,11,2,0.472207,0.0,
기본제동등A,15.5649,14:02:19:244,normal,3.5612535611924367,1.4619883040756518,11,2,0.4682387,0.0,
기본제동등A,15.61699,14:02:19:283,normal,2.4582104228653754,1.4619883040756518,12,2,0.4682387,0.0,
기본제동등A,15.66999,14:02:19:284,normal,2.4582104228653754,1.4619883040756518,12,2,0.4642704,0.0,
기본제동등A,15.72338,14:02:19:321,normal,2.4582104228653754,1.4619883040756518,12,2,0.4642704,0.0,
기본제동등A,15.77747,14:02:19:322,normal,2.4582104228653754,1.4619883040756518,12,2,0.4642704,0.0,
기본제동등A,15.83104,14:02:19:359,normal,2.4582104228653754,1.4619883040756518,12,2,0.4642704,0.0,
기본제동등A,15.88677,14:02:19:396,normal,3.4293552812786,1.7806267805962184,13,3,0.4642704,0.0,
기본제동등A,15.94347,14:02:19:399,normal,3.4293552812786,1.7806267805962184,13,3,0.4642704,0.0,
기본제동등A,15.9997,14:02:19:436,normal,3.4293552812786,1.7806267805962184,13,3,0.4642704,0.0,
기본제동등A,16.05679,14:02:19:436,normal,3.4293552812786,1.7806267805962184,13,3,0.472207,0.0,
기본제동등A,16.11333,14:02:19:476,normal,3.4293552812786,1.7806267805962184,13,3,0.472207,0.0,
기본제동등A,16.17183,14:02:19:477,normal,2.4154589372408584,1.7806267805962184,14,3,0.48808,0.0,
기본제동등A,16.22937,14:02:19:514,normal,2.4154589372408584,1.7806267805962184,14,3,0.48808,0.0,
기본제동등A,16.28886,14:02:19:514,normal,2.4154589372408584,1.7806267805962184,14,3,0.4920482,0.0,
기본제동등A,16.34774,14:02:19:552,normal,2.4154589372408584,1.747030048920679,14,4,0.4960165,0.0,
기본제동등A,16.4078,14:02:19:553,normal,2.4154589372408584,1.747030048920679,14,4,0.4999847,0.0,
기본제동등A,16.46616,14:02:19:592,normal,3.387533875249782,1.747030048920679,15,4,0.4999847,0.0,
기본제동등A,16.52748,14:02:19:593,normal,3.387533875249782,1.747030048920679,15,4,0.5,0.0,
기본제동등A,16.58794,14:02:19:633,normal,3.387533875249782,1.747030048920679,15,4,0.5,0.0,
기본제동등A,16.64924,14:02:19:634,normal,3.387533875249782,1.747030048920679,15,4,0.519536,0.0,
기본제동등A,16.70975,14:02:19:674,normal,3.387533875249782,1.747030048920679,15,4,0.519536,0.0,
기본제동등A,16.77175,14:02:19:674,normal,2.394636015288421,1.747030048920679,16,4,0.5351648,0.0,
기본제동등A,16.83253,14:02:19:711,normal,2.394636015288421,2.3741690408687797,16,5,0.5351648,0.0,
기본제동등A,16.8948,14:02:19:712,normal,2.394636015288421,2.3741690408687797,16,5,0.5507936,0.0,
기본제동등A,16.95681,14:02:19:751,normal,2.394636015288421,2.3741690408687797,16,5,0.5507936,0.0,
기본제동등A,17.01931,14:02:19:752,normal,2.394636015288421,2.3741690408687797,16,5,0.5664225,0.0,
기본제동등A,17.08125,14:02:19:790,normal,3.5612535611924367,2.3741690408687797,17,5,0.5664225,0.0,
기본제동등A,17.14453,14:02:19:791,normal,3.5612535611924367,2.3741690408687797,17,5,0.5820513,0.0,
기본제동등A,17.20622,14:02:19:828,normal,3.5612535611924367,2.3540489641743294,17,6,0.5820513,0.0,
기본제동등A,17.27033,14:02:19:828,normal,3.5612535611924367,2.3540489641743294,17,6,0.6015873,0.0,
기본제동등A,17.3333,14:02:19:868,normal,3.5612535611924367,2.3540489641743294,17,6,0.6015873,0.0,
기본제동등A,17.39723,14:02:19:868,normal,2.3946360154386213,2.3540489641743294,18,6,0.6133089,0.0,
기본제동등A,17.45955,14:02:19:906,normal,2.3946360154386213,2.3540489641743294,18,6,0.6133089,0.0,
기본제동등A,17.52303,14:02:19:907,normal,2.3946360154386213,2.3540489641743294,18,6,0.6328449,0.0,
기본제동등A,17.58615,14:02:19:946,normal,2.3946360154386213,3.654970760539043,18,7,0.6328449,0.0,
기본제동등A,17.64996,14:02:19:947,normal,2.3946360154386213,3.654970760539043,18,7,0.6523809,0.0,
기본제동등A,17.71197,14:02:19:984,normal,2.4366471734594195,3.654970760539043,19,7,0.6523809,0.0,
기본제동등A,17.77496,14:02:19:984,normal,2.4366471734594195,3.654970760539043,19,7,0.6562881,0.0,
기본제동등A,17.83783,14:02:20:021,normal,2.4366471734594195,3.654970760539043,19,7,0.6562881,0.0,
기본제동등A,17.90054,14:02:20:022,normal,2.4366471734594195,2.4582104227070936,19,8,0.6562881,0.0,
기본제동등A,17.96136,14:02:20:059,normal,2.4366471734594195,2.4582104227070936,19,8,0.6562881,0.0,
기본제동등A,18.02408,14:02:20:060,normal,2.4366471734594195,2.4582104227070936,19,8,0.6562881,0.0,
기본제동등A,18.08545,14:02:20:098,normal,3.6549707601891295,2.4582104227070936,20,8,0.6562881,0.0,
기본제동등A,18.14839,14:02:20:135,normal,3.6549707601891295,3.472222222462228,20,9,0.6562881,0.0,
기본제동등A,18.21195,14:02:20:136,normal,3.6549707601891295,3.472222222462228,20,9,0.6601954,0.0,
기본제동등A,18.27421,14:02:20:174,normal,2.3342670401733705,3.472222222462228,21,9,0.6601954,0.0,
기본제동등A,18.33683,14:02:20:175,normal,2.3342670401733705,3.472222222462228,21,9,0.6680098,0.0,
기본제동등A,18.39837,14:02:20:214,normal,2.3342670401733705,3.472222222462228,21,9,0.6680098,0.0,
기본제동등A,18.46069,14:02:20:215,normal,2.3342670401733705,3.516174402019776,21,10,0.6758242,0.0,
기본제동등A,18.52208,14:02:20:252,normal,2.3342670401733705,3.516174402019776,21,10,0.6758242,0.0,
기본제동등A,18.58406,14:02:20:253,normal,2.3342670401733705,3.516174402019776,21,10,0.6758242,0.0,
기본제동등A,18.64493,14:02:20:293,normal,2.6455026454219848,3.516174402019776,22,10,0.6758242,0.0,
기본제동등A,18.70665,14:02:20:294,normal,2.6455026454219848,2.670940170956615,22,11,0.6680098,0.0,
기본제동등A,18.7674,14:02:20:356,normal,2.6455026454219848,2.670940170956615,22,11,0.6680098,0.0,
기본제동등A,18.82882,14:02:20:357,normal,2.6455026454219848,2.670940170956615,22,11,0.6367521,0.0,
기본제동등A,18.88943,14:02:20:358,normal,2.6455026454219848,2.670940170956615,22,11,0.6367521,0.0,
기본제동등A,18.94866,14:02:20:397,normal,2.6455026454219848,2.670940170956615,22,11,0.6367521,0.0,
기본제동등A,19.00944,14:02:20:398,normal,3.4293552812786,2.3741690408687797,23,12,0.6133089,0.0,
기본제동등A,19.06863,14:02:20:438,normal,3.4293552812786,2.3741690408687797,23,12,0.6133089,0.0,
기본제동등A,19.13061,14:02:20:438,normal,3.4293552812786,2.3741690408687797,23,12,0.6094017,0.0,
기본제동등A,19.19134,14:02:20:478,normal,3.4293552812786,2.3741690408687797,23,12,0.6094017,0.0,
기본제동등A,19.25348,14:02:20:479,normal,3.75375375372718,2.3741690408687797,24,12,0.6054945,0.0,
기본제동등A,19.31435,14:02:20:515,normal,3.75375375372718,2.4154589372408584,24,13,0.6054945,0.0,
기본제동등A,19.37697,14:02:20:516,normal,3.75375375372718,2.4154589372408584,24,13,0.6054945,0.0,
기본제동등A,19.43817,14:02:20:553,normal,3.75375375372718,2.4154589372408584,24,13,0.6054945,0.0,
기본제동등A,19.50156,14:02:20:553,normal,2.3741690408687797,2.4154589372408584,25,13,0.6054945,0.0,
기본제동등A,19.56345,14:02:20:591,normal,2.3741690408687797,2.4154589372408584,25,13,0.6054945,0.0,
