브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:53:55:515,normal,0.16896458502295525,0.10953382404486255,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:53:55:589,normal,0.16896458502295525,0.10953382404486255,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:53:57:159,normal,0.9863581944166955,0.10953382404486255,1,0,0.5,0.5,
면적변화제동등D,13.99976,14:53:57:160,normal,1.8037518038104359,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99966,14:53:57:163,normal,1.8037518038104359,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99956,14:53:57:163,normal,1.8037518038104359,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99946,14:53:57:164,normal,1.8037518038104359,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99937,14:53:57:314,normal,2.3895857229377695,0.10953382404486255,1,0,0.0,0.0,
면적변화제동등D,13.9993,14:53:57:315,normal,2.975419642065103,0.10953382404486255,1,0,0.0,0.0,
면적변화제동등D,13.99922,14:53:57:316,normal,3.5612535611924367,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99915,14:53:57:317,normal,3.5612535611924367,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99909,14:53:57:318,normal,3.5612535611924367,0.10953382404486255,0,0,0.0,0.0,
면적변화제동등D,13.99903,14:53:57:394,normal,4.431782209599084,0.10953382404486255,1,0,0.0,0.0,
면적변화제동등D,14.00704,14:53:57:395,normal,5.302310858005731,0.10953382404486255,1,0,0.0,0.0,
면적변화제동등D,14.01441,14:53:57:396,normal,6.1728395064123776,0.10953382404486255,2,0,0.0,0.0,
면적변화제동등D,14.02225,14:53:57:438,normal,6.1728395064123776,0.10953382404486255,2,0,0.0,0.0,
면적변화제동등D,14.03473,14:53:57:439,normal,6.1728395064123776,0.10953382404486255,2,0,0.0,0.0,
면적변화제동등D,14.04723,14:53:57:441,normal,3.6075036076208717,0.10953382404486255,3,0,0.0,0.0,
면적변화제동등D,14.06013,14:53:57:480,normal,3.6075036076208717,0.10953382404486255,3,0,0.0,0.0,
면적변화제동등D,14.07746,14:53:57:480,normal,3.6075036076208717,0.10953382404486255,3,0,0.0,0.0,
면적변화제동등D,14.09522,14:53:57:518,normal,3.607503607279988,0.10953382404486255,4,0,0.0,0.0,
면적변화제동등D,14.11543,14:53:57:519,normal,3.607503607279988,0.10953382404486255,4,0,0.0,0.0,
면적변화제동등D,14.13501,14:53:57:556,normal,3.607503607279988,0.10953382404486255,4,0,0.0,0.0,
면적변화제동등D,14.15794,14:53:57:557,normal,3.607503607279988,0.10953382404486255,4,0,0.0,0.0,
면적변화제동등D,14.18026,14:53:57:595,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.20541,14:53:57:596,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.22989,14:53:57:636,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.25726,14:53:57:637,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.28496,14:53:57:681,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.31256,14:53:57:682,normal,2.2045855379789594,0.10953382404486255,5,0,0.0,0.0,
면적변화제동등D,14.34103,14:53:57:721,normal,3.5612535611924367,0.10953382404486255,6,0,0.0,0.0,
면적변화제동등D,14.37202,14:53:57:722,normal,3.5612535611924367,0.10953382404486255,6,0,0.0,0.0,
면적변화제동등D,14.40339,14:53:57:758,normal,3.5612535611924367,0.10953382404486255,6,0,0.0,0.0,
면적변화제동등D,14.437,14:53:57:759,normal,3.5612535611924367,0.10953382404486255,6,0,0.01179792,0.0,
면적변화제동등D,14.47006,14:53:57:799,normal,2.170138888816848,0.10953382404486255,7,0,0.01179792,0.0,
면적변화제동등D,14.50643,14:53:57:800,normal,2.170138888816848,0.10953382404486255,7,0,0.05149573,0.0,
면적변화제동등D,14.5424,14:53:57:843,normal,2.170138888816848,0.10953382404486255,7,0,0.05149573,0.0,
면적변화제동등D,14.58001,14:53:57:846,normal,2.170138888816848,0.10953382404486255,7,0,0.118956,0.0,
면적변화제동등D,14.61806,14:53:57:885,normal,2.170138888816848,0.10953382404486255,7,0,0.1269078,0.0,
면적변화제동등D,14.65799,14:53:57:886,normal,2.170138888816848,0.10953382404486255,7,0,0.1824634,0.0,
면적변화제동등D,14.69842,14:53:57:927,normal,3.387533875550362,0.10953382404486255,8,0,0.1824634,0.0,
면적변화제동등D,14.74031,14:53:57:928,normal,3.387533875550362,0.10953382404486255,8,0,0.2340659,0.0,
면적변화제동등D,14.78196,14:53:57:969,normal,3.387533875550362,0.10953382404486255,8,0,0.2380342,0.0,
면적변화제동등D,14.82763,14:53:57:971,normal,3.387533875550362,0.10953382404486255,8,0,0.2697802,0.0,
면적변화제동등D,14.87348,14:53:58:009,normal,3.3068783067774814,0.10953382404486255,9,0,0.2737485,0.0,
면적변화제동등D,14.9197,14:53:58:010,normal,3.3068783067774814,0.10953382404486255,9,0,0.3055098,0.0,
면적변화제동등D,14.96564,14:53:58:050,normal,3.3068783067774814,0.10953382404486255,9,0,0.309478,0.0,
면적변화제동등D,15.01458,14:53:58:051,normal,3.3068783067774814,1.133786848060441,9,1,0.3451923,0.0,
면적변화제동등D,15.06273,14:53:58:092,normal,3.3068783067774814,1.133786848060441,9,1,0.3491606,0.0,
면적변화제동등D,15.11342,14:53:58:093,normal,2.3741690408687797,1.133786848060441,10,1,0.3888584,0.0,
면적변화제동등D,15.16319,14:53:58:132,normal,2.3741690408687797,1.133786848060441,10,1,0.3888584,0.0,
면적변화제동등D,15.21507,14:53:58:133,normal,2.3741690408687797,1.133786848060441,10,1,0.4007631,0.0,
면적변화제동등D,15.26621,14:53:58:169,normal,2.3741690408687797,1.133786848060441,10,1,0.4007631,0.0,
면적변화제동등D,15.31924,14:53:58:171,normal,2.3741690408687797,1.133786848060441,10,1,0.4126679,0.0,
면적변화제동등D,15.37163,14:53:58:210,normal,3.2299741600952245,1.133786848060441,11,1,0.4126679,0.0,
면적변화제동등D,15.42503,14:53:58:210,normal,3.2299741600952245,1.133786848060441,11,1,0.4325092,0.0,
면적변화제동등D,15.47846,14:53:58:250,normal,3.2299741600952245,1.133786848060441,11,1,0.4325092,0.0,
면적변화제동등D,15.53284,14:53:58:252,normal,3.2299741600952245,1.133786848060441,11,1,0.4642704,0.0,
면적변화제동등D,15.58609,14:53:58:295,normal,3.2299741600952245,1.133786848060441,11,1,0.4642704,0.0,
면적변화제동등D,15.64236,14:53:58:296,normal,2.2768670310446932,2.2768670310446932,12,2,0.5,0.0,
면적변화제동등D,15.6978,14:53:58:299,normal,2.2768670310446932,2.2768670310446932,12,2,0.5,0.0,
면적변화제동등D,15.75269,14:53:58:337,normal,2.2768670310446932,2.2768670310446932,12,2,0.5039072,0.0,
면적변화제동등D,15.80858,14:53:58:338,normal,2.2768670310446932,2.2768670310446932,12,2,0.5312576,0.0,
면적변화제동등D,15.86318,14:53:58:377,normal,2.2768670310446932,2.2768670310446932,12,2,0.5312576,0.0,
면적변화제동등D,15.91988,14:53:58:378,normal,2.2768670310446932,2.2768670310446932,12,2,0.5468864,0.0,
면적변화제동등D,15.97583,14:53:58:418,normal,3.3068783067774814,2.2768670310446932,13,2,0.5468864,0.0,
면적변화제동등D,16.03307,14:53:58:418,normal,3.3068783067774814,2.2401433691135852,13,3,0.5586081,0.0,
면적변화제동등D,16.08966,14:53:58:460,normal,3.3068783067774814,2.2401433691135852,13,3,0.5586081,0.0,
면적변화제동등D,16.14655,14:53:58:460,normal,3.3068783067774814,2.2401433691135852,13,3,0.5703297,0.0,
면적변화제동등D,16.20327,14:53:58:502,normal,2.3148148147642873,2.2401433691135852,14,3,0.5703297,0.0,
면적변화제동등D,16.2613,14:53:58:503,normal,2.3148148147642873,2.2401433691135852,14,3,0.5742369,0.0,
면적변화제동등D,16.31827,14:53:58:540,normal,2.3148148147642873,2.2401433691135852,14,3,0.5742369,0.0,
면적변화제동등D,16.37614,14:53:58:542,normal,2.3148148147642873,2.2583559168999834,14,4,0.5781441,0.0,
면적변화제동등D,16.43386,14:53:58:582,normal,2.3148148147642873,2.2583559168999834,14,4,0.5781441,0.0,
