브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,16:27:16:727,normal,0.16958350291693872,0.15587978550948134,0,0,0.5,0.5,
밝기변화제동등B,13.99994,16:27:16:805,normal,0.16958350291693872,0.15587978550948134,0,0,0.5,0.5,
밝기변화제동등B,13.99985,16:27:18:365,normal,1.0839923909263758,0.15587978550948134,1,0,0.5,0.5,
밝기변화제동등B,13.99976,16:27:18:367,normal,1.998401278935813,0.15587978550948134,0,0,0.2737485,0.0,
밝기변화제동등B,13.99966,16:27:18:369,normal,1.998401278935813,0.15587978550948134,0,0,0.2737485,0.0,
밝기변화제동등B,13.99956,16:27:18:370,normal,1.998401278935813,0.15587978550948134,0,0,0.2856532,0.0,
밝기변화제동등B,13.99912,16:27:18:372,normal,1.998401278935813,0.15587978550948134,0,0,0.293605,0.0,
밝기변화제동등B,13.99848,16:27:18:506,normal,2.267546232328336,0.15587978550948134,1,0,0.3491606,0.0,
밝기변화제동등B,13.99756,16:27:18:508,normal,2.5366911857208594,0.15587978550948134,1,0,0.5,0.0,
밝기변화제동등B,13.99629,16:27:18:509,normal,2.8058361391133824,1.5096618357397185,0,1,0.5,0.0,
밝기변화제동등B,13.99448,16:27:18:510,normal,2.8058361391133824,1.5096618357397185,0,1,0.5,0.0,
밝기변화제동등B,13.99204,16:27:18:512,normal,2.8058361391133824,1.5096618357397185,0,1,0.5,0.0,
밝기변화제동등B,13.98916,16:27:18:608,normal,3.013675853168455,1.5096618357397185,1,1,0.5039072,0.0,
밝기변화제동등B,13.99373,16:27:18:611,normal,3.2215155672235274,1.5096618357397185,1,1,0.5820513,0.0,
밝기변화제동등B,13.9972,16:27:18:612,normal,3.4293552812786,1.5096618357397185,2,1,0.5820513,0.0,
밝기변화제동등B,14.00049,16:27:18:614,normal,3.4293552812786,1.5096618357397185,2,1,0.5820513,0.0,
밝기변화제동등B,14.00289,16:27:18:616,normal,3.4293552812786,1.5096618357397185,2,1,0.5859585,0.0,
밝기변화제동등B,14.00511,16:27:18:689,normal,3.4293552812786,1.5096618357397185,2,1,0.5937729,0.0,
밝기변화제동등B,14.0116,16:27:18:690,normal,3.4293552812786,1.5096618357397185,2,1,0.6758242,0.0,
밝기변화제동등B,14.01774,16:27:18:693,normal,4.208754208824734,1.3354700854783075,3,2,0.6758242,0.0,
밝기변화제동등B,14.02305,16:27:18:694,normal,4.208754208824734,1.3354700854783075,3,2,0.6758242,0.0,
밝기변화제동등B,14.02764,16:27:18:757,normal,4.208754208824734,1.3354700854783075,3,2,0.6797314,0.0,
밝기변화제동등B,14.03744,16:27:18:759,normal,4.208754208824734,1.3354700854783075,4,2,0.7422466,0.0,
밝기변화제동등B,14.04626,16:27:18:760,normal,4.208754208824734,1.3354700854783075,4,2,0.7422466,0.0,
밝기변화제동등B,14.05441,16:27:18:824,normal,4.208754208824734,1.3354700854783075,4,2,0.7422466,0.0,
밝기변화제동등B,14.06642,16:27:18:825,normal,4.208754208824734,1.3354700854783075,4,2,0.7539682,0.0,
밝기변화제동등B,14.07697,16:27:18:827,normal,4.208754208824734,1.3354700854783075,4,2,0.7539682,0.0,
밝기변화제동등B,14.08694,16:27:18:901,normal,4.208754208824734,4.14593698158859,5,3,0.7539682,0.0,
밝기변화제동등B,14.09883,16:27:18:902,normal,4.208754208824734,4.14593698158859,5,3,0.7617826,0.0,
밝기변화제동등B,14.1102,16:27:18:903,normal,4.208754208824734,4.14593698158859,5,3,0.7617826,0.0,
밝기변화제동등B,14.12024,16:27:18:904,normal,4.208754208824734,4.14593698158859,5,3,0.7617826,0.0,
밝기변화제동등B,14.1293,16:27:18:967,normal,4.084967319866309,4.14593698158859,6,3,0.7617826,0.0,
밝기변화제동등B,14.14104,16:27:18:968,normal,4.084967319866309,4.084967320303399,6,4,0.7695971,0.0,
밝기변화제동등B,14.1511,16:27:18:970,normal,4.084967319866309,4.084967320303399,6,4,0.7695971,0.0,
밝기변화제동등B,14.15902,16:27:19:033,normal,4.084967319866309,4.084967320303399,6,4,0.7695971,0.0,
