브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
기본제동등A,14.00001,14:26:19:062,normal,0.16633399866877724,0.1047032709302459,0,0,0.5,0.5,
기본제동등A,13.99994,14:26:19:151,normal,0.16633399866877724,0.1047032709302459,0,0,0.5,0.5,
기본제동등A,13.99985,14:26:20:732,normal,1.0090929252513319,0.1047032709302459,1,0,0.5,0.5,
기본제동등A,13.99976,14:26:20:733,normal,1.8518518518338867,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99966,14:26:20:734,normal,1.8518518518338867,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99956,14:26:20:735,normal,1.8518518518338867,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99946,14:26:20:736,normal,1.8518518518338867,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99936,14:26:20:883,normal,2.1335251108350275,0.1047032709302459,1,0,0.0,0.0,
기본제동등A,13.9993,14:26:20:885,normal,2.415198369836168,0.1047032709302459,1,0,0.0,0.0,
기본제동등A,13.99922,14:26:20:886,normal,2.696871628837309,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99915,14:26:20:888,normal,2.696871628837309,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99909,14:26:20:889,normal,2.696871628837309,0.1047032709302459,0,0,0.0,0.0,
기본제동등A,13.99903,14:26:20:989,normal,3.179893413087736,0.1047032709302459,1,0,0.0,0.0,
기본제동등A,14.00704,14:26:20:991,normal,3.6629151973381626,0.1047032709302459,1,0,0.0,0.0,
기본제동등A,14.01441,14:26:20:992,normal,4.14593698158859,0.1047032709302459,2,0,0.0,0.0,
기본제동등A,14.02225,14:26:20:993,normal,4.14593698158859,0.1047032709302459,2,0,0.0,0.0,
기본제동등A,14.02975,14:26:20:994,normal,4.14593698158859,0.1047032709302459,2,0,0.0,0.0,
기본제동등A,14.03759,14:26:21:056,normal,4.14593698158859,0.1047032709302459,2,0,0.0,0.0,
기본제동등A,14.05041,14:26:21:058,normal,4.14593698158859,0.1047032709302459,2,0,0.0,0.0,
기본제동등A,14.06352,14:26:21:059,normal,4.7892720308772425,0.1047032709302459,3,0,0.0,0.0,
기본제동등A,14.07648,14:26:21:114,normal,4.7892720308772425,0.1047032709302459,3,0,0.0,0.0,
기본제동등A,14.09505,14:26:21:116,normal,4.7892720308772425,0.1047032709302459,3,0,0.0,0.0,
기본제동등A,14.11383,14:26:21:117,normal,3.121098626718646,0.1047032709302459,4,0,0.0,0.0,
기본제동등A,14.13192,14:26:21:162,normal,3.121098626718646,0.1047032709302459,4,0,0.0,0.0,
기본제동등A,14.15485,14:26:21:163,normal,3.121098626718646,0.1047032709302459,4,0,0.0,0.0,
기본제동등A,14.17799,14:26:21:206,normal,5.910165484801919,0.1047032709302459,5,0,0.0,0.0,
기본제동등A,14.20372,14:26:21:207,normal,5.910165484801919,0.1047032709302459,5,0,0.0,0.0,
기본제동등A,14.22852,14:26:21:251,normal,5.910165484801919,0.1047032709302459,5,0,0.0,0.0,
기본제동등A,14.25754,14:26:21:252,normal,5.910165484801919,0.1047032709302459,5,0,0.0,0.0,
기본제동등A,14.28671,14:26:21:253,normal,2.072968490794295,0.1047032709302459,6,0,0.0,0.0,
