브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,14:47:37:127,normal,0.1680446326545928,0.10779114387972355,0,0,0.5,0.5,
밝기변화제동등B,13.99994,14:47:37:201,normal,0.1680446326545928,0.10779114387972355,0,0,0.5,0.5,
밝기변화제동등B,13.99985,14:47:38:780,normal,0.9800796640042774,0.10779114387972355,1,0,0.5,0.5,
밝기변화제동등B,13.99976,14:47:38:782,normal,1.792114695353962,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99966,14:47:38:783,normal,1.792114695353962,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99956,14:47:38:784,normal,1.792114695353962,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99946,14:47:38:785,normal,1.792114695353962,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99936,14:47:38:937,normal,2.1206690561753745,0.10779114387972355,1,0,0.0,0.0,
밝기변화제동등B,13.9993,14:47:38:938,normal,2.4492234169967873,0.10779114387972355,1,0,0.0,0.0,
밝기변화제동등B,13.99922,14:47:38:939,normal,2.7777777778182,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99915,14:47:38:940,normal,2.7777777778182,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99909,14:47:38:941,normal,2.7777777778182,0.10779114387972355,0,0,0.0,0.0,
밝기변화제동등B,13.99903,14:47:39:039,normal,2.954144620804627,0.10779114387972355,1,0,0.0,0.0,
밝기변화제동등B,14.00704,14:47:39:040,normal,3.1305114637910543,0.10779114387972355,1,0,0.0,0.0,
밝기변화제동등B,14.01441,14:47:39:041,normal,3.3068783067774814,0.10779114387972355,2,0,0.0,0.0,
밝기변화제동등B,14.02225,14:47:39:042,normal,3.3068783067774814,0.10779114387972355,2,0,0.0,0.0,
밝기변화제동등B,14.02975,14:47:39:042,normal,3.3068783067774814,0.10779114387972355,2,0,0.0,0.0,
밝기변화제동등B,14.0376,14:47:39:081,normal,3.3068783067774814,0.10779114387972355,2,0,0.0,0.0,
밝기변화제동등B,14.05041,14:47:39:083,normal,3.3068783067774814,0.10779114387972355,2,0,0.0,0.0,
밝기변화제동등B,14.06352,14:47:39:125,normal,3.3267992603629146,0.10779114387972355,3,0,0.0,0.0,
밝기변화제동등B,14.08173,14:47:39:126,normal,3.3267992603629146,0.10779114387972355,3,0,0.0,0.0,
밝기변화제동등B,14.10015,14:47:39:166,normal,3.3467202139483483,0.10779114387972355,4,0,0.0,0.0,
밝기변화제동등B,14.12096,14:47:39:167,normal,3.3467202139483483,0.10779114387972355,4,0,0.0,0.0,
밝기변화제동등B,14.14265,14:47:39:207,normal,3.3467202139483483,0.10779114387972355,4,0,0.0,0.0,
밝기변화제동등B,14.16594,14:47:39:208,normal,3.3467202139483483,0.10779114387972355,4,0,0.0,0.0,
밝기변화제동등B,14.18909,14:47:39:249,normal,3.229974160368494,0.10779114387972355,5,0,0.0,0.0,
밝기변화제동등B,14.21498,14:47:39:250,normal,3.229974160368494,0.10779114387972355,5,0,0.0,0.0,
밝기변화제동등B,14.24099,14:47:39:292,normal,3.229974160368494,0.10779114387972355,5,0,0.0,0.0,
밝기변화제동등B,14.2697,14:47:39:293,normal,3.229974160368494,0.10779114387972355,5,0,0.0,0.0,
밝기변화제동등B,14.29816,14:47:39:335,normal,3.5612535611924367,0.10779114387972355,6,0,0.0,0.0,
밝기변화제동등B,14.32836,14:47:39:336,normal,3.5612535611924367,0.10779114387972355,6,0,0.0,0.0,
밝기변화제동등B,14.35861,14:47:39:373,normal,3.5612535611924367,0.10779114387972355,6,0,0.0,0.0,
밝기변화제동등B,14.39058,14:47:39:374,normal,3.5612535611924367,0.10779114387972355,6,0,0.01179792,0.0,
밝기변화제동등B,14.42328,14:47:39:412,normal,3.5612535611924367,0.10779114387972355,6,0,0.01179792,0.0,
밝기변화제동등B,14.45786,14:47:39:413,normal,2.2401433692450303,0.10779114387972355,7,0,0.01576618,0.0,
밝기변화제동등B,14.49341,14:47:39:451,normal,2.2401433692450303,0.10779114387972355,7,0,0.01576618,0.0,
밝기변화제동등B,14.5302,14:47:39:453,normal,2.2401433692450303,0.10779114387972355,7,0,0.02767094,0.0,
밝기변화제동등B,14.56661,14:47:39:493,normal,2.2401433692450303,0.10779114387972355,7,0,0.02767094,0.0,
밝기변화제동등B,14.60654,14:47:39:494,normal,2.2401433692450303,0.10779114387972355,7,0,0.04752747,0.0,
밝기변화제동등B,14.6469,14:47:39:537,normal,3.472222222146431,0.10779114387972355,8,0,0.04752747,0.0,
밝기변화제동등B,14.68837,14:47:39:538,normal,3.472222222146431,0.10779114387972355,8,0,0.07530525,0.0,
밝기변화제동등B,14.73006,14:47:39:577,normal,3.472222222146431,0.10779114387972355,8,0,0.07927351,0.0,
밝기변화제동등B,14.77414,14:47:39:578,normal,3.472222222146431,0.10779114387972355,8,0,0.118956,0.0,
밝기변화제동등B,14.8187,14:47:39:616,normal,3.472222222146431,0.10779114387972355,8,0,0.1229243,0.0,
밝기변화제동등B,14.86396,14:47:39:617,normal,3.1928480204513168,0.10779114387972355,9,0,0.2142247,0.0,
밝기변화제동등B,14.9101,14:47:39:657,normal,3.1928480204513168,0.10779114387972355,9,0,0.2142247,0.0,
밝기변화제동등B,14.95844,14:47:39:658,normal,3.1928480204513168,0.10779114387972355,9,0,0.3372558,0.0,
밝기변화제동등B,15.00666,14:47:39:701,normal,3.1928480204513168,0.10779114387972355,9,0,0.3451923,0.0,
밝기변화제동등B,15.0571,14:47:39:703,normal,3.1928480204513168,0.10779114387972355,9,0,0.472207,0.0,
밝기변화제동등B,15.1076,14:47:39:704,normal,2.2583559168999834,1.1111111111111112,10,1,0.4761752,0.0,
밝기변화제동등B,15.15801,14:47:39:745,normal,2.2583559168999834,1.1111111111111112,10,1,0.4801435,0.0,
밝기변화제동등B,15.20812,14:47:39:745,normal,2.2583559168999834,1.1111111111111112,10,1,0.5586081,0.0,
밝기변화제동등B,15.25816,14:47:39:786,normal,2.2583559168999834,1.1111111111111112,10,1,0.5625153,0.0,
밝기변화제동등B,15.31042,14:47:39:787,normal,2.2583559168999834,1.1111111111111112,10,1,0.6094017,0.0,
밝기변화제동등B,15.36253,14:47:39:827,normal,2.1872265966683986,1.1111111111111112,11,1,0.6094017,0.0,
밝기변화제동등B,15.416,14:47:39:828,normal,2.1872265966683986,1.1111111111111112,11,1,0.6328449,0.0,
