브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,14:25:18:646,normal,0.17189218921872995,0.1549234678070895,0,0,0.5,0.5,
밝기변화제동등B,13.99994,14:25:18:719,normal,0.17189218921872995,0.1549234678070895,0,0,0.5,0.5,
밝기변화제동등B,13.99985,14:25:20:262,normal,0.8795968882799572,0.1549234678070895,1,0,0.5,0.5,
밝기변화제동등B,13.99976,14:25:20:264,normal,1.5873015873411844,0.1549234678070895,0,0,0.4841117,0.0,
밝기변화제동등B,13.99966,14:25:20:265,normal,1.5873015873411844,0.1549234678070895,0,0,0.4841117,0.0,
밝기변화제동등B,13.99956,14:25:20:267,normal,1.5873015873411844,0.1549234678070895,0,0,0.48808,0.0,
밝기변화제동등B,13.99887,14:25:20:267,normal,1.5873015873411844,0.1549234678070895,0,0,0.4960165,0.0,
밝기변화제동등B,13.99772,14:25:20:439,normal,2.053820333408523,1.9425019424521293,1,1,0.5664225,0.0,
밝기변화제동등B,13.996,14:25:20:441,normal,2.5203390794758618,1.9425019424521293,1,1,0.6641026,0.0,
밝기변화제동등B,13.99374,14:25:20:442,normal,2.9868578255432006,1.9425019424521293,0,1,0.6641026,0.0,
밝기변화제동등B,13.99097,14:25:20:443,normal,2.9868578255432006,1.9425019424521293,0,1,0.6680098,0.0,
밝기변화제동등B,13.98767,14:25:20:445,normal,2.9868578255432006,1.9425019424521293,0,1,0.6680098,0.0,
밝기변화제동등B,13.98376,14:25:20:535,normal,4.095615654658506,1.9425019424521293,1,1,0.6680098,0.0,
밝기변화제동등B,13.98742,14:25:20:536,normal,5.204373483773811,1.9425019424521293,1,1,0.6758242,0.0,
밝기변화제동등B,13.98991,14:25:20:538,normal,6.313131312889116,1.9425019424521293,2,1,0.6758242,0.0,
밝기변화제동등B,13.99219,14:25:20:539,normal,6.313131312889116,1.9425019424521293,2,1,0.6758242,0.0,
밝기변화제동등B,13.99364,14:25:20:579,normal,6.313131312889116,1.9425019424521293,2,1,0.6758242,0.0,
밝기변화제동등B,14.00025,14:25:20:582,normal,3.6075036076208717,1.9425019424521293,3,1,0.6758242,0.0,
밝기변화제동등B,14.00596,14:25:20:582,normal,3.6075036076208717,1.7253278122837103,3,2,0.6758242,0.0,
밝기변화제동등B,14.01058,14:25:20:621,normal,3.6075036076208717,1.7253278122837103,3,2,0.6758242,0.0,
밝기변화제동등B,14.02032,14:25:20:622,normal,3.6075036076208717,1.7253278122837103,3,2,0.6758242,0.0,
밝기변화제동등B,14.02973,14:25:20:659,normal,3.3467202142417287,1.7253278122837103,4,2,0.6758242,0.0,
밝기변화제동등B,14.03989,14:25:20:699,normal,3.3467202142417287,1.7253278122837103,4,2,0.6758242,0.0,
밝기변화제동등B,14.05207,14:25:20:699,normal,3.3467202142417287,1.7253278122837103,4,2,0.6758242,0.0,
밝기변화제동등B,14.06366,14:25:20:742,normal,3.5612535611924367,1.7253278122837103,5,2,0.6758242,0.0,
밝기변화제동등B,14.07638,14:25:20:743,normal,3.5612535611924367,3.6075036076208717,5,3,0.6758242,0.0,
밝기변화제동등B,14.08805,14:25:20:744,normal,3.5612535611924367,3.6075036076208717,5,3,0.6758242,0.0,
밝기변화제동등B,14.09787,14:25:20:781,normal,3.5612535611924367,3.6075036076208717,5,3,0.6758242,0.0,
밝기변화제동등B,14.1094,14:25:20:782,normal,3.5612535611924367,3.6075036076208717,5,3,0.6758242,0.0,
밝기변화제동등B,14.12017,14:25:20:820,normal,2.4154589372408584,3.6075036076208717,6,3,0.6758242,0.0,
밝기변화제동등B,14.13077,14:25:20:820,normal,2.4154589372408584,2.4154589372408584,6,4,0.6758242,0.0,
밝기변화제동등B,14.14088,14:25:20:859,normal,2.4154589372408584,2.4154589372408584,6,4,0.6758242,0.0,
밝기변화제동등B,14.15136,14:25:20:860,normal,2.4154589372408584,2.4154589372408584,6,4,0.6758242,0.0,
밝기변화제동등B,14.16012,14:25:20:898,normal,2.4154589372408584,2.4154589372408584,6,4,0.6758242,0.0,
밝기변화제동등B,14.17037,14:25:20:935,normal,3.6549707601891295,3.5612535611924367,7,5,0.6680098,0.0,
밝기변화제동등B,14.18159,14:25:20:936,normal,3.6549707601891295,3.5612535611924367,7,5,0.6601954,0.0,
밝기변화제동등B,14.19091,14:25:20:973,normal,3.6549707601891295,3.5612535611924367,7,5,0.6601954,0.0,
밝기변화제동등B,14.20169,14:25:20:973,normal,3.6549707601891295,3.5612535611924367,7,5,0.6601954,0.0,
밝기변화제동등B,14.21159,14:25:21:011,normal,2.394636015288421,3.5612535611924367,8,5,0.6562881,0.0,
밝기변화제동등B,14.22186,14:25:21:013,normal,2.394636015288421,3.6549707601891295,8,6,0.6523809,0.0,
밝기변화제동등B,14.23079,14:25:21:050,normal,2.394636015288421,3.6549707601891295,8,6,0.6523809,0.0,
밝기변화제동등B,14.24131,14:25:21:051,normal,2.394636015288421,3.6549707601891295,8,6,0.6484737,0.0,
밝기변화제동등B,14.25057,14:25:21:088,normal,2.394636015288421,3.6549707601891295,8,6,0.6484737,0.0,
밝기변화제동등B,14.25972,14:25:21:089,normal,2.394636015288421,2.4154589372408584,8,7,0.6445665,0.0,
밝기변화제동등B,14.26794,14:25:21:127,normal,3.5612535611924367,2.4154589372408584,9,7,0.6445665,0.0,
밝기변화제동등B,14.27699,14:25:21:129,normal,3.5612535611924367,2.4154589372408584,9,7,0.6445665,0.0,
밝기변화제동등B,14.28485,14:25:21:166,normal,3.5612535611924367,2.4154589372408584,9,7,0.6445665,0.0,
밝기변화제동등B,14.29407,14:25:21:166,normal,3.5612535611924367,2.4154589372408584,9,7,0.6406593,0.0,
밝기변화제동등B,14.30245,14:25:21:204,normal,3.5612535611924367,3.5612535611924367,9,8,0.6406593,0.0,
밝기변화제동등B,14.31124,14:25:21:205,normal,2.4582104228653754,3.5612535611924367,10,8,0.6484737,0.0,
밝기변화제동등B,14.31861,14:25:21:242,normal,2.4582104228653754,3.5612535611924367,10,8,0.6484737,0.0,
밝기변화제동등B,14.32802,14:25:21:243,normal,2.4582104228653754,3.5612535611924367,10,8,0.6523809,0.0,
밝기변화제동등B,14.33604,14:25:21:281,normal,2.4582104228653754,3.5612535611924367,10,8,0.6523809,0.0,
밝기변화제동등B,14.34406,14:25:21:282,normal,2.4582104228653754,2.4582104228653754,10,9,0.6523809,0.0,
밝기변화제동등B,14.35117,14:25:21:318,normal,2.3741690408687797,2.4582104228653754,11,9,0.6523809,0.0,
밝기변화제동등B,14.35968,14:25:21:355,normal,2.3741690408687797,2.4582104228653754,11,9,0.6523809,0.0,
밝기변화제동등B,14.36822,14:25:21:356,normal,2.3741690408687797,2.4582104228653754,11,9,0.6523809,0.0,
밝기변화제동등B,14.37587,14:25:21:395,normal,2.3741690408687797,3.516174402019776,11,10,0.6523809,0.0,
밝기변화제동등B,14.38377,14:25:21:396,normal,2.3741690408687797,3.516174402019776,11,10,0.6523809,0.0,
밝기변화제동등B,14.39093,14:25:21:435,normal,3.516174402019776,3.516174402019776,12,10,0.6523809,0.0,
밝기변화제동등B,14.40005,14:25:21:436,normal,3.516174402019776,3.516174402019776,12,10,0.6523809,0.0,
밝기변화제동등B,14.40789,14:25:21:474,normal,3.516174402019776,3.516174402019776,12,10,0.6523809,0.0,
밝기변화제동등B,14.41611,14:25:21:474,normal,3.516174402019776,2.4154589372408584,12,11,0.6484737,0.0,
밝기변화제동등B,14.42303,14:25:21:513,normal,3.516174402019776,2.4154589372408584,12,11,0.6484737,0.0,
