브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
점멸주파수변화제동등C,14.00001,14:19:27:579,normal,0.17592006192328463,0.11715638033651339,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99994,14:19:27:653,normal,0.17592006192328463,0.11715638033651339,0,0,0.5,0.5,
점멸주파수변화제동등C,13.99985,14:19:29:158,normal,0.9560155865377247,0.11715638033651339,1,0,0.5,0.5,
점멸주파수변화제동등C,13.99976,14:19:29:160,normal,1.7361111111521648,0.11715638033651339,0,0,0.1705586,0.0,
점멸주파수변화제동등C,13.99966,14:19:29:161,normal,1.7361111111521648,0.11715638033651339,0,0,0.1705586,0.0,
점멸주파수변화제동등C,13.99956,14:19:29:165,normal,1.7361111111521648,0.11715638033651339,0,0,0.1705586,0.0,
점멸주파수변화제동등C,13.99946,14:19:29:165,normal,1.7361111111521648,0.11715638033651339,0,0,0.1705586,0.0,
점멸주파수변화제동등C,13.99936,14:19:29:320,normal,2.2340654607998514,0.11715638033651339,1,0,0.1705586,0.0,
점멸주파수변화제동등C,13.9993,14:19:29:322,normal,2.7320198104475377,0.11715638033651339,1,0,0.1665903,0.0,
점멸주파수변화제동등C,13.99922,14:19:29:323,normal,3.2299741600952245,0.11715638033651339,0,0,0.1665903,0.0,
점멸주파수변화제동등C,13.99915,14:19:29:323,normal,3.2299741600952245,0.11715638033651339,0,0,0.1665903,0.0,
점멸주파수변화제동등C,13.99909,14:19:29:324,normal,3.2299741600952245,0.11715638033651339,0,0,0.1665903,0.0,
점멸주파수변화제동등C,13.99903,14:19:29:409,normal,4.468130921494437,0.11715638033651339,1,0,0.1665903,0.0,
점멸주파수변화제동등C,14.00704,14:19:29:410,normal,5.706287682893649,0.11715638033651339,1,0,0.1665903,0.0,
점멸주파수변화제동등C,14.01441,14:19:29:411,normal,6.944444444292862,0.11715638033651339,2,0,0.1665903,0.0,
점멸주파수변화제동등C,14.02225,14:19:29:412,normal,6.944444444292862,0.11715638033651339,2,0,0.1665903,0.0,
점멸주파수변화제동등C,14.02975,14:19:29:450,normal,6.944444444292862,0.11715638033651339,2,0,0.1665903,0.0,
점멸주파수변화제동등C,14.04313,14:19:29:451,normal,3.6549707601891295,0.11715638033651339,3,0,0.1745269,0.0,
점멸주파수변화제동등C,14.05622,14:19:29:489,normal,3.6549707601891295,0.11715638033651339,3,0,0.1745269,0.0,
점멸주파수변화제동등C,14.07437,14:19:29:491,normal,3.6549707601891295,0.11715638033651339,3,0,0.1784951,0.0,
점멸주파수변화제동등C,14.093,14:19:29:527,normal,3.7037037038474265,0.11715638033651339,4,0,0.1784951,0.0,
점멸주파수변화제동등C,14.11347,14:19:29:529,normal,3.7037037038474265,0.11715638033651339,4,0,0.1824634,0.0,
점멸주파수변화제동등C,14.13389,14:19:29:565,normal,3.7037037038474265,0.11715638033651339,4,0,0.1824634,0.0,
점멸주파수변화제동등C,14.15642,14:19:29:566,normal,3.7037037038474265,0.11715638033651339,4,0,0.1745269,0.0,
점멸주파수변화제동등C,14.17892,14:19:29:602,normal,2.4154589372408584,0.11715638033651339,5,0,0.1745269,0.0,
점멸주파수변화제동등C,14.20436,14:19:29:603,normal,2.4154589372408584,0.11715638033651339,5,0,0.1784951,0.0,
점멸주파수변화제동등C,14.22886,14:19:29:640,normal,2.4154589372408584,0.11715638033651339,5,0,0.1784951,0.0,
점멸주파수변화제동등C,14.2556,14:19:29:641,normal,2.4154589372408584,0.11715638033651339,5,0,0.1864316,0.0,
점멸주파수변화제동등C,14.28282,14:19:29:679,normal,2.4154589372408584,0.11715638033651339,5,0,0.1864316,0.0,
점멸주파수변화제동등C,14.31162,14:19:29:717,normal,3.607503607279988,0.11715638033651339,6,0,0.1864316,0.0,
점멸주파수변화제동등C,14.34209,14:19:29:718,normal,3.607503607279988,0.11715638033651339,6,0,0.1903999,0.0,
점멸주파수변화제동등C,14.37314,14:19:29:755,normal,3.607503607279988,0.11715638033651339,6,0,0.1903999,0.0,
점멸주파수변화제동등C,14.40621,14:19:29:756,normal,3.607503607279988,0.11715638033651339,6,0,0.1983364,0.0,
점멸주파수변화제동등C,14.43892,14:19:29:793,normal,3.607503607279988,0.11715638033651339,6,0,0.1983364,0.0,
점멸주파수변화제동등C,14.47469,14:19:29:794,normal,2.3741690408687797,0.11715638033651339,7,0,0.2023046,0.0,
점멸주파수변화제동등C,14.51017,14:19:29:833,normal,2.3741690408687797,0.11715638033651339,7,0,0.2023046,0.0,
점멸주파수변화제동등C,14.54751,14:19:29:833,normal,2.3741690408687797,0.11715638033651339,7,0,0.2181929,0.0,
점멸주파수변화제동등C,14.58441,14:19:29:871,normal,2.3741690408687797,0.11715638033651339,7,0,0.2181929,0.0,
점멸주파수변화제동등C,14.62388,14:19:29:872,normal,2.3741690408687797,0.11715638033651339,7,0,0.2459707,0.0,
점멸주파수변화제동등C,14.66324,14:19:29:911,normal,3.5612535611924367,0.11715638033651339,8,0,0.2459707,0.0,
점멸주파수변화제동등C,14.70488,14:19:29:912,normal,3.5612535611924367,0.11715638033651339,8,0,0.2777167,0.0,
점멸주파수변화제동등C,14.74633,14:19:29:949,normal,3.5612535611924367,0.11715638033651339,8,0,0.2777167,0.0,
점멸주파수변화제동등C,14.78909,14:19:29:950,normal,3.5612535611924367,1.187084520397479,8,1,0.3174145,0.0,
점멸주파수변화제동등C,14.83189,14:19:29:988,normal,3.5612535611924367,1.187084520397479,8,1,0.3174145,0.0,
점멸주파수변화제동등C,14.87684,14:19:29:989,normal,2.394636015288421,1.187084520397479,9,1,0.3809219,0.0,
점멸주파수변화제동등C,14.92178,14:19:30:027,normal,2.394636015288421,1.187084520397479,9,1,0.3888584,0.0,
점멸주파수변화제동등C,14.9666,14:19:30:029,normal,2.394636015288421,1.187084520397479,9,1,0.4444139,0.0,
점멸주파수변화제동등C,15.01094,14:19:30:067,normal,2.394636015288421,1.187084520397479,9,1,0.4444139,0.0,
