브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
면적변화제동등D,14.00001,14:36:55:260,normal,0.1793271644789831,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99994,14:36:55:334,normal,0.1793271644789831,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99985,14:36:56:809,normal,1.0034062722867738,0.11492667678015334,1,0,0.5,0.5,
면적변화제동등D,13.99976,14:36:56:811,normal,1.8274853800945647,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99966,14:36:56:811,normal,1.8274853800945647,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99956,14:36:56:812,normal,1.8274853800945647,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99946,14:36:56:813,normal,1.8274853800945647,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99937,14:36:56:963,normal,2.117280796342146,0.11492667678015334,1,0,0.5,0.5,
면적변화제동등D,13.99931,14:36:56:964,normal,2.4070762125897276,0.11492667678015334,1,0,0.5,0.5,
면적변화제동등D,13.99923,14:36:56:965,normal,2.696871628837309,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99916,14:36:56:966,normal,2.696871628837309,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.9991,14:36:56:967,normal,2.696871628837309,0.11492667678015334,0,0,0.5,0.5,
면적변화제동등D,13.99904,14:36:57:068,normal,2.9699725533394123,0.11492667678015334,1,0,0.5,0.5,
면적변화제동등D,14.00706,14:36:57:069,normal,3.243073477841515,0.11492667678015334,1,0,0.5,0.5,
면적변화제동등D,14.01442,14:36:57:070,normal,3.5161744023436183,0.11492667678015334,2,0,0.5,0.5,
면적변화제동등D,14.02226,14:36:57:071,normal,3.5161744023436183,0.11492667678015334,2,0,0.5,0.5,
면적변화제동등D,14.02977,14:36:57:071,normal,3.5161744023436183,0.11492667678015334,2,0,0.5,0.5,
면적변화제동등D,14.03761,14:36:57:109,normal,3.5161744023436183,0.11492667678015334,2,0,0.5,0.5,
면적변화제동등D,14.05042,14:36:57:110,normal,3.5161744023436183,0.11492667678015334,2,0,0.5,0.5,
면적변화제동등D,14.06354,14:36:57:149,normal,3.634964078035399,0.11492667678015334,3,0,0.5,0.5,
면적변화제동등D,14.08174,14:36:57:149,normal,3.634964078035399,0.11492667678015334,3,0,0.5,0.5,
면적변화제동등D,14.10017,14:36:57:186,normal,3.75375375372718,0.11492667678015334,4,0,0.5,0.5,
면적변화제동등D,14.12082,14:36:57:221,normal,3.75375375372718,0.11492667678015334,4,0,0.5,0.5,
