브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,15:31:39:032,normal,0.1788652786721176,0.1627286337301859,0,0,0.5,0.5,
밝기변화제동등B,13.99994,15:31:39:104,normal,0.1788652786721176,0.1627286337301859,0,0,0.5,0.5,
밝기변화제동등B,13.99985,15:31:40:585,normal,1.0031753293833412,0.1627286337301859,1,0,0.5,0.5,
밝기변화제동등B,13.99976,15:31:40:587,normal,1.8274853800945647,0.1627286337301859,0,0,0.8594627,0.0,
밝기변화제동등B,13.99966,15:31:40:588,normal,1.8274853800945647,0.1627286337301859,0,0,0.8594627,0.0,
밝기변화제동등B,13.99956,15:31:40:589,normal,1.8274853800945647,0.1627286337301859,0,0,0.8594627,0.0,
밝기변화제동등B,13.99891,15:31:40:589,normal,1.8274853800945647,0.1627286337301859,0,0,0.8594627,0.0,
밝기변화제동등B,13.99776,15:31:40:739,normal,2.2033511674537847,1.9425019425509653,1,1,0.8594627,0.0,
밝기변화제동등B,13.99602,15:31:40:741,normal,2.5792169548130044,1.9425019425509653,1,1,0.8555555,0.0,
밝기변화제동등B,13.99378,15:31:40:742,normal,2.9550827421722246,1.9425019425509653,0,1,0.8555555,0.0,
밝기변화제동등B,13.99101,15:31:40:743,normal,2.9550827421722246,1.9425019425509653,0,1,0.8555555,0.0,
밝기변화제동등B,13.98769,15:31:40:744,normal,2.9550827421722246,1.9425019425509653,0,1,0.8555555,0.0,
밝기변화제동등B,13.98379,15:31:40:836,normal,4.123371268360479,1.9425019425509653,1,1,0.8555555,0.0,
밝기변화제동등B,13.98744,15:31:40:837,normal,5.291659794548734,1.9425019425509653,1,1,0.8477411,0.0,
밝기변화제동등B,13.98981,15:31:40:838,normal,6.459948320736988,1.9425019425509653,2,1,0.8477411,0.0,
밝기변화제동등B,13.99222,15:31:40:839,normal,6.459948320736988,1.9425019425509653,2,1,0.8477411,0.0,
밝기변화제동등B,13.99353,15:31:40:879,normal,6.459948320736988,1.9425019425509653,2,1,0.8477411,0.0,
밝기변화제동등B,14.00014,15:31:40:881,normal,3.7037037038474265,1.9425019425509653,3,1,0.8477411,0.0,
밝기변화제동등B,14.00581,15:31:40:882,normal,3.7037037038474265,1.8518518518338867,3,2,0.8477411,0.0,
밝기변화제동등B,14.01051,15:31:40:919,normal,3.7037037038474265,1.8518518518338867,3,2,0.8477411,0.0,
밝기변화제동등B,14.02047,15:31:40:919,normal,3.7037037038474265,1.8518518518338867,3,2,0.8477411,0.0,
밝기변화제동등B,14.03013,15:31:40:956,normal,3.7037037034881197,1.8518518518338867,4,2,0.8477411,0.0,
밝기변화제동등B,14.04031,15:31:40:993,normal,3.7037037034881197,1.8518518518338867,4,2,0.8438339,0.0,
밝기변화제동등B,14.05245,15:31:40:994,normal,3.7037037034881197,1.8518518518338867,4,2,0.8438339,0.0,
밝기변화제동등B,14.06376,15:31:41:031,normal,3.6075036076208717,1.8518518518338867,5,2,0.8438339,0.0,
밝기변화제동등B,14.0762,15:31:41:032,normal,3.6075036076208717,2.4582104228653754,5,3,0.8438339,0.0,
밝기변화제동등B,14.0878,15:31:41:069,normal,3.6075036076208717,2.4582104228653754,5,3,0.8438339,0.0,
밝기변화제동등B,14.09939,15:31:41:070,normal,3.6075036076208717,2.4582104228653754,5,3,0.8438339,0.0,
밝기변화제동등B,14.11031,15:31:41:107,normal,3.6075036076208717,2.4582104228653754,5,3,0.8438339,0.0,
밝기변화제동등B,14.12187,15:31:41:108,normal,2.4582104228653754,2.4582104228653754,6,3,0.8438339,0.0,
밝기변화제동등B,14.13235,15:31:41:145,normal,2.4582104228653754,3.6549707601891295,6,4,0.8438339,0.0,
밝기변화제동등B,14.14402,15:31:41:146,normal,2.4582104228653754,3.6549707601891295,6,4,0.8438339,0.0,
밝기변화제동등B,14.15372,15:31:41:183,normal,2.4582104228653754,3.6549707601891295,6,4,0.8438339,0.0,
밝기변화제동등B,14.16462,15:31:41:184,normal,2.4582104228653754,3.6549707601891295,6,4,0.8516483,0.0,
밝기변화제동등B,14.17321,15:31:41:221,normal,2.4582104227070936,3.679337232018278,7,5,0.8516483,0.0,
밝기변화제동등B,14.18273,15:31:41:222,normal,2.4582104227070936,3.679337232018278,7,5,0.8594627,0.0,
밝기변화제동등B,14.18999,15:31:41:259,normal,2.4582104227070936,3.679337232018278,7,5,0.8594627,0.0,
밝기변화제동등B,14.19703,15:31:41:260,normal,2.4582104227070936,3.7037037038474265,7,6,0.8672771,0.0,
밝기변화제동등B,14.20187,15:31:41:297,normal,2.4582104227070936,3.7037037038474265,7,6,0.8711843,0.0,
밝기변화제동등B,14.20588,15:31:41:334,normal,3.561253561524636,3.7037037038474265,8,6,0.8868132,0.0,
밝기변화제동등B,14.21057,15:31:41:335,normal,3.561253561524636,7.122507121720475,8,7,0.902442,0.0,
밝기변화제동등B,14.21282,15:31:41:373,normal,3.561253561524636,7.122507121720475,8,7,0.9063492,0.0,
밝기변화제동등B,14.21395,15:31:41:374,normal,3.561253561524636,7.309941521777912,8,8,0.9180708,0.0,
밝기변화제동등B,14.21236,15:31:41:411,normal,3.561253561524636,7.309941521777912,8,8,0.9180708,0.0,
밝기변화제동등B,14.21027,15:31:41:412,normal,2.4366471734594195,7.122507121720475,9,9,0.9376068,0.0,
밝기변화제동등B,14.20663,15:31:41:450,normal,2.4366471734594195,7.122507121720475,9,9,0.9376068,0.0,
밝기변화제동등B,14.20123,15:31:41:451,normal,2.4366471734594195,7.122507121720475,9,10,0.9649572,0.0,
밝기변화제동등B,14.1934,15:31:41:487,normal,2.4366471734594195,7.122507121720475,9,10,0.9649572,0.0,
밝기변화제동등B,14.18506,15:31:41:488,normal,2.4366471734594195,7.122507121720475,9,10,0.9844933,0.0,
밝기변화제동등B,14.17377,15:31:41:526,normal,3.516174402019776,7.122507121720475,10,11,0.9844933,0.0,
밝기변화제동등B,14.16172,15:31:41:527,normal,3.516174402019776,7.122507121720475,10,11,0.9923077,0.0,
밝기변화제동등B,14.14745,15:31:41:565,normal,3.516174402019776,6.944444444292862,10,12,0.9923077,0.0,
밝기변화제동등B,14.13223,15:31:41:566,normal,3.516174402019776,6.944444444292862,10,12,1.000122,0.0,
밝기변화제동등B,14.11429,15:31:41:605,normal,3.516174402019776,7.122507123049272,10,13,1.000122,0.0,
밝기변화제동등B,14.09601,15:31:41:605,normal,2.3741690408687797,7.122507123049272,11,13,1.000122,0.0,
밝기변화제동등B,14.07523,15:31:41:644,normal,2.3741690408687797,7.122507123049272,11,14,1.000122,0.0,
밝기변화제동등B,14.0537,15:31:41:645,normal,2.3741690408687797,7.122507123049272,11,14,1.000122,0.0,
밝기변화제동등B,14.02899,15:31:41:683,normal,2.3741690408687797,7.122507121720475,11,15,1.000122,0.0,
밝기변화제동등B,14.00459,15:31:41:683,normal,2.3741690408687797,7.122507121720475,11,15,1.000122,0.0,
밝기변화제동등B,13.97774,15:31:41:722,normal,2.480158730136818,7.507507508192526,12,16,1.000122,0.0,
밝기변화제동등B,13.95097,15:31:41:723,normal,2.480158730136818,7.507507508192526,12,16,1.000122,0.0,
밝기변화제동등B,13.92081,15:31:41:759,normal,2.480158730136818,7.122507121720475,12,17,1.000122,0.0,
밝기변화제동등B,13.89026,15:31:41:761,normal,2.480158730136818,7.122507121720475,12,17,1.000122,0.0,
밝기변화제동등B,13.85694,15:31:41:798,normal,2.480158730136818,7.507507508192526,12,18,1.000122,0.0,
밝기변화제동등B,13.82323,15:31:41:834,normal,3.6549707601891295,7.507507508192526,13,18,1.000122,0.0,
밝기변화제동등B,13.78903,15:31:41:835,normal,3.6549707601891295,7.507507506716194,13,19,1.000122,0.0,
밝기변화제동등B,13.75145,15:31:41:871,normal,3.6549707601891295,7.507507506716194,13,19,1.000122,0.0,
밝기변화제동등B,13.71376,15:31:41:872,normal,3.6549707601891295,7.122507123049272,13,20,1.000122,0.0,
밝기변화제동등B,13.6729,15:31:41:910,normal,2.4801587302979384,7.122507123049272,14,20,1.000122,0.0,
밝기변화제동등B,13.632,15:31:41:911,normal,2.4801587302979384,7.716049382703574,14,21,1.000122,0.0,
밝기변화제동등B,13.58865,15:31:41:946,normal,2.4801587302979384,7.716049382703574,14,21,1.000122,0.0,
밝기변화제동등B,13.54382,15:31:41:947,normal,2.4801587302979384,7.507507508192526,14,22,1.000122,0.0,
밝기변화제동등B,13.49638,15:31:41:983,normal,2.4801587302979384,7.507507508192526,14,22,1.000122,0.0,
밝기변화제동등B,13.44875,15:31:41:984,normal,2.4801587302979384,7.309941520378259,14,23,1.000122,0.0,
