브레이크 유형,실시간 앞차 간격,현재 시간,충돌여부,선두 차량 가속도,실험 차량 가속도,선두 차량 속도,실험 차량 속도,엑셀 세기,브레이크 세기,Unnamed: 10
밝기변화제동등B,14.00001,16:13:31:677,normal,0.17704128602836805,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99994,16:13:31:749,normal,0.17704128602836805,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99985,16:13:33:246,normal,1.1097624730900337,0.14520532032345357,1,0,0.5,0.5,
밝기변화제동등B,13.99976,16:13:33:247,normal,2.0424836601516994,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99966,16:13:33:249,normal,2.0424836601516994,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99956,16:13:33:250,normal,2.0424836601516994,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99946,16:13:33:251,normal,2.0424836601516994,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99937,16:13:33:383,normal,2.4908337319512537,0.14520532032345357,1,0,0.5,0.5,
밝기변화제동등B,13.99931,16:13:33:384,normal,2.9391838037508076,0.14520532032345357,1,0,0.5,0.5,
밝기변화제동등B,13.99923,16:13:33:385,normal,3.387533875550362,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99916,16:13:33:385,normal,3.387533875550362,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.9991,16:13:33:386,normal,3.387533875550362,0.14520532032345357,0,0,0.5,0.5,
밝기변화제동등B,13.99904,16:13:33:467,normal,4.411672023581545,0.14520532032345357,1,0,0.5,0.5,
밝기변화제동등B,14.00706,16:13:33:468,normal,5.435810171612728,0.14520532032345357,1,0,0.5,0.5,
밝기변화제동등B,14.01442,16:13:33:469,normal,6.459948319643911,0.14520532032345357,2,0,0.5,0.5,
밝기변화제동등B,14.02226,16:13:33:470,normal,6.459948319643911,0.14520532032345357,2,0,0.5,0.5,
밝기변화제동등B,14.02977,16:13:33:510,normal,6.459948319643911,0.14520532032345357,2,0,0.5,0.5,
밝기변화제동등B,14.04314,16:13:33:512,normal,3.6075036076208717,0.14520532032345357,3,0,0.3888584,0.0,
밝기변화제동등B,14.05623,16:13:33:551,normal,3.6075036076208717,0.14520532032345357,3,0,0.3888584,0.0,
밝기변화제동등B,14.07424,16:13:33:552,normal,3.6075036076208717,0.14520532032345357,3,0,0.3928266,0.0,
밝기변화제동등B,14.09177,16:13:33:589,normal,3.5161744023436183,0.14520532032345357,4,0,0.3928266,0.0,
밝기변화제동등B,14.11122,16:13:33:590,normal,3.5161744023436183,1.172058134078557,4,1,0.3928266,0.0,
밝기변화제동등B,14.12915,16:13:33:630,normal,3.5161744023436183,1.172058134078557,4,1,0.3928266,0.0,
밝기변화제동등B,14.15013,16:13:33:631,normal,3.5161744023436183,1.172058134078557,4,1,0.3967949,0.0,
밝기변화제동등B,14.17029,16:13:33:668,normal,3.4293552809705528,1.172058134078557,5,1,0.3967949,0.0,
밝기변화제동등B,14.19191,16:13:33:669,normal,3.4293552809705528,1.172058134078557,5,1,0.4007631,0.0,
밝기변화제동등B,14.21326,16:13:33:707,normal,3.4293552809705528,1.172058134078557,5,1,0.4007631,0.0,
밝기변화제동등B,14.23619,16:13:33:708,normal,3.4293552809705528,1.172058134078557,5,1,0.4086996,0.0,
밝기변화제동등B,14.25805,16:13:33:747,normal,3.4293552809705528,1.172058134078557,5,1,0.4086996,0.0,
밝기변화제동등B,14.28209,16:13:33:749,normal,2.3540489643194817,1.172058134078557,6,1,0.4206044,0.0,
밝기변화제동등B,14.30559,16:13:33:787,normal,2.3540489643194817,1.172058134078557,6,1,0.4245726,0.0,
밝기변화제동등B,14.33023,16:13:33:788,normal,2.3540489643194817,1.172058134078557,6,1,0.4364774,0.0,
밝기변화제동등B,14.35531,16:13:33:827,normal,2.3540489643194817,1.7253278122837103,6,2,0.4364774,0.0,
밝기변화제동등B,14.38053,16:13:33:828,normal,2.3540489643194817,1.7253278122837103,6,2,0.4444139,0.0,
밝기변화제동등B,14.40526,16:13:33:867,normal,2.3148148147642873,1.7253278122837103,7,2,0.4444139,0.0,
밝기변화제동등B,14.43211,16:13:33:868,normal,2.3148148147642873,1.7253278122837103,7,2,0.4682387,0.0,
