참여자번호,브레이크유형,저감속구간 번호,저감속구간의 길이,브레이크세기,반응시간
1,A기본제동등,1,2.301,0.24119,0.257
1,A기본제동등,2,1.525,0.0,0.584
1,A기본제동등,3,1.232,0.0,0.0
1,A기본제동등,4,1.779,0.0,0.659
1,A기본제동등,5,2.983,0.0,2.061
1,A기본제동등,6,1.238,0.0,0.0
1,A기본제동등,7,2.888,0.03983,0.503
1,A기본제동등,8,1.249,0.0,0.197
1,A기본제동등,9,0.932,0.0,0.269
1,A기본제동등,10,1.248,0.0,0.237
1,A기본제동등,11,2.321,0.0,0.302
1,A기본제동등,12,2.832,0.0,2.606
1,A기본제동등,13,2.363,0.0,0.417
1,A기본제동등,14,1.767,0.0,0.619
1,A기본제동등,15,3.377,0.0,2.14
1,A기본제동등,16,2.26,0.0,0.353
1,A기본제동등,17,1.774,0.0,0.516
1,A기본제동등,18,2.724,0.0,0.286
1,A기본제동등,19,1.784,0.0,0.471
1,A기본제동등,20,0.832,0.0,0.189
1,A기본제동등,21,2.491,0.0,0.825
1,A기본제동등,22,1.917,0.0,0.333
1,A기본제동등,23,1.748,0.0,0.0
1,A기본제동등,24,1.561,0.0,0.469
1,A기본제동등,25,1.802,0.0,0.402
1,A기본제동등,26,1.367,0.0,0.436
1,B밝기변화제동등,1,2.122,0.0,0.596
1,B밝기변화제동등,2,1.769,0.0,0.0
1,B밝기변화제동등,3,1.769,0.0,0.0
1,B밝기변화제동등,4,1.379,0.0,0.0
1,B밝기변화제동등,5,2.171,0.06943,0.201
1,B밝기변화제동등,6,1.793,0.0,0.0
1,B밝기변화제동등,7,2.202,0.26739,0.231
1,B밝기변화제동등,8,1.221,0.0,0.0
1,B밝기변화제동등,9,1.223,0.0,0.521
1,B밝기변화제동등,10,1.983,0.00107,0.159
1,B밝기변화제동등,11,1.494,0.0,1.103
1,B밝기변화제동등,12,2.735,0.0,0.0
1,B밝기변화제동등,13,1.785,0.0,1.419
1,B밝기변화제동등,14,1.239,0.0,0.338
1,B밝기변화제동등,15,1.771,0.0,0.0
1,B밝기변화제동등,16,2.571,0.0,0.984
1,B밝기변화제동등,17,1.79,0.0,0.389
1,B밝기변화제동등,18,1.382,0.0,0.0
1,B밝기변화제동등,19,1.064,0.0,0.548
1,B밝기변화제동등,20,2.347,0.0,0.382
1,B밝기변화제동등,21,1.151,0.01652,0.918
1,B밝기변화제동등,22,3.458,0.0,0.664
1,B밝기변화제동등,23,1.024,0.11583,0.0
1,B밝기변화제동등,24,2.461,0.0,0.0
1,B밝기변화제동등,25,1.941,0.0,0.748
1,B밝기변화제동등,26,1.765,0.0,0.876
1,B밝기변화제동등,27,2.744,0.0,1.246
1,B밝기변화제동등,28,1.712,0.00687,1.434
1,C점멸주파수변화제동등,1,1.837,0.0881,0.545
1,C점멸주파수변화제동등,2,1.793,0.0,0.324
1,C점멸주파수변화제동등,3,1.777,0.0,0.509
1,C점멸주파수변화제동등,4,2.104,0.00356,0.509
1,C점멸주파수변화제동등,5,1.225,0.0,0.474
1,C점멸주파수변화제동등,6,2.514,0.0,1.207
1,C점멸주파수변화제동등,7,2.976,0.0,2.635
1,C점멸주파수변화제동등,8,1.781,0.0,0.315
1,C점멸주파수변화제동등,9,3.068,0.08512,0.529
1,C점멸주파수변화제동등,10,2.2,0.04007,1.236
1,C점멸주파수변화제동등,11,2.475,0.03424,0.956
1,C점멸주파수변화제동등,12,1.921,0.0,1.075
1,C점멸주파수변화제동등,13,1.779,0.0,0.403
1,C점멸주파수변화제동등,14,1.37,0.0,0.445
1,C점멸주파수변화제동등,15,2.855,0.037,0.468
1,C점멸주파수변화제동등,16,2.062,0.0,0.403
1,C점멸주파수변화제동등,17,3.3,0.0,0.0
1,C점멸주파수변화제동등,18,1.212,0.0,0.212
1,C점멸주파수변화제동등,19,1.018,0.04611,0.408
1,C점멸주파수변화제동등,20,1.235,0.0,0.198
1,C점멸주파수변화제동등,21,2.751,0.0,0.412
1,C점멸주파수변화제동등,22,1.764,0.0,0.751
1,C점멸주파수변화제동등,23,3.013,0.0,1.505
1,C점멸주파수변화제동등,24,1.223,0.0,0.559
1,C점멸주파수변화제동등,25,1.797,0.0,1.398
1,C점멸주파수변화제동등,26,2.971,0.0,1.793
1,D면적변화제동등,1,2.762,0.0,0.302
1,D면적변화제동등,2,1.769,0.0,0.398
1,D면적변화제동등,3,3.033,0.0,1.384
1,D면적변화제동등,4,1.797,0.0,0.888
1,D면적변화제동등,5,2.356,0.15497,0.074
1,D면적변화제동등,6,1.218,0.0,0.781
1,D면적변화제동등,7,2.465,0.0,2.241
1,D면적변화제동등,8,2.159,0.09563,0.075
1,D면적변화제동등,9,1.527,0.0,0.674
1,D면적변화제동등,10,1.227,0.0,0.61
1,D면적변화제동등,11,3.029,0.01296,0.809
1,D면적변화제동등,12,1.222,0.0,0.859
1,D면적변화제동등,13,1.785,0.0,1.125
1,D면적변화제동등,14,1.353,0.0,1.184
1,D면적변화제동등,15,2.945,0.14841,0.224
1,D면적변화제동등,16,2.361,0.0,0.409
1,D면적변화제동등,17,1.863,0.24762,0.447
1,D면적변화제동등,18,3.315,0.0,0.455
1,D면적변화제동등,19,1.783,0.0,0.0
1,D면적변화제동등,20,1.738,0.0,0.251
1,D면적변화제동등,21,0.961,0.0,0.517
1,D면적변화제동등,22,1.208,0.0,0.482
1,D면적변화제동등,23,1.759,0.0,0.745
1,D면적변화제동등,24,3.001,0.0,2.075
1,D면적변화제동등,25,1.358,0.06855,0.219
1,D면적변화제동등,26,2.198,0.0,0.673
2,A기본제동등,1,2.73,0.0,0.426
2,A기본제동등,2,1.783,0.0,0.0
2,A기본제동등,3,3.054,0.0,1.178
2,A기본제동등,4,1.943,0.0,0.97
2,A기본제동등,5,1.562,0.0,0.614
2,A기본제동등,6,1.752,0.0,0.412
2,A기본제동등,7,1.463,0.0,0.692
2,A기본제동등,8,1.547,0.02048,0.355
2,A기본제동등,9,1.238,0.0,0.399
2,A기본제동등,10,2.718,0.06137,0.191
2,A기본제동등,11,1.217,0.0,0.39
2,A기본제동등,12,1.943,0.03364,1.742
2,A기본제동등,13,2.342,0.0,0.508
2,A기본제동등,14,1.761,0.0,0.31
2,A기본제동등,15,1.778,0.0,0.351
2,A기본제동등,16,2.796,0.00034,0.318
2,A기본제동등,17,1.814,0.0,0.464
2,A기본제동등,18,1.189,0.0,0.219
2,A기본제동등,19,1.757,0.00031,0.072
2,A기본제동등,20,1.232,0.0,0.338
2,A기본제동등,21,1.943,0.0,0.0
2,A기본제동등,22,1.759,0.0,0.353
2,A기본제동등,23,1.396,0.0,0.428
2,A기본제동등,24,1.584,0.0,0.649
2,A기본제동등,25,2.327,0.04232,0.322
2,A기본제동등,26,1.984,0.03338,0.624
2,A기본제동등,27,3.424,0.0,0.618
2,B밝기변화제동등,1,2.721,0.10984,0.496
2,B밝기변화제동등,2,1.208,0.0,0.477
2,B밝기변화제동등,3,2.464,0.0,0.479
2,B밝기변화제동등,4,2.814,0.0,0.377
2,B밝기변화제동등,5,1.209,0.0,0.0
2,B밝기변화제동등,6,1.49,0.19315,0.0
2,B밝기변화제동등,7,1.226,0.0,0.346
2,B밝기변화제동등,8,2.766,0.0,0.191
