참여자번호,브레이크유형,감속정도,브레이크지속시간표준편차,브레이크세기표준편차,충돌횟수
1,A기본제동등,저감속,0.0135,0.07472,0
1,A기본제동등,고감속,0.6099,0.16651,0
1,B밝기변화제동등,저감속,0.49153,0.0757,0
1,B밝기변화제동등,고감속,0.47075,0.11532,0
1,C점멸주파수변화제동등,저감속,0.34156,0.05315,0
1,C점멸주파수변화제동등,고감속,0.34787,0.11344,0
1,D면적변화제동등,저감속,0.45115,0.10285,0
1,D면적변화제동등,고감속,0.31312,0.14563,0
2,A기본제동등,저감속,0.20671,0.04946,0
2,A기본제동등,고감속,0.22956,0.1132,0
2,B밝기변화제동등,저감속,0.23794,0.11511,0
2,B밝기변화제동등,고감속,0.20514,0.17399,0
2,C점멸주파수변화제동등,저감속,0.35426,0.12618,0
2,C점멸주파수변화제동등,고감속,0.35806,0.19158,0
2,D면적변화제동등,저감속,0.32539,0.10153,0
2,D면적변화제동등,고감속,0.32266,0.16285,0
3,A기본제동등,저감속,0.41956,0.0225,0
3,A기본제동등,고감속,0.48138,0.05227,0
3,B밝기변화제동등,저감속,0.47227,0.02692,0
3,B밝기변화제동등,고감속,0.37624,0.04942,0
3,C점멸주파수변화제동등,저감속,0.35677,0.0296,0
3,C점멸주파수변화제동등,고감속,0.47268,0.06518,0
3,D면적변화제동등,저감속,0.10783,0.01543,0
3,D면적변화제동등,고감속,0.29914,0.05747,0
4,A기본제동등,저감속,0.2092,0.15135,0
4,A기본제동등,고감속,0.27906,0.22186,0
4,B밝기변화제동등,저감속,0.34917,0.09803,0
4,B밝기변화제동등,고감속,0.29488,0.20698,0
4,C점멸주파수변화제동등,저감속,0.51034,0.1029,0
4,C점멸주파수변화제동등,고감속,0.46495,0.21174,0
4,D면적변화제동등,저감속,0.323,0.08069,0
4,D면적변화제동등,고감속,0.39517,0.19994,0
5,A기본제동등,저감속,0.065,0.02006,0
5,A기본제동등,고감속,0.30636,0.07089,0
5,B밝기변화제동등,저감속,0.40933,0.02687,0
5,B밝기변화제동등,고감속,0.39324,0.06824,0
5,C점멸주파수변화제동등,저감속,0.22572,0.03275,0
5,C점멸주파수변화제동등,고감속,0.21362,0.05627,0
5,D면적변화제동등,저감속,0.03,0.04591,0
5,D면적변화제동등,고감속,0.37264,0.05991,0
6,A기본제동등,저감속,0.17559,0.10912,0
6,A기본제동등,고감속,0.2624,0.16553,0
6,B밝기변화제동등,저감속,0.335,0.07113,0
6,B밝기변화제동등,고감속,0.23481,0.1783,0
6,C점멸주파수변화제동등,저감속,0.2495,0.13638,0
6,C점멸주파수변화제동등,고감속,0.26754,0.23364,0
6,D면적변화제동등,저감속,0.20157,0.0363,0
6,D면적변화제동등,고감속,0.17679,0.12494,0
7,A기본제동등,저감속,0.07521,0.02719,0
7,A기본제동등,고감속,0.33076,0.22873,0
7,B밝기변화제동등,저감속,0.1775,0.05344,0
7,B밝기변화제동등,고감속,0.51238,0.23945,0
7,C점멸주파수변화제동등,저감속,0.56786,0.17158,0
7,C점멸주파수변화제동등,고감속,0.29591,0.33914,0
7,D면적변화제동등,저감속,0.5275,0.05847,0
7,D면적변화제동등,고감속,0.26009,0.22398,0
8,A기본제동등,저감속,0.25071,0.08614,0
8,A기본제동등,고감속,0.3546,0.17849,0
8,B밝기변화제동등,저감속,0.16123,0.05734,0
8,B밝기변화제동등,고감속,0.3719,0.18624,0
8,C점멸주파수변화제동등,저감속,0.20108,0.10487,0
8,C점멸주파수변화제동등,고감속,0.52285,0.20953,0
8,D면적변화제동등,저감속,0.0,0.08729,0
8,D면적변화제동등,고감속,0.35747,0.18901,0
9,A기본제동등,저감속,0.28633,0.18293,0
