User,BrakeType,Event,Trial_no,Event_period,Speed_avg,Handle_avg,Brake_avg,Speed_std,Handle_std,Brake_std,Brake_feq,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,GSR_time_to_stable,SCR_duration_unstable,SCR_peaks,SCR_Z_avg,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks,HR_bpm,HRV_ibi,SDNN,RMSSD,pNN50,Leye_dist_avg,Reye_dist_avg,Leye_open_avg,Reye_open_avg,Leye_blink_rate,Reye_blink_rate,eye_blink_rate,Angry_avg,Disgust_avg,Fear_avg,Happy_avg,Neutral_avg,Sad_avg,Surprise_avg,Emotion1,Emotion2
1,A,1,1,246.0,,,,,,,,2.9212155898798344,0.5035562543082567,4.164564132285836,1.248229122793583,2.9163350094922533,19,0.2888024348433732,9.071905348335953e-05,0.007011085975918126,0.0232428828117763,-0.0167929198626115,0.0400358026743878,1037037642.0,28247,23,0.017318050417045892,1387.992426555915,327.21394186413613,2798.5347985347985,0.0,2798.5347985347985,518,57.30337078651686,1047.0588235294117,145.99616054106892,174.16467303484174,0.6833333333333333,21.260299130843425,25.182970057899976,0.9210836277974087,0.8951707891637221,0.3780487804878049,0.46747967479674796,0.6056910569105691,0.16552971019552415,0.012748503611012959,0.15195255454652531,0.013304876655382804,0.3726845656167844,0.25461076211972905,0.02916902675294464,Neutral,Sad
2,B,1,1,275.0,,,,,,,,2.403033954638605,0.836964741890806,4.41003617337118,1.0845845986975784,3.325451574673602,38,0.010711447836810106,-0.00029212856076406393,0.005453885196472825,0.0239910416976911,-0.0192743345424122,0.0432653762401033,1036934930.0,43969,56,-0.009082880661776923,1390.6310352417436,296.18969427537127,2648.351648351648,0.0,2648.351648351648,1012,55.774647887323944,1075.7575757575758,100.09178524190149,155.21246435421702,0.6022727272727273,1.2995434702033672,1.3738713288499598,0.9785696486419138,0.9666085223025168,0.24363636363636362,0.36363636363636365,0.41818181818181815,0.16304849511188638,0.012786940130575629,0.1665043672810865,0.00919219111816347,0.3661826507176676,0.24215336741839025,0.040131988139023175,Neutral,Sad
3,C,1,1,247.0,,,,,,,,2.5250223496423407,1.2468636972108862,6.567880435476255,1.0239442950739863,5.543936140402268,69,0.14871498271110226,-0.0006011643754076989,0.006831391435731133,0.0936698036762657,-0.074178375552619,0.1678481792288847,518540670.0,45027,119,-0.04585269083148752,1395.285895423258,270.2065104657412,2777.289377289377,0.0,2777.289377289377,1896,63.676731793960926,942.2594142259414,161.10471030773397,157.98734126505198,0.432,1.2677292391848853,1.3594190853431736,0.9636413717118855,0.9374741771105908,0.7368421052631579,1.1417004048582995,1.3076923076923077,0.1234478673224074,0.008136161008197218,0.1366494772911445,0.016887771729370612,0.46178460050530223,0.20871693057292381,0.044377192685731995,Neutral,Sad
4,D,1,1,249.0,,,,,,,,2.3465624632428805,0.9695041467758214,7.183139056612963,1.094329743412525,6.0888093132004375,61,0.0751041432547188,-0.0004755731937284533,0.0088662093493408,0.0737359439933997,-0.0454661980566042,0.1192021420500039,518411811.0,37211,144,-0.055414624728051406,1396.094634724014,274.71927600846243,2748.7179487179487,0.0,2748.7179487179487,1550,53.4804753820034,1121.904761904762,101.40062212728505,127.92042981336627,0.4090909090909091,1.4854852372647853,1.5415997316160341,0.9498392282958199,0.9487138263665594,0.9437751004016064,0.9397590361445783,1.2610441767068272,0.1171245740348553,0.007898053093257236,0.13305523087827975,0.016381416164284568,0.47934549917274916,0.19661117964334407,0.04958404665594855,Neutral,Sad
5,A,1,1,245.0,,,,,,,,3.7037785242961587,3.1917791486204536,11.66109478034706,0.7354559302675714,10.925638850079489,49,0.0815090015755692,-0.0008995929546934282,0.006774631714017244,0.0564354170832279,-0.0281472006316692,0.0845826177148971,1123201983.0,62339,113,-0.062476913049688075,1395.1890108857842,243.1798158518629,2706.227106227106,0.0,2706.227106227106,1807,65.02145922746782,922.7722772277227,146.15954128511632,137.60875776187342,0.31382978723404253,1.7383932923592755,1.6636772708028602,0.974551159142409,0.9494509325431411,0.32653061224489793,0.7387755102040816,0.8653061224489796,0.14326091665940385,0.010702813916210563,0.14883544470001742,0.011071387499100575,0.41588461901621054,0.22135946392713962,0.048885354501098134,Neutral,Sad
6,B,1,1,251.0,,,,,,,,5.612003036849261,3.935906411220742,10.822501979331111,1.2664377344489937,9.556064244882117,23,0.2487358851092862,0.0002632153019384839,0.0052618077011515815,0.024321306278531,-0.0133032766791447,0.0376245829576757,1036802788.0,15024,53,-0.07274391908204873,1391.1857826993144,220.6382184466441,2257.142857142857,0.0,2257.142857142857,806,86.15702479338843,696.4028776978417,112.57402911012895,158.06857167835588,0.6160458452722063,1.5085100607678115,1.7363681704555303,0.9861173309449172,0.9605911330049262,0.08366533864541832,0.2350597609561753,0.2749003984063745,0.13217102212700402,0.007574215559144649,0.12838970172458575,0.0038636575817510076,0.47989590447389163,0.2141958072869682,0.03390969158190775,Neutral,Sad
7,C,1,1,259.0,,,,,,,,3.364933211781085,3.42225083742644,10.391451761963928,0.7754216337313854,9.616030128232543,52,0.05826289445259484,-1.874627231646936e-05,0.004942281242918086,0.0401636241009155,-0.0161997491965557,0.0563633732974712,1123273612.0,37813,119,-0.0259457225869945,1396.5996506369177,205.30773226283148,2289.3772893772893,0.0,2289.3772893772893,1475,65.39662710805746,917.4785100286533,160.43798477724835,186.28165422514022,0.28205128205128205,1.3106874345247208,1.3664903877153656,0.9917569477154969,0.9757418747056052,0.09652509652509653,0.28185328185328185,0.2972972972972973,0.1475010037103156,0.010090696847609517,0.13963698023198307,0.010762568081243524,0.4228708608747056,0.23342159965567594,0.035716291856617996,Neutral,Sad
8,D,1,1,252.0,,,,,,,,3.7602415801168028,3.332665655175229,12.3674151044515,0.5941103237506767,11.773304780700823,67,-0.03083480545829492,-0.0003916936221525384,0.006318488500370359,0.050892807803315,-0.0195533178410149,0.07044612564432991,1123264417.0,69791,153,-0.017163381385568093,1392.681170214387,249.5298049083336,2812.454212454212,0.0,2812.454212454212,1914,63.71473354231975,941.6974169741698,141.66666332932047,139.4095701470583,0.3672316384180791,2.002122334099815,1.946603019506673,0.98426041852978,0.967626542657843,0.17063492063492064,0.43253968253968256,0.45634920634920634,0.1551854345902343,0.01136695508917725,0.14513513916419246,0.0062135419869576115,0.40967573146503306,0.23445487560490072,0.037968322979323905,Neutral,Sad
9,A,1,1,275.0,,,,,,,,3.111142664223582,1.3052708462749005,5.186076083919779,0.6715155886377616,4.514560495282017,51,-0.12369538272342828,-4.0528505091160454e-05,0.007792361374335475,0.0468280948580894,-0.0352154589430866,0.082043553801176,58393.0,32372,77,0.012145437779084075,1395.3260931776556,269.29758608048076,2780.9523809523807,0.0,2780.9523809523807,1037,67.62075134168157,887.3015873015873,143.63983120496758,179.6053020267749,0.41935483870967744,1.752031757254291,1.8349578203420072,0.9732016925246827,0.9511048425011753,0.06909090909090909,0.1890909090909091,0.22545454545454546,0.24533296853878703,0.029826984643347435,0.19757966613117067,0.01186694788415609,0.2293267636013164,0.25051430653784673,0.03555236265613541,Angry,Sad
10,B,1,1,262.0,,,,,,,,3.055700057584519,0.9468391306259356,4.679553029124451,1.4909346947172577,3.188618334407193,23,-0.012728064574465505,-0.00022826044679684078,0.006452940572680928,0.035206187914619,-0.0168003242399885,0.0520065121546075,345618950.0,14274,44,0.011763949553433559,1391.3524318460331,192.4260984047459,1954.5787545787543,0.0,1954.5787545787543,489,66.9811320754717,895.7746478873239,124.96379162151456,138.84202690012467,0.40963855421686746,1.8145850885424162,2.141924398571497,0.995729537366548,0.9907473309608541,0.022900763358778626,0.04580152671755725,0.04580152671755725,0.28013258340213526,0.03283583957900356,0.23627466734163702,0.005408766747615658,0.1742608905871886,0.21676542299644128,0.05432182997366548,Angry,Fear
